,ts,open,high,low,close,volume
0,1520834400000,3.99e-06,4.8e-06,2.87e-06,3.55e-06,260035837.0
1,1520838000000,3.57e-06,3.7e-06,3.15e-06,3.25e-06,122521402.0
2,1520841600000,3.25e-06,3.34e-06,3.12e-06,3.23e-06,62500365.0
3,1520845200000,3.23e-06,3.29e-06,3.06e-06,3.13e-06,37561713.0
4,1520848800000,3.12e-06,3.19e-06,3.09e-06,3.13e-06,22143407.0
5,1520852400000,3.13e-06,3.33e-06,3.13e-06,3.15e-06,51627122.0
6,1520856000000,3.15e-06,3.2e-06,3.07e-06,3.15e-06,33318278.0
7,1520859600000,3.15e-06,3.15e-06,3.05e-06,3.12e-06,22390202.0
8,1520863200000,3.12e-06,3.13e-06,2.88e-06,3e-06,52999664.0
9,1520866800000,3e-06,3.09e-06,2.88e-06,3e-06,41494901.0
10,1520870400000,3e-06,3.02e-06,2.79e-06,2.8e-06,49678702.0
11,1520874000000,2.81e-06,2.81e-06,2.67e-06,2.79e-06,53615333.0
12,1520877600000,2.8e-06,2.88e-06,2.71e-06,2.8e-06,54366389.0
13,1520881200000,2.81e-06,2.84e-06,2.77e-06,2.81e-06,22893803.0
14,1520884800000,2.82e-06,3.17e-06,2.81e-06,3.09e-06,94688104.0
15,1520888400000,3.1e-06,3.21e-06,2.98e-06,3.01e-06,71487813.0
16,1520892000000,3.02e-06,3.19e-06,3e-06,3.08e-06,42821298.0
17,1520895600000,3.08e-06,3.11e-06,3.01e-06,3.04e-06,28116397.0
18,1520899200000,3.04e-06,3.05e-06,2.92e-06,3e-06,28616361.0
19,1520902800000,3e-06,3.04e-06,2.93e-06,2.95e-06,12870963.0
20,1520906400000,2.96e-06,2.96e-06,2.83e-06,2.85e-06,20642981.0
21,1520910000000,2.87e-06,2.87e-06,2.78e-06,2.85e-06,23452864.0
22,1520913600000,2.85e-06,2.9e-06,2.8e-06,2.85e-06,22329720.0
23,1520917200000,2.85e-06,2.93e-06,2.85e-06,2.9e-06,18995022.0
24,1520920800000,2.9e-06,2.91e-06,2.79e-06,2.84e-06,17833315.0
25,1520924400000,2.83e-06,2.86e-06,2.81e-06,2.82e-06,14699060.0
26,1520928000000,2.83e-06,2.92e-06,2.75e-06,2.88e-06,32781659.0
27,1520931600000,2.87e-06,2.9e-06,2.81e-06,2.86e-06,15062459.0
28,1520935200000,2.87e-06,3.08e-06,2.86e-06,3.04e-06,40378018.0
29,1520938800000,3.01e-06,3.04e-06,2.93e-06,2.97e-06,15599239.0
30,1520942400000,2.97e-06,2.98e-06,2.9e-06,2.9e-06,10371709.0
31,1520946000000,2.9e-06,3.01e-06,2.67e-06,2.75e-06,53177042.0
32,1520949600000,2.75e-06,2.86e-06,2.69e-06,2.74e-06,28894945.0
33,1520953200000,2.74e-06,2.81e-06,2.69e-06,2.72e-06,40178869.0
34,1520956800000,2.72e-06,2.77e-06,2.68e-06,2.74e-06,30464119.0
35,1520960400000,2.73e-06,2.88e-06,2.69e-06,2.75e-06,56800525.0
36,1520964000000,2.75e-06,2.79e-06,2.69e-06,2.75e-06,22611874.0
37,1520967600000,2.75e-06,2.77e-06,2.61e-06,2.71e-06,46290739.0
38,1520971200000,2.71e-06,2.73e-06,2.65e-06,2.69e-06,22534217.0
39,1520974800000,2.69e-06,2.73e-06,2.67e-06,2.73e-06,19940303.0
40,1520978400000,2.73e-06,2.76e-06,2.72e-06,2.74e-06,10805916.0
41,1520982000000,2.74e-06,2.85e-06,2.72e-06,2.83e-06,25657113.0
42,1520985600000,2.83e-06,2.84e-06,2.77e-06,2.78e-06,11746033.0
43,1520989200000,2.78e-06,2.79e-06,2.74e-06,2.78e-06,6650200.0
44,1520992800000,2.78e-06,2.79e-06,2.72e-06,2.76e-06,11290714.0
45,1520996400000,2.76e-06,2.76e-06,2.6e-06,2.72e-06,31013982.0
46,1521000000000,2.72e-06,2.75e-06,2.69e-06,2.72e-06,8276035.0
47,1521003600000,2.72e-06,2.73e-06,2.66e-06,2.7e-06,10647492.0
48,1521007200000,2.7e-06,2.71e-06,2.66e-06,2.69e-06,9399551.0
49,1521010800000,2.69e-06,2.7e-06,2.6e-06,2.62e-06,23152546.0
50,1521014400000,2.62e-06,2.65e-06,2.58e-06,2.64e-06,32516269.0
51,1521018000000,2.64e-06,2.7e-06,2.58e-06,2.62e-06,35543664.0
52,1521021600000,2.63e-06,2.65e-06,2.59e-06,2.64e-06,15645772.0
53,1521025200000,2.64e-06,2.67e-06,2.56e-06,2.58e-06,15997966.0
54,1521028800000,2.58e-06,2.59e-06,2.47e-06,2.54e-06,27999113.0
55,1521032400000,2.54e-06,2.56e-06,2.49e-06,2.54e-06,12067412.0
56,1521036000000,2.54e-06,2.54e-06,2.43e-06,2.44e-06,28566903.0
57,1521039600000,2.45e-06,2.55e-06,2.36e-06,2.53e-06,63066507.0
58,1521043200000,2.53e-06,2.57e-06,2.42e-06,2.48e-06,38796413.0
59,1521046800000,2.48e-06,2.49e-06,2.43e-06,2.47e-06,13710929.0
60,1521050400000,2.46e-06,2.49e-06,2.43e-06,2.48e-06,8334635.0
61,1521054000000,2.48e-06,2.55e-06,2.46e-06,2.51e-06,12547944.0
62,1521057600000,2.5e-06,2.52e-06,2.44e-06,2.48e-06,11486540.0
63,1521061200000,2.47e-06,2.49e-06,2.34e-06,2.38e-06,22287530.0
64,1521064800000,2.38e-06,2.48e-06,2.38e-06,2.42e-06,16861397.0
65,1521068400000,2.43e-06,2.45e-06,2.39e-06,2.43e-06,8197111.0
66,1521072000000,2.44e-06,2.45e-06,2.38e-06,2.39e-06,11798765.0
67,1521075600000,2.39e-06,2.4e-06,2.35e-06,2.38e-06,10619897.0
68,1521079200000,2.37e-06,2.4e-06,2.32e-06,2.34e-06,15850944.0
69,1521082800000,2.34e-06,2.37e-06,2.32e-06,2.35e-06,12832389.0
70,1521086400000,2.34e-06,2.37e-06,2.3e-06,2.37e-06,15099553.0
71,1521090000000,2.37e-06,2.54e-06,2.36e-06,2.44e-06,23485329.0
72,1521093600000,2.44e-06,2.44e-06,2.36e-06,2.38e-06,10887887.0
73,1521097200000,2.38e-06,2.43e-06,2.34e-06,2.4e-06,15268792.0
74,1521100800000,2.39e-06,2.46e-06,2.36e-06,2.41e-06,22034466.0
75,1521104400000,2.41e-06,2.51e-06,2.39e-06,2.46e-06,16293915.0
76,1521108000000,2.46e-06,2.49e-06,2.41e-06,2.42e-06,15681164.0
77,1521111600000,2.43e-06,2.43e-06,2.36e-06,2.41e-06,13482701.0
78,1521115200000,2.42e-06,2.42e-06,2.3e-06,2.36e-06,30963756.0
79,1521118800000,2.37e-06,2.38e-06,2.35e-06,2.37e-06,7029651.0
80,1521122400000,2.37e-06,2.38e-06,2.32e-06,2.37e-06,12173606.0
81,1521126000000,2.37e-06,2.38e-06,2.27e-06,2.31e-06,19070936.0
82,1521129600000,2.31e-06,2.32e-06,2.26e-06,2.3e-06,14983406.0
83,1521133200000,2.31e-06,2.38e-06,2.29e-06,2.35e-06,11299151.0
84,1521136800000,2.35e-06,2.36e-06,2.3e-06,2.31e-06,6716496.0
85,1521140400000,2.32e-06,2.34e-06,2.28e-06,2.3e-06,13531260.0
86,1521144000000,2.3e-06,2.3e-06,2.23e-06,2.27e-06,15453046.0
87,1521147600000,2.27e-06,2.29e-06,2.25e-06,2.26e-06,5948205.0
