,ts,open,high,low,close,volume
0,1520834400000,0.0002,0.0002,3.5e-05,4.7e-05,34767832.0
1,1520838000000,4.7e-05,4.999e-05,4.103e-05,4.3e-05,13849000.0
2,1520841600000,4.3e-05,4.397e-05,4.12e-05,4.265e-05,6205132.0
3,1520845200000,4.251e-05,4.338e-05,4.086e-05,4.178e-05,3856001.0
4,1520848800000,4.144e-05,4.225e-05,4.13e-05,4.194e-05,3683008.0
5,1520852400000,4.199e-05,4.476e-05,4.177e-05,4.21e-05,10071807.0
6,1520856000000,4.208e-05,4.248e-05,4.1e-05,4.189e-05,6638184.0
7,1520859600000,4.189e-05,4.207e-05,4.099e-05,4.176e-05,3943367.0
8,1520863200000,4.177e-05,4.197e-05,3.88e-05,3.955e-05,10635388.0
9,1520866800000,3.956e-05,4.095e-05,3.864e-05,3.97e-05,7734758.0
10,1520870400000,3.966e-05,4.1e-05,3.65e-05,3.703e-05,11937151.0
11,1520874000000,3.724e-05,3.728e-05,3.531e-05,3.65e-05,7266451.0
12,1520877600000,3.673e-05,3.815e-05,3.567e-05,3.685e-05,6196638.0
13,1520881200000,3.713e-05,3.764e-05,3.62e-05,3.694e-05,3429424.0
14,1520884800000,3.687e-05,4.166e-05,3.68e-05,4.049e-05,8610520.0
15,1520888400000,4.05e-05,4.177e-05,3.897e-05,3.949e-05,7928454.0
16,1520892000000,3.947e-05,4.167e-05,3.947e-05,4.032e-05,4961599.0
17,1520895600000,4.032e-05,4.08e-05,3.935e-05,3.976e-05,5268029.0
18,1520899200000,3.977e-05,4.034e-05,3.821e-05,3.951e-05,5482463.0
19,1520902800000,3.951e-05,3.98e-05,3.85e-05,3.868e-05,3086887.0
20,1520906400000,3.868e-05,3.886e-05,3.717e-05,3.743e-05,3134953.0
21,1520910000000,3.743e-05,3.76e-05,3.6e-05,3.691e-05,4468785.0
22,1520913600000,3.691e-05,3.817e-05,3.682e-05,3.783e-05,5375629.0
23,1520917200000,3.779e-05,3.866e-05,3.764e-05,3.828e-05,2366852.0
24,1520920800000,3.833e-05,3.834e-05,3.7e-05,3.752e-05,3245228.0
25,1520924400000,3.751e-05,3.79e-05,3.708e-05,3.72e-05,2061667.0
26,1520928000000,3.723e-05,3.808e-05,3.611e-05,3.767e-05,4577839.0
27,1520931600000,3.773e-05,3.8e-05,3.708e-05,3.75e-05,1834022.0
28,1520935200000,3.767e-05,3.99e-05,3.706e-05,3.919e-05,5227987.0
29,1520938800000,3.919e-05,3.941e-05,3.833e-05,3.877e-05,2276660.0
30,1520942400000,3.876e-05,3.876e-05,3.757e-05,3.785e-05,2568401.0
31,1520946000000,3.77e-05,3.961e-05,3.55e-05,3.629e-05,8056344.0
32,1520949600000,3.629e-05,3.77e-05,3.6e-05,3.634e-05,4379169.0
33,1520953200000,3.634e-05,3.738e-05,3.556e-05,3.569e-05,5615184.0
34,1520956800000,3.569e-05,3.679e-05,3.556e-05,3.625e-05,2207195.0
35,1520960400000,3.625e-05,3.8e-05,3.589e-05,3.633e-05,4557943.0
36,1520964000000,3.63e-05,3.721e-05,3.6e-05,3.666e-05,2432268.0
37,1520967600000,3.676e-05,3.685e-05,3.477e-05,3.588e-05,5455969.0
38,1520971200000,3.58e-05,3.62e-05,3.523e-05,3.575e-05,2911233.0
39,1520974800000,3.568e-05,3.633e-05,3.52e-05,3.617e-05,2429083.0
40,1520978400000,3.617e-05,3.66e-05,3.601e-05,3.648e-05,2386885.0
41,1520982000000,3.647e-05,3.9e-05,3.629e-05,3.76e-05,4062253.0
42,1520985600000,3.76e-05,3.769e-05,3.691e-05,3.707e-05,1624210.0
43,1520989200000,3.707e-05,3.731e-05,3.615e-05,3.675e-05,1539572.0
44,1520992800000,3.675e-05,3.675e-05,3.566e-05,3.617e-05,1551267.0
45,1520996400000,3.617e-05,3.644e-05,3.5e-05,3.592e-05,3963083.0
46,1521000000000,3.598e-05,3.63e-05,3.557e-05,3.58e-05,1351857.0
47,1521003600000,3.589e-05,3.591e-05,3.51e-05,3.561e-05,1681112.0
48,1521007200000,3.568e-05,3.571e-05,3.526e-05,3.569e-05,1227010.0
49,1521010800000,3.559e-05,3.559e-05,3.445e-05,3.45e-05,3631627.0
50,1521014400000,3.45e-05,3.486e-05,3.41e-05,3.486e-05,2484126.0
51,1521018000000,3.486e-05,3.574e-05,3.391e-05,3.472e-05,8925908.0
52,1521021600000,3.468e-05,3.486e-05,3.41e-05,3.452e-05,1757046.0
53,1521025200000,3.459e-05,3.533e-05,3.394e-05,3.437e-05,6055635.0
54,1521028800000,3.411e-05,3.457e-05,3.3e-05,3.357e-05,4479674.0
55,1521032400000,3.364e-05,3.379e-05,3.304e-05,3.359e-05,1559509.0
56,1521036000000,3.359e-05,3.359e-05,3.231e-05,3.237e-05,3875217.0
57,1521039600000,3.237e-05,3.398e-05,3.17e-05,3.376e-05,6159794.0
58,1521043200000,3.375e-05,3.432e-05,3.217e-05,3.311e-05,3322010.0
59,1521046800000,3.316e-05,3.323e-05,3.251e-05,3.288e-05,1454483.0
60,1521050400000,3.296e-05,3.338e-05,3.245e-05,3.317e-05,1310371.0
61,1521054000000,3.323e-05,3.416e-05,3.314e-05,3.371e-05,2774175.0
62,1521057600000,3.371e-05,3.378e-05,3.295e-05,3.325e-05,1502365.0
63,1521061200000,3.313e-05,3.343e-05,3.205e-05,3.23e-05,2290725.0
64,1521064800000,3.25e-05,3.378e-05,3.25e-05,3.286e-05,3129326.0
65,1521068400000,3.298e-05,3.368e-05,3.225e-05,3.247e-05,1061361.0
66,1521072000000,3.248e-05,3.331e-05,3.2e-05,3.21e-05,1833574.0
67,1521075600000,3.208e-05,3.237e-05,3.171e-05,3.187e-05,1506891.0
68,1521079200000,3.206e-05,3.244e-05,3.131e-05,3.201e-05,1488540.0
69,1521082800000,3.16e-05,3.218e-05,3.16e-05,3.177e-05,1021617.0
70,1521086400000,3.177e-05,3.199e-05,3.133e-05,3.173e-05,1828975.0
71,1521090000000,3.182e-05,3.348e-05,3.172e-05,3.284e-05,3150554.0
72,1521093600000,3.282e-05,3.282e-05,3.172e-05,3.186e-05,1506858.0
73,1521097200000,3.191e-05,3.238e-05,3.15e-05,3.198e-05,1841401.0
74,1521100800000,3.186e-05,3.245e-05,3.134e-05,3.211e-05,2380834.0
75,1521104400000,3.221e-05,3.35e-05,3.207e-05,3.26e-05,1768708.0
76,1521108000000,3.27e-05,3.317e-05,3.22e-05,3.24e-05,974353.0
77,1521111600000,3.265e-05,3.295e-05,3.159e-05,3.232e-05,1893785.0
78,1521115200000,3.219e-05,3.22e-05,3.082e-05,3.195e-05,2711780.0
79,1521118800000,3.193e-05,3.223e-05,3.177e-05,3.205e-05,831551.0
80,1521122400000,3.205e-05,3.216e-05,3.141e-05,3.2e-05,1447615.0
