,ts,open,high,low,close,volume
0,1507611600000,2e-05,3.699e-05,2e-05,3.677e-05,55973.0
1,1507615200000,3.101e-05,3.667e-05,3.001e-05,3.667e-05,655173.0
2,1507618800000,3.659e-05,4.5e-05,3.17e-05,3.57e-05,1491047.0
3,1507622400000,3.57e-05,3.595e-05,2.802e-05,3.11e-05,596988.0
4,1507626000000,3.199e-05,3.45e-05,3.01e-05,3.33e-05,449649.0
5,1507629600000,3.33e-05,3.349e-05,3.227e-05,3.228e-05,119107.0
6,1507633200000,3.244e-05,3.25e-05,3e-05,3.101e-05,157967.0
7,1507636800000,3.101e-05,3.238e-05,3.015e-05,3.19e-05,230815.0
8,1507640400000,3.189e-05,3.199e-05,3.01e-05,3.012e-05,173987.0
9,1507644000000,3.018e-05,3.125e-05,2.805e-05,2.826e-05,361205.0
10,1507647600000,2.833e-05,3.111e-05,2.777e-05,3.111e-05,301547.0
11,1507651200000,2.868e-05,3.447e-05,2.868e-05,3.242e-05,478816.0
12,1507654800000,3.242e-05,3.349e-05,3.066e-05,3.249e-05,182907.0
13,1507658400000,3.249e-05,3.448e-05,3.205e-05,3.4e-05,416404.0
14,1507662000000,3.399e-05,3.4e-05,3.233e-05,3.235e-05,200507.0
15,1507665600000,3.242e-05,3.34e-05,2.978e-05,3.169e-05,336593.0
16,1507669200000,3.066e-05,3.15e-05,3.066e-05,3.148e-05,101650.0
17,1507672800000,3.15e-05,3.325e-05,3.056e-05,3.325e-05,100269.0
18,1507676400000,3.325e-05,3.439e-05,3.285e-05,3.401e-05,300039.0
19,1507680000000,3.401e-05,3.401e-05,3.156e-05,3.274e-05,132143.0
20,1507683600000,3.17e-05,3.274e-05,3.156e-05,3.219e-05,81261.0
21,1507687200000,3.218e-05,3.444e-05,3.16e-05,3.444e-05,181976.0
22,1507690800000,3.444e-05,3.55e-05,3.261e-05,3.293e-05,193382.0
23,1507694400000,3.292e-05,3.4e-05,3.178e-05,3.35e-05,140274.0
24,1507698000000,3.342e-05,3.35e-05,3.275e-05,3.35e-05,112356.0
25,1507701600000,3.345e-05,3.445e-05,3.325e-05,3.369e-05,179583.0
26,1507705200000,3.368e-05,3.398e-05,3.214e-05,3.266e-05,81115.0
27,1507708800000,3.267e-05,3.398e-05,3.18e-05,3.372e-05,138085.0
28,1507712400000,3.25e-05,3.365e-05,3.191e-05,3.28e-05,92065.0
29,1507716000000,3.25e-05,3.292e-05,3.166e-05,3.166e-05,155119.0
30,1507719600000,3.151e-05,3.25e-05,3.12e-05,3.25e-05,135853.0
31,1507723200000,3.25e-05,3.289e-05,3.131e-05,3.163e-05,61894.0
32,1507726800000,3.163e-05,3.322e-05,3.095e-05,3.249e-05,273704.0
33,1507730400000,3.246e-05,3.246e-05,3.134e-05,3.213e-05,64840.0
34,1507734000000,3.213e-05,3.239e-05,3.103e-05,3.11e-05,130750.0
35,1507737600000,3.11e-05,3.198e-05,3.109e-05,3.195e-05,34035.0
36,1507741200000,3.151e-05,3.197e-05,3.15e-05,3.16e-05,40465.0
37,1507744800000,3.197e-05,3.247e-05,3.15e-05,3.199e-05,82474.0
38,1507748400000,3.194e-05,3.223e-05,3.11e-05,3.15e-05,111852.0
