,ts,open,high,low,close,volume
0,1522224000000,0.047,0.047,0.03111,0.03337,245552.35
1,1522227600000,0.03317,0.03556,0.03003,0.031,108773.45
2,1522231200000,0.0305,0.03299,0.0303,0.03051,39957.39
3,1522234800000,0.0315,0.0333,0.0306,0.0325,55544.13
4,1522238400000,0.0325,0.035,0.0325,0.03275,21856.69
5,1522242000000,0.03379,0.03457,0.03275,0.03287,28872.82
6,1522245600000,0.03287,0.0355,0.03287,0.0332,60085.19
7,1522249200000,0.03412,0.03412,0.0322,0.03221,40568.56
8,1522252800000,0.03319,0.0333,0.0322,0.0333,14028.67
9,1522256400000,0.03258,0.0333,0.032,0.032,62249.43
10,1522260000000,0.03221,0.033,0.032,0.0325,11522.45
11,1522263600000,0.0325,0.033,0.0322,0.033,5695.61
12,1522267200000,0.03298,0.03399,0.03248,0.03323,27094.1
13,1522270800000,0.03328,0.03399,0.03251,0.03251,24683.18
14,1522274400000,0.0327,0.03351,0.03257,0.03307,38345.39
15,1522278000000,0.03305,0.03305,0.03234,0.03289,10019.11
16,1522281600000,0.03239,0.03298,0.03209,0.03294,10723.2
17,1522285200000,0.03294,0.03399,0.03251,0.03399,40863.21
18,1522288800000,0.03399,0.03414,0.0329,0.03374,14142.03
19,1522292400000,0.03374,0.0341,0.03308,0.03308,11843.44
20,1522296000000,0.03365,0.03365,0.03233,0.03288,14594.94
21,1522299600000,0.03287,0.03293,0.03241,0.03241,8740.11
22,1522303200000,0.03252,0.03306,0.0315,0.032,27563.88
23,1522306800000,0.032,0.03257,0.03152,0.03154,4211.16
24,1522310400000,0.03154,0.03199,0.03117,0.03118,6929.13
25,1522314000000,0.03118,0.03171,0.031,0.031,8709.96
26,1522317600000,0.031,0.03101,0.02995,0.02995,14162.08
27,1522321200000,0.02998,0.0304,0.02959,0.02959,3182.83
28,1522324800000,0.02959,0.02959,0.029,0.02941,1565.31
29,1522328400000,0.02941,0.03045,0.0291,0.02924,21610.6
30,1522332000000,0.02928,0.02989,0.02928,0.02929,10112.8
31,1522335600000,0.02977,0.02991,0.0293,0.02958,1951.43
32,1522339200000,0.02958,0.02997,0.02958,0.02994,242.39
33,1522342800000,0.02958,0.02994,0.0295,0.02951,5230.16
34,1522346400000,0.0293,0.02989,0.02928,0.02928,2197.54
35,1522350000000,0.02984,0.0302,0.02929,0.02938,26886.84
36,1522353600000,0.02938,0.0296,0.02911,0.02918,13376.86
37,1522357200000,0.02975,0.02975,0.02823,0.02823,18125.32
38,1522360800000,0.02823,0.02918,0.02823,0.02908,7005.88
39,1522364400000,0.02928,0.02988,0.02895,0.02895,8623.37
40,1522368000000,0.02895,0.02895,0.02825,0.02825,7327.55
41,1522371600000,0.02825,0.02837,0.02751,0.02808,16052.27
42,1522375200000,0.02832,0.02832,0.02753,0.02753,379.76
43,1522378800000,0.02751,0.02827,0.0273,0.02759,6566.52
44,1522382400000,0.02755,0.02846,0.02717,0.02723,4642.05
45,1522386000000,0.02735,0.02846,0.02735,0.028,11246.01
46,1522389600000,0.028,0.02853,0.02779,0.02792,19727.5
47,1522393200000,0.02792,0.02906,0.02751,0.02755,21288.93
48,1522396800000,0.02813,0.02864,0.028,0.028,2874.9
49,1522400400000,0.02798,0.02798,0.02768,0.02782,3881.62
50,1522404000000,0.02786,0.02865,0.02754,0.02754,1353.29
51,1522407600000,0.02819,0.02819,0.0277,0.0277,1308.12
