,ts,open,high,low,close,volume
0,1513317600000,2.55e-06,5.7e-06,2.55e-06,3.03e-06,8463543.0
1,1513321200000,3e-06,5.78e-06,2.8e-06,4e-06,28611608.0
2,1513324800000,4e-06,4.3e-06,3.4e-06,3.45e-06,21553758.0
3,1513328400000,3.45e-06,3.7e-06,3.1e-06,3.1e-06,9056580.0
4,1513332000000,3.1e-06,3.5e-06,2.91e-06,3.15e-06,4850441.0
5,1513335600000,3.15e-06,3.44e-06,3.05e-06,3.09e-06,3546354.0
6,1513339200000,3.11e-06,3.3e-06,3e-06,3.3e-06,3414194.0
7,1513342800000,3.3e-06,4.15e-06,3.28e-06,3.55e-06,15519704.0
8,1513346400000,3.56e-06,3.99e-06,3.55e-06,3.77e-06,9853615.0
9,1513350000000,3.77e-06,4.22e-06,3.74e-06,4.01e-06,20449898.0
10,1513353600000,4.07e-06,5.5e-06,3.85e-06,5.1e-06,34136875.0
11,1513357200000,5.1e-06,5.28e-06,4.44e-06,4.77e-06,15797061.0
12,1513360800000,4.77e-06,4.77e-06,4.17e-06,4.5e-06,7643158.0
13,1513364400000,4.49e-06,4.55e-06,4.03e-06,4.39e-06,3781911.0
14,1513368000000,4.33e-06,4.5e-06,4.15e-06,4.35e-06,1742793.0
15,1513371600000,4.37e-06,4.99e-06,4.33e-06,4.91e-06,5145706.0
16,1513375200000,4.91e-06,4.93e-06,4.4e-06,4.7e-06,4750584.0
17,1513378800000,4.69e-06,5.65e-06,4.61e-06,5.54e-06,17913351.0
18,1513382400000,5.55e-06,6.65e-06,5.15e-06,5.5e-06,40318786.0
19,1513386000000,5.5e-06,5.87e-06,4.99e-06,5.24e-06,21436166.0
20,1513389600000,5.2e-06,5.26e-06,4.55e-06,5e-06,16612414.0
21,1513393200000,5e-06,5.4e-06,4.91e-06,5.31e-06,9036764.0
22,1513396800000,5.29e-06,5.88e-06,5.17e-06,5.33e-06,21020990.0
23,1513400400000,5.34e-06,5.38e-06,4.96e-06,5.2e-06,10762808.0
24,1513404000000,5.19e-06,5.25e-06,4.76e-06,4.91e-06,8573351.0
25,1513407600000,4.92e-06,4.95e-06,4.51e-06,4.73e-06,11632328.0
26,1513411200000,4.73e-06,5e-06,4.59e-06,4.9e-06,6562817.0
27,1513414800000,4.9e-06,4.95e-06,4.56e-06,4.58e-06,6918922.0
28,1513418400000,4.59e-06,4.78e-06,4.4e-06,4.75e-06,8650950.0
29,1513422000000,4.77e-06,4.8e-06,4.4e-06,4.5e-06,6287990.0
30,1513425600000,4.5e-06,5.09e-06,4.5e-06,4.96e-06,6606846.0
31,1513429200000,4.91e-06,5e-06,4.31e-06,4.57e-06,9769782.0
32,1513432800000,4.57e-06,4.6e-06,4.21e-06,4.27e-06,5260306.0
33,1513436400000,4.27e-06,4.47e-06,4.2e-06,4.25e-06,4929901.0
34,1513440000000,4.25e-06,4.5e-06,4.06e-06,4.35e-06,4164247.0
35,1513443600000,4.35e-06,4.45e-06,4.25e-06,4.27e-06,2910540.0
36,1513447200000,4.26e-06,4.35e-06,4.13e-06,4.27e-06,3468389.0
37,1513450800000,4.27e-06,4.31e-06,3.8e-06,4.29e-06,3124360.0
38,1513454400000,4.3e-06,4.4e-06,3.7e-06,4.02e-06,1225070.0
39,1513458000000,4.03e-06,4.56e-06,3.89e-06,4.03e-06,1710794.0
40,1513461600000,4.01e-06,4.36e-06,4e-06,4.1e-06,1919812.0
41,1513465200000,4.12e-06,4.24e-06,3.7e-06,4.03e-06,3456010.0
42,1513468800000,4.03e-06,4.55e-06,4.03e-06,4.3e-06,5336864.0
43,1513472400000,4.26e-06,4.73e-06,4.22e-06,4.59e-06,5910881.0
44,1513476000000,4.58e-06,4.69e-06,4.44e-06,4.51e-06,3724640.0
45,1513479600000,4.51e-06,4.51e-06,4.2e-06,4.39e-06,5409838.0
46,1513483200000,4.37e-06,4.42e-06,4.28e-06,4.37e-06,3250435.0
47,1513486800000,4.35e-06,4.39e-06,4.25e-06,4.3e-06,2628731.0
48,1513490400000,4.3e-06,4.41e-06,4e-06,4.18e-06,4856721.0
49,1513494000000,4.19e-06,4.22e-06,3.95e-06,4.19e-06,2969404.0
50,1513497600000,4.13e-06,4.8e-06,4.13e-06,4.69e-06,5090698.0
51,1513501200000,4.69e-06,4.7e-06,4.31e-06,4.48e-06,3398146.0
52,1513504800000,4.48e-06,4.49e-06,4.29e-06,4.31e-06,1245003.0
53,1513508400000,4.3e-06,4.5e-06,4.23e-06,4.41e-06,2462934.0
54,1513512000000,4.41e-06,4.5e-06,4.11e-06,4.26e-06,2643069.0
55,1513515600000,4.27e-06,4.4e-06,4.08e-06,4.31e-06,3522990.0
56,1513519200000,4.31e-06,5.17e-06,4.28e-06,5.07e-06,12453789.0
57,1513522800000,5.07e-06,5.64e-06,4.95e-06,5.14e-06,13758965.0
58,1513526400000,5.14e-06,5.27e-06,5.04e-06,5.19e-06,4007361.0
59,1513530000000,5.19e-06,5.33e-06,5.12e-06,5.15e-06,2850718.0
60,1513533600000,5.15e-06,5.29e-06,5.07e-06,5.22e-06,1646856.0
61,1513537200000,5.2e-06,5.34e-06,5.19e-06,5.32e-06,1104265.0
62,1513540800000,5.32e-06,5.34e-06,5.15e-06,5.18e-06,1016154.0
63,1513544400000,5.18e-06,5.65e-06,5.18e-06,5.49e-06,1614946.0
64,1513548000000,5.49e-06,5.98e-06,5.49e-06,5.91e-06,5879603.0
65,1513551600000,5.96e-06,5.99e-06,5.52e-06,5.7e-06,4306955.0
66,1513555200000,5.73e-06,5.96e-06,5.16e-06,5.18e-06,3551788.0
67,1513558800000,5.16e-06,5.18e-06,4.81e-06,5.03e-06,6038749.0
68,1513562400000,4.97e-06,5.39e-06,4.91e-06,5.25e-06,3391608.0
69,1513566000000,5.25e-06,5.31e-06,5e-06,5.2e-06,2852943.0
70,1513569600000,5.18e-06,5.39e-06,5.1e-06,5.36e-06,2696225.0
