,ts,open,high,low,close,volume
0,1511344800000,7e-06,1.8e-05,7e-06,9.89e-06,3168077.0
1,1511348400000,9.89e-06,9.9e-06,8.57e-06,8.9e-06,1273059.0
2,1511352000000,8.9e-06,9.65e-06,8.9e-06,9.21e-06,1176464.0
3,1511355600000,9.21e-06,1.1e-05,8.88e-06,9.51e-06,2865435.0
4,1511359200000,9.67e-06,1.048e-05,9.25e-06,1.001e-05,1365057.0
5,1511362800000,9.77e-06,1.019e-05,9.52e-06,9.93e-06,971204.0
6,1511366400000,1.009e-05,1.187e-05,9.95e-06,1.148e-05,2559235.0
7,1511370000000,1.148e-05,1.203e-05,1.08e-05,1.136e-05,2472621.0
8,1511373600000,1.166e-05,1.167e-05,9.69e-06,1.001e-05,1770406.0
9,1511377200000,9.86e-06,1.11e-05,9.32e-06,1.027e-05,1189709.0
10,1511380800000,1.03e-05,1.16e-05,1.03e-05,1.07e-05,748558.0
11,1511384400000,1.07e-05,1.089e-05,1e-05,1.05e-05,912691.0
12,1511388000000,1.05e-05,1.138e-05,1.029e-05,1.07e-05,772287.0
13,1511391600000,1.07e-05,1.18e-05,1.038e-05,1.1e-05,1566641.0
14,1511395200000,1.1e-05,1.181e-05,1.1e-05,1.171e-05,986733.0
15,1511398800000,1.171e-05,1.184e-05,1.126e-05,1.126e-05,1181326.0
16,1511402400000,1.126e-05,1.188e-05,1.065e-05,1.175e-05,1829619.0
17,1511406000000,1.177e-05,1.4e-05,1.166e-05,1.38e-05,5015575.0
18,1511409600000,1.389e-05,1.496e-05,1.339e-05,1.35e-05,5170609.0
19,1511413200000,1.351e-05,1.46e-05,1.273e-05,1.34e-05,4524732.0
20,1511416800000,1.339e-05,1.418e-05,1.21e-05,1.305e-05,7461488.0
21,1511420400000,1.326e-05,1.392e-05,1.218e-05,1.287e-05,4748097.0
22,1511424000000,1.286e-05,1.379e-05,1.257e-05,1.35e-05,2435491.0
23,1511427600000,1.339e-05,1.339e-05,1.169e-05,1.169e-05,1843898.0
24,1511431200000,1.171e-05,1.25e-05,1.158e-05,1.16e-05,1572022.0
25,1511434800000,1.161e-05,1.22e-05,1.095e-05,1.095e-05,1322040.0
26,1511438400000,1.105e-05,1.232e-05,1.101e-05,1.164e-05,851233.0
27,1511442000000,1.164e-05,1.19e-05,1.154e-05,1.189e-05,374016.0
28,1511445600000,1.185e-05,1.323e-05,1.185e-05,1.252e-05,1073078.0
29,1511449200000,1.259e-05,1.285e-05,1.17e-05,1.2e-05,614409.0
30,1511452800000,1.197e-05,1.2e-05,1.11e-05,1.121e-05,510599.0
31,1511456400000,1.14e-05,1.194e-05,1.102e-05,1.106e-05,318467.0
32,1511460000000,1.106e-05,1.133e-05,1.083e-05,1.13e-05,290901.0
33,1511463600000,1.13e-05,1.199e-05,1.125e-05,1.153e-05,233885.0
34,1511467200000,1.13e-05,1.168e-05,1.12e-05,1.162e-05,50855.0
35,1511470800000,1.162e-05,1.17e-05,1.118e-05,1.14e-05,136741.0
36,1511474400000,1.158e-05,1.225e-05,1.126e-05,1.225e-05,352470.0
37,1511478000000,1.225e-05,1.225e-05,1.12e-05,1.135e-05,376697.0
38,1511481600000,1.12e-05,1.135e-05,1.108e-05,1.12e-05,145866.0
39,1511485200000,1.116e-05,1.12e-05,1.086e-05,1.113e-05,516246.0
40,1511488800000,1.113e-05,1.12e-05,1.072e-05,1.083e-05,157772.0
41,1511492400000,1.092e-05,1.092e-05,1.001e-05,1.001e-05,894610.0
42,1511496000000,1.01e-05,1.078e-05,9.99e-06,1e-05,849195.0
43,1511499600000,9.86e-06,1e-05,9.58e-06,9.76e-06,865022.0
44,1511503200000,9.77e-06,1.006e-05,9.5e-06,9.61e-06,289782.0
45,1511506800000,9.69e-06,1.006e-05,9.46e-06,1.003e-05,341405.0
46,1511510400000,9.96e-06,1.006e-05,9.04e-06,9.76e-06,637222.0
47,1511514000000,9.77e-06,1.09e-05,9.1e-06,1.061e-05,548084.0
48,1511517600000,1.063e-05,1.096e-05,1.05e-05,1.069e-05,243747.0
49,1511521200000,1.074e-05,1.074e-05,1.01e-05,1.061e-05,238361.0
