,ts,open,high,low,close,volume
0,1514527200000,50.0,50.0,0.5,1.2,10755.69
1,1514530800000,1.2,1.3,0.6001,0.749,10551.91
2,1514534400000,0.749,0.99999,0.73899,0.749,10483.54
3,1514538000000,0.749,0.78499,0.67997,0.68001,4101.4
4,1514541600000,0.68001,0.74901,0.60501,0.63401,1574.19
5,1514545200000,0.634,0.745,0.6051,0.72993,4102.68
6,1514548800000,0.72993,0.77875,0.60522,0.6958,1842.0
7,1514552400000,0.6958,0.69589,0.649,0.66006,3595.74
8,1514556000000,0.68996,0.74903,0.68994,0.71999,835.48
9,1514559600000,0.71999,0.74903,0.7001,0.74799,1490.31
10,1514563200000,0.727,0.728,0.69596,0.69989,2829.53
11,1514566800000,0.69976,0.7398,0.68302,0.73885,1790.43
12,1514570400000,0.73852,0.78,0.72001,0.77,3323.39
13,1514574000000,0.77,0.83998,0.76998,0.81976,3355.45
14,1514577600000,0.81966,0.83994,0.75501,0.79993,1940.23
15,1514581200000,0.8,0.85,0.8,0.84999,6496.89
16,1514584800000,0.84999,1.1,0.719,0.891,5289.47
17,1514588400000,0.87,0.88999,0.75985,0.86,1196.12
18,1514592000000,0.83,0.83962,0.76601,0.76601,2646.36
19,1514595600000,0.76601,0.7701,0.71638,0.741,5226.27
20,1514599200000,0.7311,0.845,0.7216,0.7632,2076.46
21,1514602800000,0.76411,0.81988,0.75,0.81952,2738.21
22,1514606400000,0.81933,0.81933,0.75113,0.81786,1244.86
23,1514610000000,0.81769,0.81769,0.732,0.75,2093.54
24,1514613600000,0.81491,0.81491,0.73001,0.7325,2822.42
25,1514617200000,0.77639,0.77639,0.72003,0.72101,419.66
26,1514620800000,0.72101,0.75,0.72101,0.75,2923.11
27,1514624400000,0.74999,0.79795,0.73,0.73001,1850.88
28,1514628000000,0.73004,0.73921,0.72105,0.73855,456.08
29,1514631600000,0.73978,0.75919,0.73977,0.75,1811.77
30,1514635200000,0.75,0.78794,0.72153,0.75,1057.62
31,1514638800000,0.77,0.77,0.71638,0.7397,3556.98
32,1514642400000,0.73969,0.74994,0.65,0.65129,4631.67
33,1514646000000,0.6526,0.74942,0.6526,0.74942,147.65
34,1514649600000,0.74942,0.74942,0.68015,0.70013,612.23
35,1514653200000,0.70024,0.70024,0.68026,0.69555,124.49
36,1514656800000,0.69555,0.72,0.69555,0.72,4.35
37,1514660400000,0.705,0.72,0.70004,0.70153,198.21
38,1514664000000,0.73927,0.73927,0.66809,0.68,977.44
39,1514667600000,0.68,0.72875,0.65261,0.69,519.65
40,1514671200000,0.65289,0.69,0.65288,0.65289,401.21
41,1514674800000,0.69,0.69986,0.65298,0.69986,157.46
42,1514678400000,0.67001,0.6701,0.67001,0.6701,272.52
43,1514682000000,0.66999,0.68,0.6526,0.6526,755.74
44,1514685600000,0.65259,0.69637,0.64302,0.6432,1500.6
45,1514689200000,0.64323,0.69155,0.6432,0.6432,193.62
46,1514692800000,0.6432,0.69611,0.64303,0.69611,396.97
