,ts,open,high,low,close,volume
0,1514527200000,0.01799,0.9,0.007,0.0145,58337.45
1,1514530800000,0.0145,0.01475,0.008004,0.00935,49232.0
2,1514534400000,0.009599,0.010599,0.0083,0.009119,31924.1
3,1514538000000,0.009118,0.0092,0.008001,0.008092,20519.04
4,1514541600000,0.008474,0.0085,0.00705,0.00705,13813.74
5,1514545200000,0.00755,0.00878,0.0068,0.008623,13821.96
6,1514548800000,0.008623,0.009449,0.001258,0.008101,21072.27
7,1514552400000,0.008101,0.008485,0.00765,0.0081,7888.3
8,1514556000000,0.0081,0.008474,0.0081,0.008381,6213.39
9,1514559600000,0.008378,0.008941,0.008252,0.008622,10162.01
10,1514563200000,0.008682,0.009069,0.0083,0.008452,17392.9
11,1514566800000,0.008494,0.009,0.008452,0.008869,6765.84
12,1514570400000,0.008869,0.0095,0.0087,0.009294,7268.75
13,1514574000000,0.0091,0.0097,0.008932,0.009699,5808.89
14,1514577600000,0.009692,0.011,0.009117,0.0095,21295.5
15,1514581200000,0.0095,0.010155,0.009433,0.009877,10465.36
16,1514584800000,0.010088,0.011228,0.009125,0.009385,19578.67
17,1514588400000,0.0095,0.009956,0.0089,0.009944,6712.3
18,1514592000000,0.009944,0.009965,0.0088,0.008998,12351.48
19,1514595600000,0.00896,0.009061,0.008238,0.0088,9780.84
20,1514599200000,0.008799,0.009588,0.008352,0.008887,9219.54
21,1514602800000,0.009035,0.009464,0.008726,0.009314,2989.42
22,1514606400000,0.009445,0.0095,0.009107,0.00933,13509.16
23,1514610000000,0.00933,0.00933,0.00853,0.00923,7942.85
24,1514613600000,0.00923,0.009328,0.0086,0.008621,18965.34
25,1514617200000,0.008645,0.008865,0.008352,0.008443,5191.19
26,1514620800000,0.008443,0.008633,0.008352,0.008551,4209.37
27,1514624400000,0.008551,0.008658,0.008238,0.008239,12943.95
28,1514628000000,0.008239,0.00835,0.008012,0.00806,6819.54
29,1514631600000,0.0082,0.008584,0.0081,0.00838,3098.06
30,1514635200000,0.00838,0.008499,0.008204,0.008204,5931.41
31,1514638800000,0.008206,0.00855,0.007709,0.00855,3525.08
32,1514642400000,0.008015,0.008518,0.00785,0.007917,6476.87
33,1514646000000,0.008001,0.009,0.007858,0.008137,4309.65
34,1514649600000,0.008404,0.008946,0.0078,0.007981,5775.87
35,1514653200000,0.008,0.008,0.007606,0.00782,2066.61
36,1514656800000,0.007819,0.00857,0.007748,0.007824,3626.35
37,1514660400000,0.007824,0.0082,0.007,0.0078,4130.54
38,1514664000000,0.007893,0.00816,0.007006,0.007379,1396.82
39,1514667600000,0.00742,0.007789,0.0072,0.007499,2776.56
40,1514671200000,0.007499,0.007665,0.007403,0.007551,5474.29
41,1514674800000,0.007665,0.00785,0.007557,0.007615,2413.47
42,1514678400000,0.0076,0.007786,0.0075,0.007637,2605.81
43,1514682000000,0.00768,0.007809,0.007454,0.007454,7265.67
44,1514685600000,0.007672,0.00787,0.007454,0.00787,4630.74
45,1514689200000,0.00787,0.0081,0.007701,0.00791,4138.72
46,1514692800000,0.008009,0.008064,0.0077,0.007959,1936.55
47,1514696400000,0.008,0.0085,0.008,0.0085,5710.81
48,1514700000000,0.00855,0.008738,0.0081,0.0081,5440.11
49,1514703600000,0.008465,0.008467,0.0081,0.0083,1397.09
50,1514707200000,0.0083,0.008749,0.008256,0.00852,2222.66
51,1514710800000,0.008559,0.008746,0.008225,0.008484,3593.8
52,1514714400000,0.008484,0.009,0.008245,0.008254,3066.52
53,1514718000000,0.008524,0.00886,0.0082,0.008342,5272.81
54,1514721600000,0.008342,0.008998,0.008201,0.008375,5264.5
55,1514725200000,0.0084,0.009319,0.0084,0.008533,3789.0
56,1514728800000,0.008578,0.008755,0.008201,0.008321,4248.2
57,1514732400000,0.008391,0.01033,0.008321,0.010138,9492.1
58,1514736000000,0.0103,0.011,0.009249,0.010844,15413.73
59,1514739600000,0.010316,0.01083,0.009321,0.010045,9450.37
60,1514743200000,0.010047,0.0107,0.0097,0.010418,6237.58
61,1514746800000,0.010422,0.011227,0.00982,0.010907,2943.74
62,1514750400000,0.010852,0.011227,0.008355,0.008812,7765.42
63,1514754000000,0.008857,0.009639,0.008857,0.0096,7113.31
64,1514757600000,0.009467,0.00997,0.009212,0.009642,5203.02
65,1514761200000,0.009817,0.009831,0.00955,0.009735,3057.41
66,1514764800000,0.009735,0.0099,0.00928,0.0099,1427.06
67,1514768400000,0.009953,0.0103,0.0099,0.0103,2624.92
68,1514772000000,0.010241,0.01031,0.0086,0.009742,5538.38
69,1514775600000,0.00969,0.0103,0.009487,0.009487,5193.8
70,1514779200000,0.009487,0.009487,0.008882,0.008882,2710.59
71,1514782800000,0.008901,0.009365,0.008798,0.009203,1830.09
72,1514786400000,0.009203,0.009394,0.008903,0.009008,2990.99
73,1514790000000,0.009022,0.0096,0.009022,0.009244,4717.59
74,1514793600000,0.009244,0.009778,0.009244,0.00943,1615.58
75,1514797200000,0.009409,0.009409,0.009054,0.009239,1162.34
76,1514800800000,0.009239,0.0095,0.009026,0.009124,3318.64
77,1514804400000,0.009124,0.00935,0.009098,0.009164,1153.1
78,1514808000000,0.009164,0.009512,0.009112,0.009151,3047.62
