,ts,open,high,low,close,volume
0,1509422400000,5.5e-07,7.1e-07,4.7e-07,4.8e-07,13006443.0
1,1509426000000,4.8e-07,4.9e-07,4.3e-07,4.6e-07,1570358.0
2,1509429600000,4.6e-07,4.7e-07,4.3e-07,4.7e-07,4562688.0
3,1509433200000,4.7e-07,4.9e-07,4.3e-07,4.3e-07,4514027.0
4,1509436800000,4.7e-07,4.7e-07,4.4e-07,4.4e-07,1715759.0
5,1509440400000,4.4e-07,4.6e-07,4.4e-07,4.4e-07,763307.0
6,1509444000000,4.4e-07,4.7e-07,4.4e-07,4.7e-07,1567738.0
7,1509447600000,4.5e-07,4.8e-07,4.3e-07,4.5e-07,14564739.0
8,1509451200000,4.5e-07,4.6e-07,4.3e-07,4.6e-07,1681089.0
9,1509454800000,4.6e-07,4.6e-07,4.3e-07,4.5e-07,1686318.0
10,1509458400000,4.4e-07,4.6e-07,4.4e-07,4.6e-07,4209508.0
11,1509462000000,4.3e-07,4.6e-07,4.3e-07,4.4e-07,4527541.0
12,1509465600000,4.6e-07,4.6e-07,4.4e-07,4.5e-07,2237031.0
13,1509469200000,4.5e-07,4.6e-07,4.4e-07,4.6e-07,739299.0
14,1509472800000,4.7e-07,4.9e-07,4.6e-07,4.7e-07,4746821.0
15,1509476400000,4.6e-07,4.8e-07,4.5e-07,4.5e-07,1281470.0
16,1509480000000,4.5e-07,4.5e-07,4.4e-07,4.4e-07,936942.0
17,1509483600000,4.5e-07,4.5e-07,4.4e-07,4.4e-07,648378.0
18,1509487200000,4.5e-07,4.5e-07,4.2e-07,4.2e-07,5753107.0
19,1509490800000,4.4e-07,4.4e-07,4.1e-07,4.1e-07,4994766.0
20,1509494400000,4.2e-07,4.2e-07,4e-07,4e-07,1687958.0
21,1509498000000,4.1e-07,4.2e-07,4e-07,4.2e-07,1530879.0
22,1509501600000,4.1e-07,4.2e-07,4e-07,4.1e-07,653448.0
23,1509505200000,4.2e-07,4.2e-07,3.9e-07,3.9e-07,1041204.0
24,1509508800000,3.9e-07,4.2e-07,3.9e-07,4e-07,1163301.0
25,1509512400000,4e-07,4e-07,3.9e-07,3.9e-07,1856210.0
26,1509516000000,3.9e-07,4e-07,3.9e-07,4e-07,572167.0
27,1509519600000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,131178.0
28,1509523200000,3.9e-07,3.9e-07,3.8e-07,3.8e-07,910501.0
29,1509526800000,3.9e-07,3.9e-07,3.8e-07,3.8e-07,1103748.0
