,ts,open,high,low,close,volume
0,1509422400000,1.1e-05,1.2e-05,8.97e-06,9.5e-06,6244999.0
1,1509426000000,9.5e-06,9.5e-06,8.97e-06,9.1e-06,7312879.0
2,1509429600000,9.28e-06,9.28e-06,8.87e-06,9.16e-06,3337086.0
3,1509433200000,9.16e-06,9.22e-06,8.96e-06,8.96e-06,1584548.0
4,1509436800000,8.96e-06,8.96e-06,8.96e-06,8.96e-06,2257802.0
5,1509440400000,8.96e-06,9.27e-06,8.96e-06,9.26e-06,389683.0
6,1509444000000,9.26e-06,9.5e-06,9.02e-06,9.49e-06,5905203.0
7,1509447600000,9.49e-06,9.51e-06,8.99e-06,9.01e-06,1126063.0
8,1509451200000,9.01e-06,9.25e-06,9.01e-06,9.14e-06,989138.0
9,1509454800000,9.25e-06,9.5e-06,9e-06,9.1e-06,956296.0
10,1509458400000,9.15e-06,9.41e-06,9.15e-06,9.41e-06,1995107.0
11,1509462000000,9.41e-06,9.45e-06,9.26e-06,9.4e-06,680048.0
12,1509465600000,9.4e-06,9.43e-06,9.1e-06,9.21e-06,1039574.0
13,1509469200000,9.23e-06,9.6e-06,9.23e-06,9.49e-06,638128.0
14,1509472800000,9.58e-06,9.69e-06,9.58e-06,9.69e-06,853602.0
15,1509476400000,9.78e-06,1.01e-05,9.2e-06,9.45e-06,847137.0
16,1509480000000,9.33e-06,9.33e-06,9.2e-06,9.2e-06,778790.0
17,1509483600000,9.2e-06,9.2e-06,9.2e-06,9.2e-06,110000.0
18,1509487200000,9.2e-06,9.2e-06,9.2e-06,9.2e-06,0.0
19,1509490800000,9.1e-06,9.1e-06,8.89e-06,8.89e-06,2164866.0
20,1509494400000,8.91e-06,8.91e-06,8.43e-06,8.82e-06,1182310.0
21,1509498000000,8.82e-06,8.82e-06,8.72e-06,8.82e-06,163291.0
22,1509501600000,8.82e-06,8.91e-06,8.71e-06,8.76e-06,993518.0
23,1509505200000,8.77e-06,8.9e-06,8.76e-06,8.76e-06,632574.0
24,1509508800000,8.71e-06,8.76e-06,8.71e-06,8.76e-06,71151.0
25,1509512400000,8.77e-06,8.77e-06,8.4e-06,8.53e-06,592111.0
26,1509516000000,8.5e-06,8.78e-06,8.3e-06,8.71e-06,1164444.0
27,1509519600000,8.2e-06,8.32e-06,8.2e-06,8.32e-06,425749.0
28,1509523200000,8.4e-06,8.81e-06,8.26e-06,8.77e-06,1260344.0
29,1509526800000,8.4e-06,8.4e-06,8.4e-06,8.4e-06,2405651.0
30,1509530400000,8.65e-06,8.72e-06,8.39e-06,8.39e-06,1533948.0
31,1509534000000,8.39e-06,8.55e-06,8.39e-06,8.45e-06,1249052.0
32,1509537600000,8.53e-06,8.6e-06,8.43e-06,8.43e-06,933476.0
33,1509541200000,8.56e-06,8.59e-06,8.4e-06,8.4e-06,570538.0
34,1509544800000,8.53e-06,8.75e-06,8.53e-06,8.75e-06,526223.0
35,1509548400000,8.59e-06,8.74e-06,8.56e-06,8.74e-06,262131.0
36,1509552000000,8.81e-06,8.81e-06,8.48e-06,8.53e-06,459795.0
37,1509555600000,8.53e-06,8.71e-06,8.35e-06,8.64e-06,535072.0
38,1509559200000,8.68e-06,8.73e-06,8.68e-06,8.73e-06,136946.0
39,1509562800000,8.73e-06,8.73e-06,8.55e-06,8.68e-06,52312.0
40,1509566400000,8.68e-06,8.68e-06,8.27e-06,8.27e-06,1520591.0
41,1509570000000,8.27e-06,8.82e-06,8.27e-06,8.53e-06,1104235.0
