,ts,open,high,low,close,volume
0,1509948000000,0.0945,0.3,0.0945,0.16,176326.14
1,1509951600000,0.16,0.1693,0.1438,0.1575,174796.0
2,1509955200000,0.1589,0.159,0.1482,0.151,37377.76
3,1509958800000,0.154,0.1637,0.154,0.155,44931.79
4,1509962400000,0.155,0.1636,0.1491,0.1634,59046.59
5,1509966000000,0.1598,0.1633,0.1504,0.1504,41604.75
6,1509969600000,0.1549,0.1599,0.1505,0.1526,25422.84
7,1509973200000,0.1595,0.1596,0.15,0.15,51686.33
8,1509976800000,0.15,0.1548,0.15,0.1501,13342.19
9,1509980400000,0.1547,0.1565,0.1501,0.1513,37103.97
10,1509984000000,0.1514,0.1554,0.1496,0.1496,33129.66
11,1509987600000,0.1496,0.1546,0.1496,0.1546,1242.33
12,1509991200000,0.1545,0.1545,0.1496,0.1544,42549.29
13,1509994800000,0.1542,0.1545,0.1494,0.1495,31599.71
14,1509998400000,0.1496,0.1545,0.1496,0.1544,17946.35
15,1510002000000,0.1545,0.162,0.1495,0.1495,98457.38
16,1510005600000,0.1609,0.1617,0.156,0.156,6615.21
17,1510009200000,0.1559,0.1559,0.15,0.1503,10635.67
18,1510012800000,0.152,0.154,0.1503,0.154,12177.77
19,1510016400000,0.154,0.156,0.152,0.152,12966.92
20,1510020000000,0.1506,0.1518,0.1503,0.1503,46555.46
21,1510023600000,0.1518,0.1616,0.1503,0.156,59701.22
22,1510027200000,0.155,0.155,0.15,0.151,40030.24
23,1510030800000,0.1508,0.1638,0.1508,0.1605,210875.82
24,1510034400000,0.1605,0.1624,0.1571,0.1577,72596.78
25,1510038000000,0.1611,0.1611,0.156,0.1575,32668.84
26,1510041600000,0.1575,0.1583,0.1508,0.1509,66770.78
27,1510045200000,0.153,0.1536,0.1495,0.1495,17130.08
28,1510048800000,0.1495,0.1533,0.1491,0.1491,99685.5
29,1510052400000,0.1525,0.1595,0.1491,0.1519,6309.93
30,1510056000000,0.1503,0.1503,0.1487,0.1487,16515.88
31,1510059600000,0.1487,0.1487,0.1487,0.1487,12.64
32,1510063200000,0.15,0.15,0.145,0.145,22595.62
33,1510066800000,0.141,0.141,0.1305,0.1305,2996.14
