,ts,open,high,low,close,volume
0,1510030800000,2.51e-05,3.9e-05,2.51e-05,3.799e-05,34444.0
1,1510034400000,3.601e-05,3.796e-05,3.36e-05,3.48e-05,159632.0
2,1510038000000,3.384e-05,3.576e-05,3.361e-05,3.512e-05,67521.0
3,1510041600000,3.532e-05,3.533e-05,3.257e-05,3.259e-05,59857.0
4,1510045200000,3.405e-05,3.405e-05,3.271e-05,3.283e-05,27792.0
5,1510048800000,3.3e-05,3.343e-05,3.258e-05,3.342e-05,41911.0
6,1510052400000,3.342e-05,3.599e-05,3.342e-05,3.374e-05,124111.0
7,1510056000000,3.378e-05,3.378e-05,3.265e-05,3.325e-05,39809.0
8,1510059600000,3.499e-05,3.499e-05,3.349e-05,3.36e-05,24598.0
9,1510063200000,3.449e-05,3.56e-05,3.432e-05,3.56e-05,20109.0
10,1510066800000,3.56e-05,3.562e-05,3.38e-05,3.38e-05,24526.0
11,1510070400000,3.383e-05,3.432e-05,3.362e-05,3.363e-05,23734.0
12,1510074000000,3.368e-05,3.368e-05,3.36e-05,3.36e-05,25918.0
13,1510077600000,3.442e-05,3.497e-05,3.442e-05,3.465e-05,11620.0
14,1510081200000,3.465e-05,3.5e-05,3.465e-05,3.5e-05,22805.0
15,1510084800000,3.5e-05,3.515e-05,3.36e-05,3.36e-05,37685.0
16,1510088400000,3.448e-05,3.448e-05,3.36e-05,3.36e-05,50130.0
17,1510092000000,3.36e-05,3.49e-05,3.36e-05,3.36e-05,37985.0
18,1510095600000,3.36e-05,3.58e-05,3.36e-05,3.38e-05,31255.0
19,1510099200000,3.4e-05,3.578e-05,3.4e-05,3.565e-05,23273.0
20,1510102800000,3.563e-05,3.579e-05,3.38e-05,3.38e-05,33120.0
21,1510106400000,3.38e-05,3.495e-05,3.36e-05,3.36e-05,90645.0
22,1510110000000,3.36e-05,3.36e-05,3.094e-05,3.15e-05,144428.0
23,1510113600000,3.183e-05,3.374e-05,3.17e-05,3.17e-05,52063.0
24,1510117200000,3.268e-05,3.294e-05,3.057e-05,3.28e-05,46417.0
25,1510120800000,3.14e-05,3.185e-05,3.05e-05,3.067e-05,58882.0
26,1510124400000,3.182e-05,3.182e-05,3.095e-05,3.095e-05,42586.0
27,1510128000000,3.096e-05,3.183e-05,3.096e-05,3.104e-05,29468.0
28,1510131600000,3.104e-05,3.104e-05,2.904e-05,3.015e-05,59669.0
29,1510135200000,3.02e-05,3.061e-05,3.02e-05,3.06e-05,18642.0
30,1510138800000,3.08e-05,3.081e-05,3e-05,3e-05,19256.0
31,1510142400000,3.081e-05,3.162e-05,2.9e-05,3.05e-05,53674.0
32,1510146000000,2.945e-05,3.162e-05,2.945e-05,3.051e-05,4150.0
33,1510149600000,2.926e-05,2.926e-05,2.9e-05,2.905e-05,97495.0
34,1510153200000,2.921e-05,2.977e-05,2.907e-05,2.911e-05,23570.0
35,1510156800000,3.016e-05,3.112e-05,2.98e-05,2.98e-05,1569.0
36,1510160400000,2.91e-05,3.432e-05,2.802e-05,3.132e-05,324439.0
37,1510164000000,3.144e-05,4.7e-05,3.14e-05,4.082e-05,580673.0
38,1510167600000,4.081e-05,4.3e-05,3.454e-05,3.454e-05,209551.0
39,1510171200000,3.599e-05,3.987e-05,3.599e-05,3.7e-05,66018.0
40,1510174800000,3.7e-05,3.7e-05,3.6e-05,3.7e-05,56704.0
41,1510178400000,3.701e-05,3.986e-05,3.7e-05,3.928e-05,154059.0
42,1510182000000,3.835e-05,3.937e-05,3.432e-05,3.432e-05,203566.0
43,1510185600000,3.434e-05,3.589e-05,3.432e-05,3.5e-05,33170.0
44,1510189200000,3.5e-05,3.588e-05,3.449e-05,3.577e-05,61095.0
45,1510192800000,3.577e-05,3.663e-05,3.577e-05,3.586e-05,41787.0
46,1510196400000,3.586e-05,3.65e-05,3.586e-05,3.594e-05,45262.0
47,1510200000000,3.593e-05,3.62e-05,3.567e-05,3.567e-05,205603.0
48,1510203600000,3.567e-05,3.567e-05,3.525e-05,3.525e-05,13875.0
49,1510207200000,3.524e-05,3.566e-05,3.504e-05,3.566e-05,51435.0
50,1510210800000,3.521e-05,3.629e-05,3.513e-05,3.556e-05,115285.0
51,1510214400000,3.607e-05,3.799e-05,3.537e-05,3.74e-05,72718.0
52,1510218000000,3.699e-05,3.826e-05,3.699e-05,3.801e-05,83593.0
53,1510221600000,3.724e-05,3.96e-05,3.715e-05,3.9e-05,64343.0
54,1510225200000,3.9e-05,3.999e-05,3.9e-05,3.999e-05,94868.0
55,1510228800000,3.999e-05,3.999e-05,3.904e-05,3.904e-05,93963.0
56,1510232400000,3.905e-05,3.994e-05,3.855e-05,3.9e-05,142972.0
57,1510236000000,3.9e-05,3.969e-05,3.716e-05,3.718e-05,44836.0
58,1510239600000,3.725e-05,3.893e-05,3.715e-05,3.797e-05,24443.0
59,1510243200000,3.741e-05,3.99e-05,3.716e-05,3.98e-05,236174.0
60,1510246800000,3.924e-05,3.99e-05,3.899e-05,3.907e-05,87297.0
61,1510250400000,3.975e-05,3.986e-05,3.73e-05,3.9e-05,68067.0
62,1510254000000,3.898e-05,3.948e-05,3.81e-05,3.94e-05,35175.0
63,1510257600000,3.9e-05,3.9e-05,3.775e-05,3.788e-05,18249.0
64,1510261200000,3.788e-05,3.788e-05,3.775e-05,3.788e-05,5134.0
65,1510264800000,3.788e-05,3.788e-05,3.732e-05,3.732e-05,6083.0
66,1510268400000,3.732e-05,3.788e-05,3.73e-05,3.788e-05,51876.0
67,1510272000000,3.737e-05,3.789e-05,3.737e-05,3.789e-05,7682.0
68,1510275600000,3.757e-05,3.787e-05,3.73e-05,3.74e-05,24999.0
69,1510279200000,3.75e-05,3.789e-05,3.667e-05,3.69e-05,67371.0
70,1510282800000,3.69e-05,3.75e-05,3.662e-05,3.75e-05,51404.0
71,1510286400000,3.682e-05,3.766e-05,3.6e-05,3.606e-05,97217.0
72,1510290000000,3.606e-05,3.606e-05,3.6e-05,3.602e-05,41548.0
73,1510293600000,3.689e-05,3.689e-05,3.6e-05,3.6e-05,98579.0
74,1510297200000,3.6e-05,3.688e-05,3.544e-05,3.544e-05,132291.0
75,1510300800000,3.55e-05,3.689e-05,3.549e-05,3.582e-05,210083.0
76,1510304400000,3.64e-05,3.683e-05,3.55e-05,3.551e-05,62762.0
77,1510308000000,3.55e-05,3.58e-05,3.55e-05,3.58e-05,50132.0
78,1510311600000,3.58e-05,3.684e-05,3.551e-05,3.684e-05,24371.0
79,1510315200000,3.65e-05,3.683e-05,3.6e-05,3.679e-05,14752.0
80,1510318800000,3.601e-05,3.601e-05,3.545e-05,3.588e-05,96647.0
81,1510322400000,3.588e-05,3.599e-05,3.55e-05,3.551e-05,39079.0
82,1510326000000,3.546e-05,3.551e-05,3.5e-05,3.5e-05,82931.0
83,1510329600000,3.5e-05,3.749e-05,3.5e-05,3.749e-05,21876.0
84,1510333200000,3.749e-05,3.749e-05,3.5e-05,3.513e-05,4723.0
85,1510336800000,3.465e-05,3.482e-05,3.455e-05,3.48e-05,31919.0
86,1510340400000,3.5e-05,3.53e-05,3.5e-05,3.51e-05,23586.0
87,1510344000000,3.51e-05,3.51e-05,3.456e-05,3.456e-05,86858.0
88,1510347600000,3.5e-05,3.58e-05,3.5e-05,3.5e-05,22621.0
89,1510351200000,3.699e-05,3.699e-05,3.6e-05,3.6e-05,3509.0
90,1510354800000,3.585e-05,3.698e-05,3.521e-05,3.687e-05,1719.0
91,1510358400000,3.687e-05,3.689e-05,3.52e-05,3.52e-05,30983.0
92,1510362000000,3.52e-05,3.54e-05,3.5e-05,3.516e-05,27604.0
93,1510365600000,3.516e-05,3.525e-05,3.452e-05,3.487e-05,45805.0
94,1510369200000,3.487e-05,3.689e-05,3.452e-05,3.524e-05,228851.0
95,1510372800000,3.537e-05,3.687e-05,3.537e-05,3.678e-05,85355.0
96,1510376400000,3.687e-05,3.78e-05,3.672e-05,3.771e-05,86766.0
97,1510380000000,3.764e-05,3.787e-05,3.525e-05,3.624e-05,89227.0
98,1510383600000,3.596e-05,3.835e-05,3.591e-05,3.82e-05,132073.0
99,1510387200000,3.82e-05,3.835e-05,3.674e-05,3.745e-05,19647.0
100,1510390800000,3.769e-05,3.897e-05,3.767e-05,3.897e-05,83832.0
101,1510394400000,3.89e-05,3.9e-05,3.844e-05,3.868e-05,32231.0
102,1510398000000,3.877e-05,3.934e-05,3.844e-05,3.879e-05,50680.0
103,1510401600000,3.879e-05,3.98e-05,3.844e-05,3.883e-05,50657.0
104,1510405200000,3.89e-05,3.949e-05,3.752e-05,3.784e-05,61012.0
105,1510408800000,3.779e-05,3.835e-05,3.75e-05,3.787e-05,44341.0
106,1510412400000,3.787e-05,3.795e-05,3.731e-05,3.778e-05,47968.0
107,1510416000000,3.768e-05,3.834e-05,3.702e-05,3.751e-05,24906.0
108,1510419600000,3.751e-05,3.808e-05,3.711e-05,3.799e-05,73361.0
109,1510423200000,3.834e-05,3.926e-05,3.716e-05,3.82e-05,24226.0
110,1510426800000,3.828e-05,3.92e-05,3.792e-05,3.795e-05,19145.0
111,1510430400000,3.803e-05,3.855e-05,3.716e-05,3.805e-05,42673.0
112,1510434000000,3.795e-05,3.876e-05,3.749e-05,3.755e-05,22550.0
113,1510437600000,3.755e-05,3.796e-05,3.755e-05,3.778e-05,13335.0
114,1510441200000,3.754e-05,3.887e-05,3.7e-05,3.778e-05,33742.0
115,1510444800000,3.768e-05,3.839e-05,3.768e-05,3.811e-05,40677.0
116,1510448400000,3.811e-05,3.849e-05,3.811e-05,3.849e-05,11200.0
117,1510452000000,3.854e-05,3.885e-05,3.708e-05,3.71e-05,108249.0
118,1510455600000,3.714e-05,3.81e-05,3.7e-05,3.753e-05,44101.0
119,1510459200000,3.743e-05,3.765e-05,3.658e-05,3.75e-05,75041.0
120,1510462800000,3.749e-05,3.904e-05,3.738e-05,3.84e-05,128499.0
121,1510466400000,3.836e-05,3.97e-05,3.707e-05,3.784e-05,100737.0
122,1510470000000,3.706e-05,3.73e-05,3.6e-05,3.6e-05,80401.0
123,1510473600000,3.729e-05,3.729e-05,3.51e-05,3.662e-05,265444.0
124,1510477200000,3.696e-05,3.724e-05,3.501e-05,3.505e-05,130082.0
125,1510480800000,3.507e-05,3.562e-05,3.4e-05,3.426e-05,268195.0
126,1510484400000,3.426e-05,3.485e-05,3.305e-05,3.485e-05,17685.0
127,1510488000000,3.505e-05,3.506e-05,3.3e-05,3.43e-05,122896.0
128,1510491600000,3.431e-05,3.814e-05,3.186e-05,3.576e-05,330980.0
129,1510495200000,3.413e-05,3.95e-05,3.36e-05,3.62e-05,186313.0
130,1510498800000,3.48e-05,3.9e-05,3.48e-05,3.644e-05,108267.0
131,1510502400000,3.642e-05,3.679e-05,3.479e-05,3.497e-05,201942.0
