,ts,open,high,low,close,volume
0,1517814000000,0.53,0.99,0.37,0.45,1450.06
1,1517817600000,0.6,0.6,0.3825,0.40079,5311.55
2,1517821200000,0.40079,0.40852,0.35001,0.40299,6885.64
3,1517824800000,0.39699,0.40828,0.3649,0.3649,4860.28
4,1517828400000,0.36505,0.38994,0.36505,0.36816,4060.29
5,1517832000000,0.38865,0.38865,0.36849,0.37111,700.1
6,1517835600000,0.37158,0.427,0.37,0.41614,3385.11
7,1517839200000,0.416,0.416,0.3896,0.40998,793.45
8,1517842800000,0.39266,0.41439,0.39068,0.39072,853.68
9,1517846400000,0.39072,0.4092,0.36986,0.39,2267.65
10,1517850000000,0.39068,0.4192,0.39,0.4192,1651.71
11,1517853600000,0.4193,0.4315,0.3902,0.3902,1261.3
12,1517857200000,0.39037,0.4079,0.39037,0.40077,776.05
13,1517860800000,0.40779,0.40779,0.37571,0.37892,676.8
14,1517864400000,0.39387,0.41829,0.38132,0.41829,657.34
15,1517868000000,0.42111,0.42909,0.39302,0.39302,421.98
16,1517871600000,0.39541,0.42889,0.38137,0.38137,511.52
17,1517875200000,0.3994,0.41519,0.38939,0.39023,898.63
18,1517878800000,0.39151,0.40485,0.37971,0.40485,1024.16
19,1517882400000,0.40468,0.40468,0.37968,0.37968,568.52
20,1517886000000,0.39909,0.39909,0.38003,0.38003,1432.91
21,1517889600000,0.38242,0.39454,0.36848,0.3749,4535.82
22,1517893200000,0.3749,0.38247,0.363,0.36501,714.55
23,1517896800000,0.37669,0.37723,0.361,0.361,960.34
24,1517900400000,0.361,0.37209,0.35501,0.35524,955.32
25,1517904000000,0.36204,0.36246,0.36203,0.36203,211.17
26,1517907600000,0.35545,0.3616,0.34415,0.34415,2447.74
27,1517911200000,0.33693,0.36006,0.33693,0.35909,224.43
28,1517914800000,0.34034,0.35596,0.34034,0.35596,226.45
29,1517918400000,0.34061,0.34061,0.33453,0.33453,34.77
30,1517922000000,0.33501,0.34629,0.32556,0.34628,662.34
31,1517925600000,0.33792,0.34586,0.33792,0.34586,203.36
32,1517929200000,0.34586,0.34586,0.33733,0.33733,375.38
33,1517932800000,0.33481,0.33481,0.32021,0.33278,889.16
34,1517936400000,0.32781,0.33122,0.32781,0.33122,44.98
35,1517940000000,0.33324,0.336,0.32,0.33415,629.95
36,1517943600000,0.33227,0.33439,0.32373,0.33439,163.34
37,1517947200000,0.33439,0.33439,0.32095,0.32358,591.22
38,1517950800000,0.34607,0.34607,0.3215,0.3215,47.85
39,1517954400000,0.329,0.34469,0.32284,0.3329,523.82
40,1517958000000,0.3232,0.34456,0.3232,0.33153,228.0
41,1517961600000,0.33121,0.34437,0.33121,0.33998,41.37
42,1517965200000,0.33772,0.34236,0.3225,0.3225,522.16
43,1517968800000,0.33899,0.3394,0.33011,0.33887,570.94
44,1517972400000,0.33885,0.3394,0.3225,0.32922,1214.19
45,1517976000000,0.3399,0.33999,0.33621,0.33999,473.7
46,1517979600000,0.33997,0.33999,0.33163,0.33163,35.05
