,ts,open,high,low,close,volume
0,1517814000000,0.0072,0.0072,0.004539,0.005001,36312.47
1,1517817600000,0.005,0.0055,0.00365,0.003891,139513.85
2,1517821200000,0.003893,0.004,0.00365,0.00384,36522.97
3,1517824800000,0.003918,0.003955,0.0037,0.00373,16644.46
4,1517828400000,0.003719,0.003873,0.003551,0.00377,10510.42
5,1517832000000,0.003742,0.0039,0.003564,0.00377,8256.99
6,1517835600000,0.003732,0.0042,0.003672,0.003969,14999.48
7,1517839200000,0.003969,0.003989,0.003845,0.003928,7855.54
8,1517842800000,0.00385,0.003936,0.00375,0.003843,8556.83
9,1517846400000,0.003834,0.003937,0.003685,0.003777,7433.57
10,1517850000000,0.003778,0.004016,0.003742,0.003948,7878.91
11,1517853600000,0.003948,0.00409,0.00375,0.00375,6060.76
12,1517857200000,0.003766,0.00395,0.003741,0.003807,8401.21
13,1517860800000,0.00381,0.003929,0.003677,0.003803,7932.88
14,1517864400000,0.0038,0.0041,0.003717,0.0041,8724.44
15,1517868000000,0.0041,0.004188,0.003825,0.0039,7174.9
16,1517871600000,0.0039,0.003947,0.00372,0.00372,3524.8
17,1517875200000,0.003723,0.003888,0.0037,0.003781,4971.84
18,1517878800000,0.003781,0.003801,0.0037,0.003731,2643.71
19,1517882400000,0.003731,0.003796,0.0037,0.003715,2668.02
20,1517886000000,0.00372,0.003797,0.003599,0.00376,6483.84
21,1517889600000,0.003731,0.003738,0.003457,0.003644,10476.26
22,1517893200000,0.003614,0.0037,0.00349,0.003598,4187.81
23,1517896800000,0.003598,0.003729,0.0035,0.003555,6349.26
24,1517900400000,0.00353,0.00372,0.003514,0.003618,6005.41
25,1517904000000,0.003618,0.0037,0.003579,0.003585,3389.69
26,1517907600000,0.003579,0.0037,0.0034,0.003585,1576.71
27,1517911200000,0.003514,0.003583,0.0034,0.003462,2051.71
28,1517914800000,0.003524,0.003524,0.003347,0.003458,1277.27
29,1517918400000,0.003499,0.003526,0.003349,0.003414,3090.54
30,1517922000000,0.003362,0.003455,0.003301,0.003388,8516.23
31,1517925600000,0.003385,0.003602,0.003385,0.003602,4983.52
32,1517929200000,0.003529,0.003576,0.003448,0.003521,3181.79
33,1517932800000,0.003512,0.003512,0.00342,0.003468,1063.64
34,1517936400000,0.003497,0.003548,0.003452,0.003452,2031.84
35,1517940000000,0.003476,0.003497,0.003369,0.003369,845.28
36,1517943600000,0.003404,0.003523,0.0033,0.003506,3439.11
37,1517947200000,0.003506,0.00355,0.003411,0.003478,1862.25
38,1517950800000,0.003479,0.00358,0.003473,0.003565,1430.66
39,1517954400000,0.00352,0.003702,0.0033,0.003526,5686.6
40,1517958000000,0.003501,0.003618,0.0035,0.003564,2600.71
41,1517961600000,0.003564,0.003573,0.003435,0.003461,864.25
42,1517965200000,0.003461,0.003532,0.003427,0.003436,1677.24
43,1517968800000,0.00352,0.003567,0.003436,0.003478,1740.0
44,1517972400000,0.003481,0.003555,0.003315,0.003428,5338.03
45,1517976000000,0.003479,0.003572,0.003404,0.003404,322.6
46,1517979600000,0.00345,0.003519,0.003373,0.003468,2266.03
47,1517983200000,0.003468,0.003572,0.003418,0.0035,3420.78
48,1517986800000,0.003502,0.003574,0.003502,0.003543,1718.6
49,1517990400000,0.003561,0.003579,0.0035,0.003501,1798.17
50,1517994000000,0.003514,0.003522,0.003473,0.003475,1884.95
51,1517997600000,0.003475,0.003475,0.003342,0.003439,2819.38
52,1518001200000,0.003439,0.003508,0.00331,0.003371,5395.49
53,1518004800000,0.003372,0.00348,0.00331,0.003428,3020.11
54,1518008400000,0.00346,0.003508,0.003429,0.003475,1590.4
55,1518012000000,0.003467,0.003475,0.003405,0.003453,1887.13
56,1518015600000,0.003453,0.003467,0.003405,0.00342,1553.05
57,1518019200000,0.00342,0.003469,0.003405,0.003464,971.11
58,1518022800000,0.003408,0.003499,0.003405,0.003447,1664.35
59,1518026400000,0.003443,0.003487,0.003442,0.003443,580.89
60,1518030000000,0.003485,0.003538,0.00332,0.003387,3128.09
61,1518033600000,0.003421,0.003442,0.003388,0.003388,729.37
62,1518037200000,0.003429,0.00343,0.003367,0.003429,793.35
63,1518040800000,0.003408,0.003469,0.003367,0.003431,778.38
64,1518044400000,0.003367,0.00343,0.00325,0.003324,6154.06
65,1518048000000,0.003321,0.003321,0.003251,0.003252,131.69
66,1518168497533,0.003274,0.003399,0.003253,0.003273,53.35
67,1518172097533,0.003295,0.003408,0.003295,0.003381,410.89
68,1518175697533,0.00338,0.003469,0.003348,0.003468,1462.35
69,1518179297533,0.003443,0.00352,0.003373,0.00344,3849.63
70,1518182897533,0.003431,0.00355,0.003353,0.00355,2918.49
71,1518186497533,0.003444,0.00354,0.003429,0.00345,1040.16
