,ts,open,high,low,close,volume
0,1509346800000,2.62e-05,2.62e-05,2.62e-05,2.62e-05,109.0
1,1509350400000,0.00012,0.000269,2.85e-05,3.4e-05,120115.0
2,1509354000000,3.429e-05,3.943e-05,3.321e-05,3.338e-05,83123.0
3,1509357600000,3.343e-05,3.497e-05,3.343e-05,3.35e-05,47950.0
4,1509361200000,3.343e-05,3.442e-05,3.342e-05,3.441e-05,24259.0
5,1509364800000,3.441e-05,3.5e-05,3.441e-05,3.5e-05,29533.0
6,1509368400000,3.5e-05,3.594e-05,3.42e-05,3.42e-05,35945.0
7,1509372000000,3.42e-05,3.583e-05,3.4e-05,3.579e-05,12173.0
8,1509375600000,3.569e-05,3.569e-05,3.5e-05,3.5e-05,9093.0
9,1509379200000,3.498e-05,3.5e-05,3.4e-05,3.5e-05,10937.0
10,1509382800000,3.5e-05,3.5e-05,3.204e-05,3.204e-05,16826.0
11,1509386400000,3.199e-05,3.4e-05,3.1e-05,3.4e-05,36580.0
12,1509390000000,3.389e-05,3.4e-05,3.13e-05,3.377e-05,9586.0
13,1509393600000,3.32e-05,3.4e-05,3.13e-05,3.398e-05,16355.0
14,1509397200000,3.392e-05,3.392e-05,3.389e-05,3.389e-05,1033.0
15,1509400800000,3.2e-05,3.379e-05,2.804e-05,3.379e-05,43257.0
16,1509404400000,3.37e-05,3.4e-05,3.37e-05,3.395e-05,51279.0
17,1509408000000,3.395e-05,3.488e-05,3.377e-05,3.488e-05,189023.0
18,1509411600000,3.3e-05,3.3e-05,3.25e-05,3.25e-05,915.0
19,1509415200000,3.25e-05,3.25e-05,3.2e-05,3.2e-05,1611.0
20,1509418800000,3.15e-05,3.15e-05,2.9e-05,3e-05,39725.0
21,1509422400000,3e-05,3.1e-05,3e-05,3.036e-05,33158.0
22,1509426000000,3.036e-05,3.3e-05,3.036e-05,3.299e-05,44726.0
23,1509429600000,3.268e-05,3.27e-05,3.012e-05,3.246e-05,3798.0
24,1509433200000,3.246e-05,3.246e-05,3.246e-05,3.246e-05,1084.0
25,1509436800000,3.234e-05,3.235e-05,3.23e-05,3.23e-05,6560.0
26,1509440400000,3.012e-05,3.113e-05,2.808e-05,3.113e-05,33651.0
27,1509444000000,3.113e-05,3.113e-05,3.113e-05,3.113e-05,0.0
28,1509447600000,3.113e-05,3.113e-05,3.113e-05,3.113e-05,0.0
29,1509451200000,3.113e-05,3.113e-05,3.1e-05,3.1e-05,1521.0
30,1509454800000,3.099e-05,3.276e-05,3.099e-05,3.276e-05,9345.0
31,1509458400000,3.073e-05,3.264e-05,3.073e-05,3.264e-05,2865.0
32,1509462000000,3.26e-05,3.26e-05,3.26e-05,3.26e-05,29612.0
33,1509465600000,3.26e-05,3.26e-05,3.23e-05,3.23e-05,150032.0
34,1509469200000,3.2e-05,3.2e-05,3.09e-05,3.09e-05,3113.0
35,1509472800000,3.1e-05,3.1e-05,2.901e-05,2.904e-05,455.0
36,1509476400000,2.903e-05,3.079e-05,2.805e-05,2.805e-05,44195.0
37,1509480000000,2.805e-05,2.805e-05,2.805e-05,2.805e-05,1165.0
38,1509483600000,3e-05,3.258e-05,2.95e-05,2.963e-05,9863.0
39,1509487200000,2.963e-05,2.973e-05,2.804e-05,2.973e-05,58350.0
40,1509490800000,2.973e-05,2.973e-05,2.973e-05,2.973e-05,0.0
41,1509494400000,2.972e-05,2.972e-05,2.804e-05,2.804e-05,124680.0
42,1509498000000,2.735e-05,2.735e-05,2.735e-05,2.735e-05,1524.0
43,1509501600000,2.888e-05,2.888e-05,2.888e-05,2.888e-05,40.0
44,1509505200000,2.888e-05,2.888e-05,2.888e-05,2.888e-05,517.0
45,1509508800000,2.888e-05,2.888e-05,2.888e-05,2.888e-05,0.0
46,1509512400000,2.888e-05,2.888e-05,2.888e-05,2.888e-05,0.0
47,1509516000000,2.735e-05,2.735e-05,2.735e-05,2.735e-05,7743.0
48,1509519600000,2.735e-05,2.735e-05,2.24e-05,2.69e-05,20057.0
49,1509523200000,2.6e-05,2.6e-05,2.425e-05,2.425e-05,250.0
50,1509526800000,2.425e-05,2.44e-05,2.3e-05,2.307e-05,1056.0
51,1509530400000,2.307e-05,2.399e-05,2.01e-05,2.399e-05,34811.0
52,1509534000000,2.444e-05,2.445e-05,2.388e-05,2.389e-05,18232.0
53,1509537600000,2.389e-05,2.389e-05,2.389e-05,2.389e-05,49015.0
54,1509541200000,2.4e-05,2.4e-05,2.29e-05,2.4e-05,20357.0
55,1509544800000,2.333e-05,2.335e-05,2.333e-05,2.335e-05,1376.0
56,1509548400000,2.34e-05,2.349e-05,2.34e-05,2.344e-05,3082.0
57,1509552000000,2.341e-05,2.4e-05,2.289e-05,2.3e-05,64164.0
58,1509555600000,2.3e-05,2.351e-05,2.3e-05,2.351e-05,26459.0
59,1509559200000,2.351e-05,2.351e-05,2.351e-05,2.351e-05,701.0
60,1509562800000,2.35e-05,2.48e-05,2.35e-05,2.48e-05,3638725.0
61,1509566400000,2.5e-05,2.5e-05,2.39e-05,2.5e-05,259784.0
62,1509570000000,2.49e-05,2.5e-05,2.346e-05,2.5e-05,933.0
63,1509573600000,2.499e-05,2.5e-05,2.341e-05,2.341e-05,15514.0
64,1509577200000,2.341e-05,2.341e-05,2.341e-05,2.341e-05,0.0
65,1509580800000,2.341e-05,2.483e-05,2.176e-05,2.483e-05,9959.0
66,1509584400000,2.483e-05,2.483e-05,2.483e-05,2.483e-05,0.0
67,1509588000000,2.4e-05,2.4e-05,2.4e-05,2.4e-05,500.0
