,ts,open,high,low,close,volume
0,1515564000000,0.0012,0.007957,0.0012,0.0044,1183538.0
1,1515567600000,0.00444,0.0068,0.00176,0.002,3005202.0
2,1515571200000,0.0020001,0.0021099,0.00116,0.0014377,2204338.0
3,1515574800000,0.0014377,0.0018,0.00132,0.0015515,1441230.0
4,1515578400000,0.0015716,0.001874,0.001551,0.0017229,1148118.0
5,1515582000000,0.0017242,0.00249,0.0017242,0.00195,3930651.0
6,1515585600000,0.0019697,0.0023,0.0019101,0.00212,2151407.0
7,1515589200000,0.0021198,0.00289,0.0020925,0.0024196,5183856.0
8,1515592800000,0.0024196,0.00245,0.0019202,0.0022693,3570929.0
9,1515596400000,0.0022498,0.00225,0.0018,0.0019405,1805221.0
10,1515600000000,0.0019405,0.0019805,0.0015005,0.0017647,2493666.0
11,1515603600000,0.0017647,0.001826,0.0016,0.0016284,1251843.0
12,1515607200000,0.0016223,0.001699,0.00152,0.001605,1065615.0
13,1515610800000,0.001605,0.00183,0.00141,0.0017496,1589604.0
14,1515614400000,0.0017496,0.0021775,0.0016,0.0018807,2750665.0
15,1515618000000,0.0018807,0.0019989,0.0016538,0.0017227,1693513.0
16,1515621600000,0.0017227,0.00192,0.00161,0.0018706,1317490.0
17,1515625200000,0.0018781,0.00199,0.0017522,0.0018978,1030387.0
18,1515628800000,0.0018924,0.0019269,0.001655,0.0016697,767129.0
19,1515632400000,0.001665,0.0018722,0.00165,0.0018342,737280.0
20,1515636000000,0.0018489,0.002035,0.0017602,0.0019463,1436003.0
21,1515639600000,0.0019463,0.00195,0.0016537,0.0017047,1440552.0
22,1515643200000,0.0017049,0.00181,0.0013855,0.0015749,1352353.0
23,1515646800000,0.0015778,0.00168,0.00145,0.0015428,814459.0
24,1515650400000,0.0015425,0.0015834,0.0014271,0.0014899,557303.0
25,1515654000000,0.0014899,0.0015999,0.0014723,0.0015297,765376.0
26,1515657600000,0.0015233,0.001525,0.00143,0.001479,440484.0
27,1515661200000,0.001479,0.0014854,0.001355,0.0013641,370344.0
28,1515664800000,0.0013572,0.0014655,0.0013,0.001389,612281.0
29,1515668400000,0.001389,0.001415,0.0013,0.0013529,555767.0
30,1515672000000,0.0013484,0.00145,0.0013484,0.0013969,486204.0
31,1515675600000,0.0013968,0.0014949,0.0013949,0.00149,515760.0
32,1515679200000,0.0014947,0.00159,0.00129,0.0013119,926215.0
33,1515682800000,0.0013118,0.0014086,0.0013101,0.001341,572702.0
34,1515686400000,0.001341,0.0013757,0.00131,0.0013115,389339.0
35,1515690000000,0.0013115,0.0013539,0.0012701,0.0013367,362476.0
36,1515693600000,0.0013368,0.0013485,0.0012796,0.0013075,212934.0
37,1515697200000,0.0013055,0.0013789,0.0013026,0.0013576,231732.0
38,1515700800000,0.0013578,0.0014,0.00132,0.0013449,264590.0
39,1515704400000,0.0013449,0.001387,0.0013102,0.00136,252049.0
40,1515708000000,0.0013602,0.001449,0.0013333,0.0013701,273193.0
41,1515711600000,0.0013705,0.00143,0.0013602,0.0013924,180493.0
42,1515715200000,0.00139,0.00143,0.0013664,0.00139,151918.0
43,1515718800000,0.0013901,0.0014499,0.0013651,0.001419,224576.0
44,1515722400000,0.001419,0.001533,0.0013988,0.0014684,656283.0
45,1515726000000,0.0014685,0.0014778,0.0013717,0.00141,356964.0
46,1515729600000,0.0014095,0.00141,0.0013501,0.0013728,249152.0
47,1515733200000,0.0013728,0.0014,0.00132,0.0013232,210110.0
48,1515736800000,0.00132,0.0013814,0.0012561,0.0012569,478335.0
49,1515740400000,0.0012562,0.00133,0.00119,0.0012163,498498.0
50,1515744000000,0.0012165,0.0012165,0.0004,0.0011695,460098.0
51,1515747600000,0.00116,0.0013534,0.001141,0.001219,434496.0
52,1515751200000,0.0012291,0.00124,0.0011588,0.001185,255033.0
53,1515754800000,0.0011855,0.0011998,0.001101,0.0011318,358766.0
54,1515758400000,0.0011316,0.001167,0.0010351,0.00105,321354.0
55,1515762000000,0.0010503,0.001075,0.0009738,0.0010271,421776.0
56,1515765600000,0.0010293,0.0010989,0.0010061,0.00105,268201.0
57,1515769200000,0.0010501,0.0011252,0.0010374,0.0010615,373070.0
58,1515772800000,0.0010595,0.0010758,0.00102,0.0010226,152481.0
59,1515776400000,0.0010227,0.0010386,0.0009652,0.0010097,373057.0
60,1515780000000,0.0009983,0.00104,0.0009978,0.001017,120970.0
61,1515783600000,0.001017,0.001045,0.0010051,0.0010271,73552.0
62,1515787200000,0.0010251,0.001137,0.001,0.0011003,310299.0
63,1515790800000,0.0011017,0.001112,0.0010221,0.001055,250963.0
64,1515794400000,0.0010594,0.0010594,0.00103,0.0010376,153581.0
65,1515798000000,0.0010377,0.0010468,0.0010005,0.0010297,119738.0
66,1515801600000,0.0010297,0.0010392,0.001,0.0010328,122763.0
67,1515805200000,0.0010299,0.0010566,0.001005,0.0010254,151649.0
68,1515808800000,0.0010234,0.00105,0.0009919,0.00104,229271.0
69,1515812400000,0.00104,0.001158,0.00104,0.0011354,300700.0
70,1515816000000,0.001136,0.001136,0.001027,0.0010335,247588.0
71,1515819600000,0.0010335,0.0010779,0.001027,0.0010423,146360.0
72,1515823200000,0.0010419,0.0010419,0.001,0.001007,146024.0
73,1515826800000,0.001007,0.0010504,0.0010052,0.0010188,132518.0
74,1515830400000,0.0010188,0.001033,0.00099,0.0010102,121637.0
75,1515834000000,0.0010103,0.001045,0.0009989,0.001001,129564.0
76,1515837600000,0.0010015,0.0010073,0.0009046,0.0009252,194222.0
77,1515841200000,0.0009283,0.0009595,0.0009,0.0009256,155757.0
78,1515844800000,0.0009318,0.000937,0.0009001,0.0009078,96576.0
79,1515848400000,0.0009111,0.00092,0.000821,0.0008457,399376.0
80,1515852000000,0.0008403,0.0008505,0.0007543,0.0007943,389041.0
81,1515855600000,0.0007901,0.000845,0.00071,0.0008241,541957.0
82,1515859200000,0.0008241,0.0008499,0.000765,0.0007727,281016.0
83,1515862800000,0.0007727,0.0008131,0.000765,0.0007776,197531.0
84,1515866400000,0.0007702,0.0007793,0.0007202,0.0007401,205615.0
85,1515870000000,0.0007401,0.000767,0.0007011,0.000724,233662.0
86,1515873600000,0.0007246,0.000767,0.0007104,0.0007316,165206.0
87,1515877200000,0.0007303,0.000757,0.0007262,0.0007498,105423.0
88,1515880800000,0.0007498,0.00084,0.0007479,0.0007799,345594.0
89,1515884400000,0.0007765,0.0008107,0.0007313,0.0007474,163120.0
90,1515888000000,0.0007476,0.0008007,0.0007294,0.00076,193951.0
91,1515891600000,0.00076,0.00078,0.0007302,0.0007672,141232.0
92,1515895200000,0.0007671,0.0007743,0.0007331,0.0007665,139823.0
93,1515898800000,0.0007607,0.00082,0.0007515,0.0008047,287788.0
94,1515902400000,0.0008036,0.00092,0.0008035,0.0009171,525436.0
95,1515906000000,0.0009151,0.0009151,0.0008161,0.0008498,296434.0
96,1515909600000,0.0008497,0.00085,0.00079,0.0008167,181225.0
97,1515913200000,0.0008167,0.0008958,0.0008097,0.0008683,259905.0
98,1515916800000,0.0008723,0.0009902,0.0008544,0.0009253,403685.0
99,1515920400000,0.0009171,0.0009707,0.0009093,0.0009534,179429.0
100,1515924000000,0.00095,0.0009773,0.0009,0.00091,216868.0
101,1515927600000,0.00091,0.0009139,0.0008328,0.0008699,239270.0
102,1515931200000,0.0008529,0.0008899,0.0008176,0.0008608,138953.0
103,1515934800000,0.0008609,0.0009769,0.000835,0.0009401,419726.0
104,1515938400000,0.0009448,0.00135,0.00088,0.0012297,3472805.0
105,1515942000000,0.0012297,0.00124,0.0010025,0.00105,1779512.0
106,1515945600000,0.0010478,0.00122,0.0010437,0.0012031,1261378.0
107,1515949200000,0.0012012,0.0013264,0.00112,0.0011798,2399019.0
108,1515952800000,0.0011798,0.00122,0.00108,0.0012,1165161.0
109,1515956400000,0.0012,0.0012001,0.0010802,0.0011033,568285.0
110,1515960000000,0.0011028,0.0011041,0.00101,0.0010291,570871.0
111,1515963600000,0.0010456,0.001072,0.00095,0.0010272,679253.0
112,1515967200000,0.0010266,0.0010349,0.00091,0.0009465,399873.0
113,1515970800000,0.0009465,0.0009834,0.0008999,0.0009204,346616.0
114,1515974400000,0.0009279,0.001049,0.000925,0.0009734,748746.0
115,1515978000000,0.0009737,0.0010371,0.0009502,0.00102,491629.0
116,1515981600000,0.00102,0.00103,0.0009671,0.0009948,368631.0
117,1515985200000,0.000986,0.0009986,0.0009671,0.0009758,154091.0
118,1515988800000,0.0009742,0.000997,0.0009206,0.0009536,195245.0
119,1515992400000,0.0009546,0.0009799,0.0009206,0.0009449,298723.0
120,1515996000000,0.000945,0.0010398,0.0009345,0.00095,545025.0
121,1515999600000,0.0009499,0.0009696,0.0009001,0.0009239,274125.0
122,1516003200000,0.0009206,0.0009299,0.0008289,0.0008592,316138.0
123,1516006800000,0.0008576,0.0008984,0.0008403,0.0008472,137488.0
124,1516010400000,0.0008472,0.00088,0.0008321,0.0008468,167705.0
125,1516014000000,0.0008493,0.0009218,0.0008478,0.0008899,226208.0
126,1516017600000,0.0008999,0.0009193,0.0008717,0.0008877,170366.0
127,1516021200000,0.0008949,0.0009069,0.00078,0.0008064,268953.0
