,ts,open,high,low,close,volume
0,1513083600000,6.9,6.9,0.33001,0.49993,4928.71
1,1513087200000,0.41,0.4999,0.33002,0.41999,3485.71
2,1513090800000,0.4199,0.49989,0.395,0.43,5855.83
3,1513094400000,0.39502,0.78722,0.39502,0.5,11958.41
4,1513098000000,0.50011,0.78721,0.49995,0.64988,721.58
5,1513101600000,0.50011,0.5545,0.42,0.46,4583.61
6,1513105200000,0.5,0.5198,0.49997,0.49997,1294.4
7,1513108800000,0.49998,0.509,0.49998,0.5,1265.29
8,1513112400000,0.5,0.5,0.46051,0.46051,896.16
9,1513116000000,0.46054,0.49998,0.46054,0.47007,10260.23
10,1513119600000,0.49997,0.59779,0.49997,0.596,2850.1
11,1513123200000,0.585,0.6,0.50001,0.6,6080.27
12,1513126800000,0.53517,0.59894,0.53517,0.57001,386.81
13,1513130400000,0.57001,0.59894,0.5,0.5989,229.41
14,1513134000000,0.5989,0.59894,0.50002,0.59892,721.92
15,1513137600000,0.59892,0.59892,0.50044,0.5989,2993.44
16,1513141200000,0.51702,0.6,0.51,0.51865,675.28
17,1513144800000,0.51864,0.5191,0.50278,0.51903,175.6
18,1513148400000,0.515,0.515,0.47611,0.47611,3122.8393
19,1513152000000,0.51248843,0.51248843,0.47601,0.47609,9894.10654695
20,1513155600000,0.47609,0.47609,0.4,0.4,1683.57176512
21,1513159200000,0.40001,0.42002,0.36753413,0.4031,6186.87290322
22,1513162800000,0.438999,0.438999,0.37345002,0.37345002,5540.41
23,1513166400000,0.37347,0.40965,0.37347,0.38002,918.33
24,1513170000000,0.40965,0.45551952,0.40964,0.40964,11666.67190477
25,1513173600000,0.40965,0.40967001,0.39640868,0.40965,1675.4693472
26,1513177200000,0.40965001,0.42027985,0.39663,0.39666002,647.07454522
27,1513180800000,0.400325,0.41059999,0.400325,0.40101586,781.61974409
28,1513184400000,0.40101586,0.4106,0.39716007,0.39723006,459.00974409
29,1513188000000,0.39764002,0.39765003,0.39379,0.39379,5189.00867939
30,1513191600000,0.39379,0.41,0.39379,0.39379,1892.16
31,1513195200000,0.39379,0.41,0.39379,0.39403024,243.69
32,1513198800000,0.39394,0.39394,0.38014001,0.38027012,330.34
33,1513202400000,0.38026,0.39407003,0.38026,0.39404,321.14
34,1513206000000,0.39404,0.39404,0.38027,0.38027,339.93
35,1513209600000,0.38028001,0.39187,0.38028001,0.39187,115.35
36,1513213200000,0.38042003,0.38042003,0.3542,0.35475,14935.92
37,1513216800000,0.35475,0.35475,0.35475,0.35475,2.35
38,1513220400000,0.36,0.4058316,0.34591,0.34591,4780.42
39,1513224000000,0.33003,0.37268016,0.33003,0.33004,1145.25
40,1513227600000,0.33008,0.3328264,0.33004,0.33186,4271.09
41,1513231200000,0.33288873,0.37095952,0.33288873,0.34019001,357.22
42,1513234800000,0.3402,0.35986863,0.33186,0.35982859,357.57
43,1513238400000,0.366087,0.366087,0.36432953,0.36432953,71.87
44,1513242000000,0.36461985,0.36462985,0.33191,0.33946994,7919.29778843
45,1513245600000,0.3394,0.369,0.3394,0.34630916,1971.1290119
46,1513249200000,0.36898999,0.37,0.34855311,0.36899998,4662.53081081
47,1513252800000,0.36899998,0.37,0.36034034,0.36034034,617.41
48,1513256400000,0.40510898,0.40510898,0.39,0.39,217.28
49,1513260000000,0.39,0.4051,0.36359,0.39021023,1110.21492958
50,1513263600000,0.39035038,0.39036038,0.36416,0.36416,1922.89999954
51,1513267200000,0.36416,0.36416,0.36129,0.36129999,273.54349017
