,ts,open,high,low,close,volume
0,1513083600000,0.01,0.01,6.09e-05,7.306e-05,2122776.0
1,1513087200000,7.4e-05,7.45e-05,5.415e-05,6.58e-05,1725862.0
2,1513090800000,6.58e-05,7.3e-05,6.073e-05,6.766e-05,875807.0
3,1513094400000,6.874e-05,9.8e-05,6.8e-05,8.401e-05,2453834.0
4,1513098000000,8.42e-05,9e-05,7.8e-05,7.925e-05,748320.0
5,1513101600000,7.901e-05,8.1e-05,7.201e-05,7.979e-05,993745.0
6,1513105200000,7.9e-05,7.97e-05,7.3e-05,7.597e-05,403056.0
7,1513108800000,7.595e-05,7.837e-05,7.198e-05,7.198e-05,485629.0
8,1513112400000,7.2e-05,7.62e-05,7.13e-05,7.32e-05,266223.0
9,1513116000000,7.33e-05,7.837e-05,7.235e-05,7.589e-05,374551.0
10,1513119600000,7.65e-05,8.351e-05,7.65e-05,8e-05,576576.0
11,1513123200000,8.01e-05,9.25e-05,7.99e-05,9.05e-05,593339.0
12,1513126800000,9.05e-05,9.201e-05,8.501e-05,8.908e-05,543877.0
13,1513130400000,8.907e-05,9.184e-05,8.654e-05,8.8e-05,435782.0
14,1513134000000,8.8e-05,8.952e-05,8.4e-05,8.788e-05,179650.0
15,1513137600000,8.791e-05,8.952e-05,8.501e-05,8.51e-05,115267.0
16,1513141200000,8.502e-05,8.7e-05,8.305e-05,8.51e-05,166229.0
17,1513144800000,8.6e-05,8.7e-05,8.1e-05,8.282e-05,315799.0
18,1513148400000,8.283e-05,8.283e-05,7.661e-05,7.9e-05,294848.0
19,1513152000000,7.9e-05,7.97e-05,7.483e-05,7.5e-05,361898.0
20,1513155600000,7.49e-05,7.7e-05,6.6e-05,6.799e-05,601636.0
21,1513159200000,6.801e-05,7.42e-05,6.109e-05,6.923e-05,697356.0
22,1513162800000,7.02e-05,7.05e-05,6.3e-05,6.361e-05,412860.0
23,1513166400000,6.361e-05,6.799e-05,6.33e-05,6.705e-05,457465.0
24,1513170000000,6.709e-05,7.35e-05,6.621e-05,6.998e-05,459902.0
25,1513173600000,6.67e-05,7.1e-05,6.609e-05,6.875e-05,193165.0
26,1513177200000,6.875e-05,7.099e-05,6.67e-05,6.996e-05,295272.0
27,1513180800000,6.995e-05,6.996e-05,6.57e-05,6.787e-05,239486.0
28,1513184400000,6.787e-05,6.929e-05,6.669e-05,6.891e-05,113990.0
29,1513188000000,6.888e-05,6.899e-05,6.501e-05,6.664e-05,159391.0
30,1513191600000,6.667e-05,6.78e-05,6.665e-05,6.768e-05,86192.0
31,1513195200000,6.72e-05,6.785e-05,6.5e-05,6.78e-05,137046.0
32,1513198800000,6.786e-05,6.787e-05,6.4e-05,6.47e-05,246351.0
33,1513202400000,6.47e-05,6.677e-05,6.381e-05,6.471e-05,153221.0
34,1513206000000,6.477e-05,6.666e-05,6.471e-05,6.512e-05,129811.0
35,1513209600000,6.54e-05,6.58e-05,6.39e-05,6.395e-05,99869.0
36,1513213200000,6.401e-05,6.494e-05,6.3e-05,6.4e-05,255637.0
37,1513216800000,6.362e-05,6.666e-05,6.321e-05,6.561e-05,171377.0
38,1513220400000,6.561e-05,6.997e-05,6.35e-05,6.591e-05,293061.0
39,1513224000000,6.591e-05,6.6e-05,6.293e-05,6.396e-05,137772.0
40,1513227600000,6.389e-05,6.6e-05,6.34e-05,6.44e-05,170443.0
41,1513231200000,6.4e-05,6.594e-05,6.362e-05,6.51e-05,118904.0
42,1513234800000,6.5e-05,6.572e-05,6.363e-05,6.475e-05,218274.0
43,1513238400000,6.475e-05,6.53e-05,6.252e-05,6.27e-05,194146.0
44,1513242000000,6.288e-05,6.54e-05,6.286e-05,6.35e-05,240296.0
45,1513245600000,6.39e-05,6.665e-05,6.251e-05,6.425e-05,322542.0
46,1513249200000,6.455e-05,6.895e-05,6.455e-05,6.5e-05,283361.0
47,1513252800000,6.501e-05,6.621e-05,6.457e-05,6.502e-05,81804.0
48,1513256400000,6.502e-05,6.9e-05,6.49e-05,6.639e-05,148081.0
49,1513260000000,6.834e-05,7.21e-05,6.591e-05,6.985e-05,364818.0
50,1513263600000,6.985e-05,7.04e-05,6.716e-05,6.716e-05,144194.0
51,1513267200000,6.875e-05,6.875e-05,6.507e-05,6.648e-05,185464.0
52,1513270800000,6.648e-05,6.696e-05,6.452e-05,6.52e-05,147177.0
53,1513274400000,6.525e-05,6.667e-05,6.35e-05,6.353e-05,180619.0
54,1513278000000,6.405e-05,6.7e-05,6.35e-05,6.7e-05,152920.0
55,1513281600000,6.6e-05,6.72e-05,6.415e-05,6.631e-05,117845.0
56,1513285200000,6.6e-05,6.697e-05,6.506e-05,6.597e-05,96709.0
57,1513288800000,6.597e-05,6.999e-05,6.597e-05,6.995e-05,167082.0
58,1513292400000,6.998e-05,7.07e-05,6.7e-05,6.902e-05,189258.0
59,1513296000000,6.903e-05,7.03e-05,6.277e-05,6.3e-05,266908.0
60,1513299600000,6.277e-05,6.58e-05,5.746e-05,6.15e-05,340454.0
61,1513303200000,6.143e-05,6.15e-05,5.051e-05,5.251e-05,326088.0
62,1513306800000,5.377e-05,6.075e-05,5.132e-05,5.77e-05,255070.0
63,1513310400000,5.657e-05,6.142e-05,5.657e-05,5.937e-05,86139.0
64,1513314000000,5.939e-05,6.188e-05,5.7e-05,6e-05,118008.0
65,1513317600000,6e-05,6.2e-05,5.825e-05,6.017e-05,81995.0
66,1513321200000,6.017e-05,6.114e-05,5.802e-05,5.943e-05,111848.0
67,1513324800000,5.958e-05,6.5e-05,5.943e-05,6.26e-05,133671.0
68,1513328400000,6.251e-05,6.29e-05,5.713e-05,5.92e-05,131274.0
69,1513332000000,5.829e-05,5.929e-05,5.45e-05,5.59e-05,203831.0
70,1513335600000,5.591e-05,5.699e-05,5.401e-05,5.53e-05,146875.0
71,1513339200000,5.53e-05,5.864e-05,5.403e-05,5.701e-05,94380.0
72,1513342800000,5.728e-05,5.863e-05,5.623e-05,5.861e-05,94115.0
73,1513346400000,5.861e-05,5.861e-05,5.603e-05,5.798e-05,99677.0
74,1513350000000,5.782e-05,5.9e-05,5.691e-05,5.779e-05,77655.0
75,1513353600000,5.779e-05,5.866e-05,5.64e-05,5.73e-05,72633.0
76,1513357200000,5.677e-05,5.798e-05,5.677e-05,5.751e-05,67125.0
77,1513360800000,5.755e-05,5.795e-05,5.588e-05,5.73e-05,116690.0
78,1513364400000,5.73e-05,5.85e-05,5.65e-05,5.759e-05,73776.0
79,1513368000000,5.761e-05,5.898e-05,5.761e-05,5.844e-05,44355.0
80,1513371600000,5.844e-05,6.125e-05,5.844e-05,6.09e-05,112209.0
81,1513375200000,5.904e-05,6.12e-05,5.9e-05,6.119e-05,69654.0
82,1513378800000,6.099e-05,6.844e-05,6.05e-05,6.777e-05,466676.0
83,1513382400000,6.777e-05,7.9e-05,6.706e-05,7.16e-05,1013967.0
84,1513386000000,7.161e-05,7.8e-05,7.014e-05,7.405e-05,669356.0
85,1513389600000,7.405e-05,7.765e-05,7.1e-05,7.5e-05,347226.0
86,1513393200000,7.405e-05,7.94e-05,7.405e-05,7.85e-05,373023.0
87,1513396800000,7.85e-05,7.89e-05,7.201e-05,7.714e-05,254559.0
88,1513400400000,7.709e-05,7.856e-05,7.533e-05,7.54e-05,145396.0
89,1513404000000,7.541e-05,7.799e-05,7.358e-05,7.458e-05,202128.0
90,1513407600000,7.458e-05,7.59e-05,7.104e-05,7.169e-05,315521.0
91,1513411200000,7.291e-05,7.599e-05,7.217e-05,7.405e-05,121902.0
92,1513414800000,7.408e-05,8.755e-05,7.408e-05,8.349e-05,509337.0
93,1513418400000,8.35e-05,0.00010499,8.202e-05,0.00010022,1399706.0
94,1513422000000,0.0001001,0.000117,9e-05,9.7e-05,3079439.0
95,1513425600000,9.625e-05,0.00010663,9.446e-05,0.0001,871774.0
96,1513429200000,0.0001,0.0001015,8.7e-05,9.36e-05,1492861.0
97,1513432800000,9.369e-05,9.642e-05,8.999e-05,9e-05,629952.0
98,1513436400000,9e-05,9.298e-05,8.3e-05,8.6e-05,771116.0
99,1513440000000,8.52e-05,9.987e-05,8.42e-05,9.45e-05,894495.0
100,1513443600000,9.45e-05,0.000109,9.31e-05,0.00010329,1366719.0
101,1513447200000,0.000105,0.000107,9.899e-05,9.98e-05,1012219.0
102,1513450800000,9.98e-05,0.000102,9.321e-05,9.7e-05,568575.0
103,1513454400000,9.698e-05,0.0001001,9.693e-05,9.917e-05,516464.0
104,1513458000000,9.92e-05,0.000105,9.561e-05,0.00010118,742849.0
105,1513461600000,0.00010116,0.0001015,9.801e-05,0.00010066,361853.0
106,1513465200000,0.00010066,0.00010701,0.00010011,0.000107,683241.0
107,1513468800000,0.00010697,0.0001182,0.0001035,0.00011765,889186.0
108,1513472400000,0.00011828,0.00012325,0.0001138,0.00011898,1123567.0
109,1513476000000,0.00011898,0.0001235,0.00011651,0.0001232,515599.0
110,1513479600000,0.0001232,0.0001234,0.00011065,0.00011108,591928.0
111,1513483200000,0.00011011,0.00011425,0.00010619,0.00011093,437038.0
112,1513486800000,0.00011093,0.00011499,0.000109,0.00010903,347657.0
113,1513490400000,0.00010903,0.000112,0.000104,0.00010581,404973.0
114,1513494000000,0.0001058,0.00010845,0.00010384,0.00010598,219199.0
115,1513497600000,0.00010598,0.00010598,0.0001002,0.000102,337697.0
116,1513501200000,0.00010212,0.000109,0.000101,0.0001073,407179.0
117,1513504800000,0.00010733,0.00011472,0.00010452,0.0001063,643195.0
118,1513508400000,0.0001063,0.000107,0.0001013,0.00010131,356241.0
119,1513512000000,0.00010131,0.00010151,9.163e-05,9.75e-05,760623.0
120,1513515600000,9.755e-05,0.00010555,9.755e-05,0.00010184,321115.0
121,1513519200000,0.00010175,0.00010849,9.949e-05,0.00010488,274949.0
122,1513522800000,0.00010489,0.00010677,0.000101,0.00010401,205722.0
123,1513526400000,0.00010408,0.00010408,9.805e-05,9.929e-05,294355.0
124,1513530000000,9.935e-05,0.00010302,9.6e-05,9.828e-05,280895.0
125,1513533600000,9.967e-05,0.0001018,9.742e-05,0.00010159,222557.0
126,1513537200000,0.00010159,0.0001081,9.99e-05,0.000106,352471.0
127,1513540800000,0.00010673,0.00010845,0.00010015,0.00010659,255392.0
128,1513544400000,0.00010659,0.00011387,0.000104,0.0001135,464557.0
129,1513548000000,0.00011261,0.00011331,0.000102,0.00010434,450378.0
130,1513551600000,0.00010433,0.00010791,0.0001028,0.00010529,305851.0
131,1513555200000,0.00010556,0.00011224,0.00010521,0.00010921,317424.0
132,1513558800000,0.00010923,0.00011031,9.913e-05,0.0001075,329527.0
133,1513562400000,0.0001075,0.00011097,0.00010688,0.00010691,139237.0
134,1513566000000,0.00010749,0.00011399,0.00010688,0.00011101,268629.0
135,1513569600000,0.0001098,0.0001125,0.000107,0.00010985,169018.0
