,ts,open,high,low,close,volume
0,1521784800000,0.5,1.0,0.187,0.396,198878.0
1,1521788400000,0.396,0.48999,0.387,0.4341,91240.01
2,1521792000000,0.4341,0.50999,0.43012,0.4667,47990.35
3,1521795600000,0.474,0.50283,0.47399,0.4935,22217.77
4,1521799200000,0.4891,0.49305,0.448,0.455,28281.71
5,1521802800000,0.455,0.4785,0.45011,0.45198,10077.49
6,1521806400000,0.45199,0.45588,0.39254,0.40694,46958.74
7,1521810000000,0.40254,0.42,0.40075,0.42,21087.73
8,1521813600000,0.42,0.44999,0.40834,0.42001,23681.68
9,1521817200000,0.41704,0.42385,0.40001,0.40505,20426.63
10,1521820800000,0.40437,0.40777,0.38501,0.38501,16880.15
11,1521824400000,0.39274,0.39585,0.3688,0.3688,16904.04
12,1521828000000,0.3688,0.3861,0.3688,0.37081,19151.07
13,1521831600000,0.37182,0.38499,0.36522,0.36878,5238.54
14,1521835200000,0.36523,0.3702,0.34008,0.34603,9446.2
15,1521838800000,0.35088,0.44989,0.34564,0.38215,20318.32
16,1521842400000,0.38215,0.38891,0.36027,0.36105,14806.19
17,1521846000000,0.36106,0.37093,0.35785,0.36354,9301.63
18,1521849600000,0.36317,0.37489,0.3511,0.35474,5268.64
19,1521853200000,0.3483,0.36443,0.34235,0.3546,9965.94
20,1521856800000,0.3546,0.36492,0.35117,0.35871,5399.41
21,1521860400000,0.35885,0.43599,0.35885,0.39129,22308.76
22,1521864000000,0.39297,0.4123,0.38773,0.40598,13664.36
23,1521867600000,0.40549,0.40549,0.37489,0.38031,7296.98
24,1521871200000,0.38996,0.39389,0.37,0.37964,6614.85
25,1521874800000,0.39157,0.39991,0.37965,0.38555,5012.44
26,1521878400000,0.39013,0.40026,0.38149,0.38163,8185.22
27,1521882000000,0.386,0.39053,0.37945,0.37945,2801.93
28,1521885600000,0.37945,0.3809,0.37144,0.37454,3447.56
29,1521889200000,0.37454,0.38478,0.37361,0.37574,1776.17
30,1521892800000,0.37701,0.38479,0.37566,0.37693,661.15
31,1521896400000,0.37584,0.38425,0.37181,0.38349,4300.89
32,1521900000000,0.37302,0.38099,0.35777,0.35777,6855.26
33,1521903600000,0.35777,0.365,0.34012,0.34896,5290.8
34,1521907200000,0.3587,0.3587,0.315,0.31866,11321.42
35,1521910800000,0.321,0.33808,0.31788,0.325,6417.91
36,1521914400000,0.32298,0.32899,0.301,0.30807,5736.95
37,1521918000000,0.30341,0.32449,0.29405,0.31815,7744.33
38,1521921600000,0.31815,0.33449,0.31005,0.33143,6630.57
39,1521925200000,0.32869,0.34296,0.32205,0.32205,5084.51
40,1521928800000,0.32205,0.34415,0.3,0.30989,7634.84
41,1521932400000,0.30906,0.3235,0.30744,0.31375,2846.24
42,1521936000000,0.31373,0.3235,0.31078,0.32124,1717.35
43,1521939600000,0.32314,0.32314,0.30403,0.31736,1095.55
44,1521943200000,0.31735,0.323,0.31381,0.31739,2115.86
45,1521946800000,0.3175,0.31877,0.302,0.302,3348.13
46,1521950400000,0.30198,0.31441,0.30171,0.30791,746.31
47,1521954000000,0.3082,0.31615,0.30153,0.30554,2050.19
48,1521957600000,0.29909,0.30594,0.29765,0.30425,4754.05
49,1521961200000,0.30428,0.31386,0.30428,0.30693,4678.52
50,1521964800000,0.31235,0.32071,0.31122,0.3149,2657.54
51,1521968400000,0.31621,0.32071,0.3107,0.31571,1554.73
52,1521972000000,0.31502,0.32205,0.31502,0.32097,205.12
53,1521975600000,0.31465,0.31983,0.31131,0.31982,794.83
