,ts,open,high,low,close,volume
0,1513339200000,3.6,4.4424,3.6,4.18,554.63
1,1513342800000,4.18,4.18,3.6937,3.6937,108.63
2,1513346400000,3.6651,6.1105,3.6,3.8048,6913.08
3,1513350000000,4.1359,4.1359,3.5299,3.8048,156.78
4,1513353600000,3.8048,3.805,3.5467,3.6,149.45
5,1513357200000,3.65,3.7706,3.386,3.7706,31.88
6,1513360800000,3.7617,3.7617,3.3386,3.5941,104.91
7,1513364400000,3.4994,3.5171,2.9529,3.0613,241.31
8,1513368000000,3.1,3.3544,2.983,3.2895,20.75
9,1513371600000,3.0703,3.2891,3.0703,3.2891,113.82
10,1513375200000,3.4507,3.6257,3.3983,3.3983,240.31
11,1513378800000,3.3983,3.3984,2.9634,2.9634,222.82
12,1513382400000,3.289,3.289,3.0503,3.289,56.79
13,1513386000000,2.9466,3.289,2.9466,3.289,0.49
14,1513389600000,3.2889,3.648,3.2889,3.585,193.91
15,1513393200000,3.4061,3.5314,3.2502,3.2502,289.31
16,1513396800000,3.2503,3.4453,3.0833,3.33,69.08
17,1513400400000,3.2842,3.4605,3.2842,3.375,38.31
18,1513404000000,3.375,3.375,3.375,3.375,0.0
19,1513407600000,3.284,3.2851,3.1084,3.285,89.53
20,1513411200000,3.285,3.285,3.285,3.285,113.36
21,1513414800000,3.285,3.285,3.0811,3.0811,0.9
22,1513418400000,3.0811,3.2478,2.9806,3.2478,164.55
23,1513422000000,3.1297,3.1297,2.9476,2.9476,17.33
24,1513425600000,2.9506,3.2254,2.9475,3.2254,180.0
25,1513429200000,2.9497,3.1294,2.9475,3.0993,36.72
26,1513432800000,2.9476,3.0664,2.9476,2.9519,47.79
27,1513436400000,3.1065,3.1065,2.9475,2.9475,46.0
28,1513440000000,2.9475,3.1657,2.8375,3.05,280.73
29,1513443600000,3.05,3.2478,2.8765,3.2478,182.29
30,1513447200000,2.9204,2.9528,2.9203,2.9527,77.12
31,1513450800000,2.9714,3.1608,2.9555,2.9555,54.6
32,1513454400000,2.9571,3.0949,2.7688,2.8617,77.81
33,1513458000000,2.8617,2.8618,2.8617,2.8618,12.54
34,1513461600000,2.8618,3.1644,2.8618,2.8645,114.21
35,1513465200000,2.8645,3.078,2.6888,3.078,405.03
36,1513468800000,2.9744,2.9744,2.8617,2.8618,88.89
37,1513472400000,2.8618,2.9559,2.7378,2.7518,19.09
38,1513476000000,2.7518,2.9016,2.7234,2.8508,52.76
39,1513479600000,2.72,2.72,2.5,2.5815,44.72
40,1513483200000,2.5815,2.651,2.4623,2.4623,57.25
41,1513486800000,2.4623,2.4623,2.4623,2.4623,1.0
42,1513490400000,2.5807,2.5807,2.4325,2.5655,135.12
43,1513494000000,2.5654,2.5654,2.3267,2.5652,34.47
44,1513497600000,2.5652,2.5652,2.1352,2.4,123.66
45,1513501200000,2.2501,2.2501,2.1654,2.25,64.88
46,1513504800000,2.25,2.25,2.25,2.25,1.0
47,1513508400000,2.1653,2.1653,2.012,2.1,32.06
48,1513512000000,2.0042,2.3312,2.0042,2.2772,129.4
49,1513515600000,2.2487,2.439,2.213,2.213,79.61
50,1513519200000,2.35,2.35,2.2118,2.2118,168.42
51,1513522800000,2.2118,2.3501,2.199,2.199,93.03
52,1513526400000,2.4179,2.4179,2.2022,2.2022,0.04
53,1513530000000,2.3947,2.4121,2.2033,2.3949,287.11
54,1513533600000,2.3949,2.4878,2.3949,2.4299,210.02
55,1513537200000,2.4298,2.4299,2.2705,2.2705,279.09
56,1513540800000,2.4294,2.5391,2.2549,2.5126,347.83
57,1513544400000,2.487,2.4931,2.2914,2.4296,159.99
58,1513548000000,2.4296,2.43,2.32,2.32,153.35
59,1513551600000,2.3199,2.402,2.2221,2.2221,39.48
60,1513555200000,2.2221,2.4299,2.2221,2.4299,70.56
61,1513558800000,2.2547,2.5391,2.2546,2.5097,109.76
62,1513562400000,2.5097,2.5097,2.5097,2.5097,17.46
