,ts,open,high,low,close,volume
0,1513339200000,0.015,0.08,0.015,0.0211,7413.34
1,1513342800000,0.0211,0.021953,0.0191,0.01925,6138.18
2,1513346400000,0.01925,0.032673,0.01925,0.02118,18516.01
3,1513350000000,0.020202,0.021502,0.018,0.019236,13940.99
4,1513353600000,0.01975,0.0216,0.019305,0.0204,4838.83
5,1513357200000,0.0204,0.020691,0.019801,0.019882,4360.46
6,1513360800000,0.0205,0.0205,0.019044,0.019044,1174.03
7,1513364400000,0.019388,0.019818,0.019089,0.019797,1412.82
8,1513368000000,0.019797,0.02,0.0195,0.02,496.94
9,1513371600000,0.02,0.020254,0.01925,0.019509,1270.08
10,1513375200000,0.019509,0.019886,0.019044,0.019882,996.17
11,1513378800000,0.019876,0.019876,0.019109,0.019158,1343.61
12,1513382400000,0.019165,0.02,0.01905,0.019328,3784.21
13,1513386000000,0.01925,0.01925,0.01833,0.019229,1512.48
14,1513389600000,0.019228,0.01966,0.018493,0.01923,4216.15
15,1513393200000,0.019004,0.019318,0.018634,0.019036,1125.66
16,1513396800000,0.0191,0.019837,0.0191,0.019618,1006.1
17,1513400400000,0.019618,0.0198,0.019342,0.019645,1223.52
18,1513404000000,0.019634,0.0199,0.01943,0.019543,2197.78
19,1513407600000,0.019543,0.019891,0.019174,0.019699,764.31
20,1513411200000,0.019699,0.019699,0.0191,0.019528,1392.63
21,1513414800000,0.019538,0.019842,0.019301,0.01955,1427.68
22,1513418400000,0.019699,0.01985,0.0194,0.019645,1506.66
23,1513422000000,0.01963,0.019645,0.019146,0.01927,1015.83
24,1513425600000,0.01931,0.01989,0.019147,0.0195,2868.44
25,1513429200000,0.019661,0.019702,0.019146,0.019702,2700.92
26,1513432800000,0.019672,0.01971,0.019146,0.019597,1285.1
27,1513436400000,0.019589,0.019597,0.018001,0.01858,4163.6
28,1513440000000,0.018579,0.01971,0.018533,0.019365,1691.07
29,1513443600000,0.0193,0.019363,0.018839,0.019347,1276.47
30,1513447200000,0.019347,0.019891,0.019147,0.019891,2356.53
31,1513450800000,0.019891,0.019925,0.019217,0.019729,1027.28
32,1513454400000,0.019729,0.01973,0.018808,0.019553,1359.06
33,1513458000000,0.019553,0.019723,0.018824,0.019619,1131.62
34,1513461600000,0.019619,0.02007,0.019394,0.02,1299.25
35,1513465200000,0.019999,0.02,0.01922,0.0197,1244.65
36,1513468800000,0.01937,0.02,0.019031,0.019267,2975.28
37,1513472400000,0.019267,0.019694,0.019051,0.019052,1023.1
38,1513476000000,0.019405,0.020399,0.018823,0.019,1976.54
39,1513479600000,0.018889,0.019827,0.0188,0.019799,2751.88
40,1513483200000,0.019755,0.019799,0.01863,0.019246,3988.6
41,1513486800000,0.019245,0.01978,0.018713,0.01905,3238.96
42,1513490400000,0.019344,0.019344,0.018721,0.019088,2486.4
43,1513494000000,0.019088,0.019428,0.018713,0.019427,2274.61
44,1513497600000,0.018931,0.01978,0.0187,0.0187,2428.83
45,1513501200000,0.019149,0.01961,0.0187,0.018905,154.86
46,1513504800000,0.019218,0.019278,0.0188,0.018999,1256.9
47,1513508400000,0.018999,0.019514,0.01899,0.0192,2840.53
48,1513512000000,0.0192,0.019452,0.018999,0.019,1237.44
49,1513515600000,0.019,0.019427,0.01869,0.018691,3050.68
50,1513519200000,0.018691,0.0194,0.0186,0.018601,2856.25
51,1513522800000,0.018606,0.018705,0.018182,0.018679,3640.58
52,1513526400000,0.018679,0.02,0.01844,0.018956,3542.43
53,1513530000000,0.018957,0.019738,0.018644,0.01949,1596.93
54,1513533600000,0.019471,0.020099,0.018634,0.018634,1913.63
55,1513537200000,0.018634,0.019755,0.018533,0.019427,2323.88
56,1513540800000,0.019433,0.019999,0.018905,0.019001,3149.06
57,1513544400000,0.019001,0.019768,0.018566,0.019041,1531.38
58,1513548000000,0.019056,0.019648,0.019,0.019,1207.06
59,1513551600000,0.019,0.019388,0.01863,0.01863,1320.46
60,1513555200000,0.018701,0.019243,0.01863,0.018948,573.77
61,1513558800000,0.018748,0.019299,0.018571,0.01881,1216.76
62,1513562400000,0.01885,0.019183,0.01868,0.019092,275.86
63,1513566000000,0.01908,0.019598,0.019,0.019102,1358.34
64,1513569600000,0.01939,0.0197,0.01911,0.019233,1754.79
65,1513573200000,0.019695,0.019696,0.019233,0.019669,1799.28
66,1513576800000,0.019669,0.019922,0.019234,0.0194,2612.35
67,1513580400000,0.019549,0.019999,0.0185,0.019937,3554.34
68,1513584000000,0.019947,0.01996,0.019554,0.0198,2263.64
69,1513587600000,0.0198,0.019958,0.01893,0.019779,3288.33
70,1513591200000,0.019779,0.02065,0.019241,0.020031,1992.94
71,1513594800000,0.020028,0.020099,0.019051,0.0196,1588.92
72,1513598400000,0.019619,0.020489,0.019618,0.019707,636.11
73,1513602000000,0.02049,0.020498,0.019579,0.019768,50917.24
74,1513605600000,0.019768,0.020496,0.019315,0.020388,1894.47
75,1513609200000,0.020388,0.02113,0.020161,0.020796,2335.28
76,1513612800000,0.020778,0.0221,0.02077,0.021201,9060.73
77,1513616400000,0.021205,0.023286,0.020641,0.02249,23015.85
78,1513620000000,0.02249,0.022508,0.0205,0.020849,7441.47
79,1513623600000,0.020849,0.020999,0.0195,0.020179,3265.2
80,1513627200000,0.020178,0.020489,0.019728,0.020489,2841.13
81,1513630800000,0.020485,0.020485,0.019313,0.019313,3863.78
82,1513634400000,0.01935,0.020392,0.019077,0.019911,2758.94
83,1513638000000,0.01991,0.019999,0.0196,0.019999,3018.52
84,1513641600000,0.01998,0.020899,0.019643,0.020862,4385.37
85,1513645200000,0.0207,0.020834,0.019719,0.020505,5922.64
86,1513648800000,0.020603,0.020882,0.019655,0.020142,11315.92
87,1513652400000,0.019728,0.020739,0.019654,0.020548,2807.74
88,1513656000000,0.020548,0.020548,0.019452,0.019452,4049.27
89,1513659600000,0.019452,0.02018,0.0194,0.019514,3620.45
90,1513663200000,0.0197,0.02028,0.0194,0.01985,2859.74
91,1513666800000,0.019408,0.0209,0.0193,0.020799,5304.24
92,1513670400000,0.020799,0.020799,0.019522,0.019522,4202.75
93,1513674000000,0.019524,0.02121,0.019523,0.020872,7899.98
94,1513677600000,0.020872,0.021624,0.0198,0.020082,11380.62
95,1513681200000,0.020766,0.020766,0.019638,0.019988,14052.0
96,1513684800000,0.02,0.02,0.019638,0.019999,19054.89
97,1513688400000,0.019999,0.02,0.0199,0.019954,4868.09
98,1513692000000,0.019904,0.019904,0.019243,0.019246,5710.78
99,1513695600000,0.019259,0.02,0.019246,0.019998,3410.32
100,1513699200000,0.01999,0.02,0.019502,0.019744,5818.01
101,1513702800000,0.01999,0.019998,0.019573,0.01971,2686.25
102,1513706400000,0.01958,0.019912,0.019245,0.01939,1258.24
103,1513710000000,0.019429,0.019999,0.018947,0.0192,3502.86
104,1513713600000,0.019299,0.019863,0.019299,0.019772,636.12
105,1513717200000,0.019772,0.019838,0.01834,0.01834,6520.02
106,1513720800000,0.01834,0.019592,0.018,0.019087,2420.76
107,1513724400000,0.01955,0.01955,0.018752,0.019169,1263.14
108,1513728000000,0.0195,0.02,0.015974,0.015974,34941.95
109,1513731600000,0.016,0.02,0.015781,0.017543,35221.42
110,1513735200000,0.017312,0.018994,0.01693,0.018947,5280.04
111,1513738800000,0.018945,0.018945,0.016727,0.016824,3905.01
112,1513742400000,0.016906,0.018471,0.016906,0.018088,4054.16
113,1513746000000,0.018208,0.018364,0.017696,0.017999,3829.2
114,1513749600000,0.018,0.0195,0.016882,0.016882,13450.83
115,1513753200000,0.017345,0.0188,0.016963,0.018166,3738.93
116,1513756800000,0.018299,0.02031,0.018299,0.019086,1940.58
117,1513760400000,0.019089,0.02031,0.019,0.019478,2436.67
118,1513764000000,0.019033,0.019591,0.0182,0.0191,5254.58
119,1513767600000,0.019,0.019,0.0179,0.018887,5210.85
120,1513771200000,0.018887,0.019215,0.018518,0.019189,1486.56
121,1513774800000,0.019189,0.01958,0.019,0.019,3000.64
122,1513778400000,0.019,0.019349,0.018623,0.018715,4766.88
123,1513782000000,0.01871,0.018999,0.0179,0.01835,2633.79
124,1513785600000,0.01835,0.0193,0.018,0.018,2322.12
125,1513789200000,0.018,0.019299,0.0179,0.018499,964.13
126,1513792800000,0.01919,0.019191,0.0179,0.018503,386.13
127,1513796400000,0.018503,0.01925,0.018503,0.018863,1057.89
128,1513800000000,0.018831,0.019217,0.018503,0.018682,1332.59
129,1513803600000,0.018691,0.01958,0.018572,0.01898,2166.24
130,1513807200000,0.019098,0.01958,0.018525,0.019478,2143.84
131,1513810800000,0.01946,0.019482,0.018882,0.019177,3871.47
132,1513814400000,0.019177,0.02,0.019177,0.019736,3700.8
133,1513818000000,0.019321,0.020215,0.018902,0.019996,3316.32
134,1513821600000,0.019703,0.020499,0.019203,0.020356,5556.93
135,1513825200000,0.020343,0.020343,0.019251,0.019289,3168.73
136,1513828800000,0.01971,0.0198,0.018761,0.018861,2569.19
137,1513832400000,0.018861,0.01892,0.018186,0.018802,2511.59
138,1513836000000,0.018819,0.019338,0.018557,0.019001,6065.35
139,1513839600000,0.019001,0.019652,0.018648,0.019652,1637.57
140,1513843200000,0.019679,0.01975,0.019048,0.01945,5592.73
141,1513846800000,0.019676,0.0198,0.019331,0.0196,1701.85
142,1513850400000,0.0196,0.0198,0.019012,0.019141,2815.68
143,1513854000000,0.01926,0.019788,0.01926,0.019485,2688.53
144,1513857600000,0.0195,0.020393,0.019485,0.019925,7142.47
145,1513861200000,0.02014,0.020383,0.019759,0.019759,5196.23
146,1513864800000,0.019759,0.019861,0.018402,0.0191,29461.15
147,1513868400000,0.019,0.0193,0.01818,0.018357,4077.88
148,1513872000000,0.01836,0.019769,0.01836,0.019251,5468.92
149,1513875600000,0.019251,0.019672,0.018733,0.019059,4943.87
150,1513879200000,0.019075,0.019348,0.01885,0.01887,5612.26
151,1513882800000,0.01887,0.019451,0.018764,0.019213,4602.32
152,1513886400000,0.019425,0.0206,0.019217,0.0206,4648.16
153,1513890000000,0.0205,0.021937,0.02028,0.021778,10528.11
154,1513893600000,0.021047,0.02149,0.020034,0.02026,3846.42
155,1513897200000,0.020586,0.020867,0.020156,0.0204,2559.66
156,1513900800000,0.020799,0.021316,0.019062,0.019235,4172.68
157,1513904400000,0.019235,0.020384,0.019,0.01905,2001.79
158,1513908000000,0.019635,0.01969,0.01875,0.018813,1820.9
159,1513911600000,0.018813,0.019,0.017896,0.018551,7477.12
160,1513915200000,0.01865,0.019666,0.01852,0.019437,2295.88
161,1513918800000,0.019437,0.019609,0.0185,0.019139,2549.36
162,1513922400000,0.01914,0.019141,0.018369,0.018599,2073.34
163,1513926000000,0.01835,0.0186,0.01701,0.01707,2659.58
164,1513929600000,0.017966,0.018595,0.017082,0.0185,3765.69
165,1513933200000,0.018498,0.019095,0.018269,0.01905,2741.38
166,1513936800000,0.018676,0.019057,0.018301,0.018698,1309.6
167,1513940400000,0.018667,0.018999,0.018373,0.018697,1276.49
168,1513944000000,0.018451,0.019,0.018368,0.018619,2401.15
169,1513947600000,0.01861,0.018752,0.018,0.0182,3033.32
170,1513951200000,0.0182,0.0187,0.01715,0.01786,5081.93
171,1513954800000,0.017662,0.018412,0.01758,0.018412,2382.52
172,1513958400000,0.018412,0.018889,0.018,0.018359,2801.64
173,1513962000000,0.018363,0.0193,0.018359,0.01895,1961.05
174,1513965600000,0.01895,0.0193,0.01872,0.018911,2685.63
175,1513969200000,0.018911,0.019478,0.018911,0.019475,1716.12
176,1513972800000,0.0191,0.019603,0.019025,0.019227,3854.78
177,1513976400000,0.019228,0.019603,0.019005,0.019502,4440.06
178,1513980000000,0.019513,0.02,0.019092,0.019999,3819.8
179,1513983600000,0.0199,0.019999,0.01842,0.019194,4504.96
180,1513987200000,0.019001,0.019181,0.01838,0.018621,1881.12
181,1513990800000,0.018667,0.01932,0.018425,0.018694,596.73
182,1513994400000,0.018694,0.019267,0.01839,0.018897,516.58
183,1513998000000,0.018797,0.019232,0.01818,0.01923,2966.34
184,1514001600000,0.018919,0.019263,0.018749,0.019181,1712.46
185,1514005200000,0.019244,0.019244,0.018833,0.018881,2145.83
186,1514008800000,0.019155,0.0192,0.018212,0.018699,1560.93
187,1514012400000,0.018493,0.018957,0.01822,0.018768,751.06
188,1514016000000,0.018768,0.019027,0.018532,0.018697,2337.84
189,1514019600000,0.018702,0.019019,0.018515,0.01863,1652.68
190,1514023200000,0.018631,0.0216,0.018323,0.0216,10576.14
191,1514026800000,0.0217,0.0228,0.020447,0.021099,7349.01
192,1514030400000,0.020884,0.02135,0.020417,0.020988,2867.27
193,1514034000000,0.02081,0.021296,0.020419,0.020603,2521.41
194,1514037600000,0.020613,0.021694,0.020613,0.02105,2369.39
195,1514041200000,0.02105,0.02134,0.020416,0.020416,2619.38
196,1514044800000,0.020419,0.02089,0.020289,0.020833,2037.1
197,1514048400000,0.020831,0.021336,0.020314,0.020388,5532.99
198,1514052000000,0.020483,0.02086,0.02,0.02031,2280.63
199,1514055600000,0.020647,0.02065,0.020019,0.020465,2391.99
200,1514059200000,0.0203,0.020483,0.0198,0.019855,2004.28
201,1514062800000,0.019855,0.020445,0.01968,0.019822,1045.82
202,1514066400000,0.02,0.020446,0.0192,0.020358,2023.95
203,1514070000000,0.020352,0.020353,0.019231,0.019564,3937.75
204,1514073600000,0.019564,0.020182,0.0185,0.019333,5265.06
205,1514077200000,0.0201,0.02014,0.019574,0.020089,3141.21
206,1514080800000,0.020087,0.020087,0.019536,0.019552,1424.3
207,1514084400000,0.019561,0.019882,0.019,0.019686,3968.67
208,1514088000000,0.019647,0.01966,0.019035,0.019035,300.65
209,1514091600000,0.019154,0.019784,0.01865,0.019153,4868.44
210,1514095200000,0.019363,0.019919,0.019263,0.0195,1279.07
211,1514098800000,0.0195,0.019897,0.018743,0.019389,1352.37
212,1514102400000,0.019389,0.0199,0.019389,0.0195,1495.69
213,1514106000000,0.019389,0.019723,0.017995,0.019231,2912.04
214,1514109600000,0.019266,0.019298,0.017959,0.019128,1300.23
215,1514113200000,0.01905,0.01937,0.018651,0.018938,1522.71
216,1514116800000,0.018938,0.019216,0.01865,0.018971,1021.7
217,1514120400000,0.018971,0.019725,0.01871,0.019641,2613.64
218,1514124000000,0.019641,0.019899,0.0193,0.019899,2050.48
219,1514127600000,0.019899,0.0202,0.019614,0.019865,3293.36
220,1514131200000,0.019865,0.020172,0.019588,0.019588,830.73
221,1514134800000,0.019588,0.019733,0.0187,0.019403,2161.16
222,1514138400000,0.019392,0.01941,0.01885,0.019049,583.01
223,1514142000000,0.019071,0.01936,0.019071,0.01936,644.67
