,ts,open,high,low,close,volume
0,1514257200000,0.000146,0.000146,9.01e-05,0.0001036,858364.0
1,1514260800000,0.0001036,0.00010479,8.7e-05,9.1e-05,342827.0
2,1514264400000,9.096e-05,9.099e-05,7.701e-05,8.2e-05,154697.0
3,1514268000000,8.25e-05,8.71e-05,7.904e-05,8.221e-05,120811.0
4,1514271600000,8.201e-05,0.0001049,8.001e-05,0.00010275,171611.0
5,1514275200000,0.00010275,0.000108,8.501e-05,9.259e-05,151217.0
6,1514278800000,9.396e-05,9.651e-05,8.712e-05,9e-05,127498.0
7,1514282400000,9e-05,9.625e-05,8.9e-05,9.4e-05,97821.0
8,1514286000000,9.4e-05,0.0001045,9.3e-05,9.62e-05,114141.0
9,1514289600000,9.62e-05,9.937e-05,9.458e-05,9.721e-05,71293.0
10,1514293200000,9.6e-05,9.717e-05,9.1e-05,9.525e-05,49140.0
11,1514296800000,9.525e-05,9.525e-05,7.85e-05,8.1e-05,121142.0
12,1514300400000,8.102e-05,8.987e-05,8.102e-05,8.699e-05,53593.0
13,1514304000000,8.687e-05,8.829e-05,7.865e-05,7.98e-05,59643.0
14,1514307600000,7.98e-05,8.57e-05,7.7e-05,7.84e-05,65550.0
15,1514311200000,8.208e-05,8.6e-05,8.194e-05,8.565e-05,62016.0
16,1514314800000,8.565e-05,9.35e-05,7.9e-05,8.42e-05,53281.0
17,1514318400000,8.498e-05,8.749e-05,8.008e-05,8.503e-05,28199.0
18,1514322000000,8.503e-05,9.2e-05,8.25e-05,8.599e-05,57919.0
19,1514325600000,8.6e-05,9.35e-05,8.6e-05,9.171e-05,73945.0
20,1514329200000,9.17e-05,9.5e-05,8.799e-05,8.897e-05,61086.0
21,1514332800000,8.897e-05,9.398e-05,8.61e-05,8.899e-05,93541.0
22,1514336400000,8.879e-05,8.995e-05,8.61e-05,8.629e-05,60032.0
23,1514340000000,8.629e-05,8.876e-05,8.401e-05,8.5e-05,59309.0
24,1514343600000,8.5e-05,8.765e-05,8.399e-05,8.399e-05,45435.0
25,1514347200000,8.327e-05,8.4e-05,7.804e-05,8.01e-05,56977.0
26,1514350800000,8.01e-05,8.024e-05,7.799e-05,7.975e-05,51760.0
27,1514354400000,7.966e-05,7.974e-05,6.02e-05,7.715e-05,33988.0
28,1514358000000,7.708e-05,8.15e-05,7.21e-05,8.149e-05,58551.0
29,1514361600000,8.15e-05,8.399e-05,7.655e-05,7.91e-05,33094.0
30,1514365200000,7.89e-05,8.2e-05,7.832e-05,8.049e-05,24966.0
31,1514368800000,8.049e-05,8.2e-05,7.694e-05,8.131e-05,40549.0
32,1514372400000,8.13e-05,8.161e-05,7.929e-05,8.1e-05,20786.0
33,1514376000000,8.161e-05,8.209e-05,7.937e-05,8.042e-05,34487.0
34,1514379600000,8.19e-05,8.45e-05,7.903e-05,8.2e-05,12226.0
35,1514383200000,8.242e-05,8.45e-05,8.095e-05,8.3e-05,25566.0
36,1514386800000,8.35e-05,8.497e-05,8.174e-05,8.29e-05,21923.0
37,1514390400000,8.29e-05,8.329e-05,8.088e-05,8.128e-05,17543.0
38,1514394000000,8.128e-05,8.285e-05,8e-05,8e-05,24374.0
39,1514397600000,8e-05,8.247e-05,7.999e-05,8.247e-05,10030.0
40,1514401200000,8.247e-05,8.247e-05,7.95e-05,7.975e-05,13102.0
41,1514404800000,8.1e-05,8.169e-05,7.734e-05,8.125e-05,14198.0
