,ts,open,high,low,close,volume
0,1510304400000,2.4,3.9,2.4,3.199,921.68
1,1510308000000,3.2999,3.3,2.901,2.901,1794.7
2,1510311600000,3.1,3.1,3.1,3.1,1.78
3,1510315200000,3.1,3.19,3.1,3.19,545.35
4,1510318800000,3.199,3.2988,3.0101,3.0101,428.85
5,1510322400000,3.05,3.2399,3.05,3.2399,58.78
6,1510326000000,3.21,3.21,3.21,3.21,159.61
7,1510329600000,3.1001,3.1001,3.0101,3.0101,2020.01
8,1510333200000,3.1998,3.21,3.1998,3.2099,701.19
9,1510336800000,3.2099,3.2099,2.8,2.8,1884.2
10,1510340400000,3.02,3.1001,3.02,3.1,597.95
11,1510344000000,3.0999,3.1,3.09,3.1,201.23
12,1510347600000,3.1,3.21,2.9,2.9,1262.31
13,1510351200000,2.9,3.05,2.9,2.9001,231.7
14,1510354800000,2.9001,2.9001,2.9001,2.9001,34.75
15,1510358400000,2.9001,2.9001,2.9001,2.9001,802.0
16,1510362000000,2.9001,3.0,2.9001,3.0,228.34
17,1510365600000,2.9999,2.9999,2.9,2.9001,702.35
18,1510369200000,2.9,3.129,2.9,3.129,203.27
19,1510372800000,2.9001,2.9001,2.8401,2.8401,17.57
20,1510376400000,2.999,2.999,2.999,2.999,15.0
21,1510380000000,2.999,2.999,2.999,2.999,172.0
22,1510383600000,2.999,2.999,2.999,2.999,172.0
23,1510387200000,2.999,2.999,2.85,2.85,7.14
24,1510390800000,3.04,3.05,3.04,3.05,2.21
25,1510394400000,3.05,3.05,3.05,3.05,0.0
26,1510398000000,3.0499,3.18,3.0499,3.18,879.93
27,1510401600000,3.18,3.18,3.04,3.04,475.17
28,1510405200000,3.04,3.21,3.04,3.0401,6.08
29,1510408800000,3.05,3.05,3.05,3.05,0.44
30,1510412400000,3.1001,3.1001,3.0701,3.0702,2.25
31,1510416000000,3.0901,3.0901,3.0901,3.0901,0.91
32,1510419600000,3.2211,3.3375,3.2211,3.25,241.26
33,1510423200000,3.12,3.2965,3.09,3.09,1265.41
34,1510426800000,3.09,3.09,3.0001,3.09,448.0
35,1510430400000,3.09,3.09,2.9888,2.9888,1672.77
36,1510434000000,2.9888,2.9888,2.9888,2.9888,0.0
37,1510437600000,2.9901,2.9901,2.99,2.99,460.0
38,1510441200000,2.9902,3.1,2.99,3.1,99.5
39,1510444800000,3.12,3.2187,3.1,3.1,635.74
40,1510448400000,3.1,3.1699,3.1,3.1,51.99
41,1510452000000,3.1001,3.2,3.1001,3.15,253.43
42,1510455600000,3.0001,3.2,2.9827,2.9827,3651.44
43,1510459200000,3.1766,3.1766,2.9515,2.9515,724.07
44,1510462800000,2.9827,2.9827,2.951,2.951,512.79
45,1510466400000,2.9485,3.05,2.9,3.05,858.98
46,1510470000000,3.2099,3.2099,3.1898,3.2047,389.39
47,1510473600000,3.2045,3.2047,3.2045,3.2047,431.95
48,1510477200000,2.97,3.2043,2.97,3.2043,7.06
49,1510480800000,2.94,3.2045,2.8557,3.2045,50.48
50,1510484400000,2.94,2.94,2.9076,2.9076,18.38
51,1510488000000,3.19,3.2045,2.99,3.2,412.18
52,1510491600000,3.2,3.2,2.9423,2.9423,104.0
53,1510495200000,2.9423,2.9423,2.9423,2.9423,0.0
54,1510498800000,3.2044,3.2044,3.1,3.2043,24.0
55,1510502400000,3.2043,3.2045,3.2043,3.2045,17.0
56,1510506000000,3.1117,3.2046,2.9172,2.9172,1133.83
57,1510509600000,3.0,3.29,3.0,3.29,441.02
58,1510513200000,3.0117,3.28,3.0117,3.0401,75.04
59,1510516800000,3.0401,3.2398,3.0401,3.2398,56.0
60,1510520400000,3.23,3.23,3.04,3.0401,1346.78
61,1510524000000,3.0401,3.1,2.9,3.0,1117.04
62,1510527600000,3.0,3.0,3.0,3.0,492.76
63,1510531200000,3.0,3.0,3.0,3.0,0.41
64,1510534800000,3.0,3.0,3.0,3.0,27.97
65,1510538400000,2.92,2.92,2.92,2.92,0.91
66,1510542000000,3.0,3.0,3.0,3.0,11.78
67,1510545600000,3.0,3.0,3.0,3.0,0.0
68,1510549200000,3.1,3.2,3.1,3.2,745.45
69,1510552800000,3.2,3.2989,3.2,3.2989,261.62
70,1510556400000,3.3068,3.3068,3.2,3.2,240.15
71,1510560000000,3.2799,3.2799,3.2001,3.2001,6.71
72,1510563600000,3.2,3.2,3.04,3.04,7.0
73,1510567200000,3.04,3.04,3.04,3.04,0.0
74,1510570800000,3.0506,3.4272,3.05,3.4272,2846.1
75,1510574400000,3.27,3.31,3.1304,3.1304,6.34
76,1510578000000,3.1307,3.1342,3.1307,3.1342,1.87
77,1510581600000,3.1372,3.165,3.0927,3.165,1989.02
78,1510585200000,3.1678,3.1681,3.1678,3.1681,61.48
79,1510588800000,3.1681,3.1681,3.1681,3.1681,6.47
80,1510592400000,3.1681,3.1681,3.1681,3.1681,403.39
81,1510596000000,3.1681,3.1681,3.04,3.04,21.65
82,1510599600000,3.1,3.1,3.04,3.04,13.97
83,1510603200000,3.1,3.1,3.1,3.1,27.0
84,1510606800000,3.1,3.1,3.1,3.1,0.13
85,1510610400000,3.1,3.1,3.1,3.1,0.67
86,1510614000000,3.1,3.2899,3.0015,3.17,514.29
87,1510617600000,3.0104,3.02,3.0104,3.02,43.98
88,1510621200000,3.0201,3.0201,3.0201,3.0201,8.3
89,1510624800000,3.0201,3.1797,3.0201,3.1797,12.59
90,1510628400000,3.1397,3.1797,3.0,3.079,1566.55
91,1510632000000,3.001,3.001,2.97,2.97,68.68
92,1510635600000,2.97,3.0498,2.9371,3.0498,711.56
93,1510639200000,3.0498,3.0498,3.0498,3.0498,674.94
94,1510642800000,3.0498,3.0498,2.88,2.9,133.09
95,1510646400000,3.079,3.2071,3.05,3.05,541.17
96,1510650000000,3.12,3.12,3.1,3.1001,15.66
97,1510653600000,3.05,3.15,2.9603,3.15,62.66
98,1510657200000,3.15,3.15,3.15,3.15,0.0
99,1510660800000,3.1001,3.15,3.1001,3.15,505.44
100,1510664400000,3.1001,3.1001,3.08,3.1,4.93
101,1510668000000,3.2154,3.34,3.2154,3.34,567.84
102,1510671600000,3.34,3.34,3.34,3.34,0.0
103,1510675200000,3.18,3.18,3.18,3.18,11.97
104,1510678800000,3.22,3.31,3.22,3.31,69.01
105,1510682400000,3.31,3.31,3.31,3.31,5.0
106,1510686000000,3.1,3.12,3.1,3.12,6.42
107,1510689600000,3.14,3.14,3.14,3.14,110.0
108,1510693200000,3.14,3.14,3.14,3.14,0.65
109,1510696800000,3.1812,3.1812,3.1812,3.1812,0.43
110,1510700400000,3.3099,3.35,3.211,3.211,770.76
111,1510704000000,3.35,3.3999,3.35,3.3999,39.45
112,1510707600000,3.2607,3.2607,3.2606,3.2606,3.0
113,1510711200000,3.2606,3.2606,3.2606,3.2606,0.0
114,1510714800000,3.2614,3.2614,3.2614,3.2614,10.61
115,1510718400000,3.2614,3.2614,3.2614,3.2614,0.7
116,1510722000000,3.3972,3.4,3.2705,3.4,614.99
117,1510725600000,3.4099,3.41,3.4099,3.41,497.9
118,1510729200000,3.3355,3.3355,3.3355,3.3355,0.55
119,1510732800000,3.3355,3.3355,3.3355,3.3355,0.0
120,1510736400000,3.45,3.48,3.4008,3.4156,279.15
121,1510740000000,3.4156,3.48,3.3823,3.4123,789.97
122,1510743600000,3.4273,3.4694,3.4123,3.4694,106.6
123,1510747200000,3.4694,3.48,3.4273,3.48,1726.77
124,1510750800000,3.5101,3.5101,3.48,3.48,271.55
125,1510754400000,3.4573,3.4573,3.3823,3.3985,146.14
126,1510758000000,3.4351,3.4501,3.3804,3.3954,456.27
127,1510761600000,3.3954,3.4049,3.2601,3.3883,780.94
128,1510765200000,3.3883,3.4501,3.3883,3.4501,53.69
129,1510768800000,3.4651,3.4951,3.4651,3.4951,289.1
130,1510772400000,3.4951,3.4951,3.4033,3.4184,24.0
131,1510776000000,3.4334,3.4334,3.3901,3.4201,3.81
132,1510779600000,3.4201,3.4201,3.3201,3.3751,5.56
133,1510783200000,3.3901,3.435,3.3901,3.435,54.6
134,1510786800000,3.4201,3.435,3.3501,3.3501,137.8
135,1510790400000,3.3651,3.3651,3.2399,3.24,246.15
136,1510794000000,3.2,3.2,3.2,3.2,38.29
137,1510797600000,3.2,3.27,3.2,3.27,275.45
138,1510801200000,3.2102,3.2102,3.198,3.198,96.8
139,1510804800000,3.2288,3.2288,3.2288,3.2288,6.53
140,1510808400000,3.2288,3.2288,3.2288,3.2288,0.0
141,1510812000000,3.229,3.299,3.229,3.299,7.5
142,1510815600000,3.299,3.299,3.299,3.299,1.18
143,1510819200000,3.3141,3.3443,3.3141,3.3443,2.4
144,1510822800000,3.3141,3.3141,3.23,3.23,589.19
145,1510826400000,3.265,3.265,3.23,3.23,5.87
146,1510830000000,3.23,3.23,3.12,3.12,502.0
147,1510833600000,3.12,3.12,3.12,3.12,0.0
148,1510837200000,3.12,3.12,3.12,3.12,0.0
149,1510840800000,3.1798,3.2193,3.1401,3.2193,21.02
150,1510844400000,3.2193,3.2193,3.2193,3.2193,0.0
151,1510848000000,3.2192,3.2192,3.1401,3.1401,2.99
152,1510851600000,3.1402,3.1402,3.06,3.1051,2369.15
153,1510855200000,3.1401,3.33,3.1401,3.1752,57.24
154,1510858800000,3.1751,3.1751,3.1051,3.1401,3.42
155,1510862400000,3.1401,3.1892,3.1401,3.1892,9.77
156,1510866000000,3.1409,3.2243,3.1051,3.2243,9.0
157,1510869600000,3.1401,3.1401,3.0003,3.0003,2211.42
158,1510873200000,3.035,3.035,2.98,2.98,1132.57
159,1510876800000,3.0488,3.119,3.0488,3.0851,307.38
160,1510880400000,3.085,3.2061,2.9,3.0651,3319.12
161,1510884000000,3.0301,3.2061,2.9601,3.0503,251.92
162,1510887600000,3.0852,3.136,3.0503,3.101,20.39
163,1510891200000,3.171,3.2245,3.171,3.2153,31.75
164,1510894800000,3.2598,3.35,3.2504,3.2504,120.33
165,1510898400000,3.2854,3.2854,3.2503,3.2503,1.6
166,1510902000000,3.2503,3.2503,3.2151,3.2151,9.0
167,1510905600000,3.2151,3.2151,3.2151,3.2151,0.0
168,1510909200000,3.2151,3.2151,3.2151,3.2151,0.19
169,1510912800000,3.2151,3.33,3.2151,3.3297,1570.23
170,1510916400000,3.2502,3.2847,3.1172,3.2847,229.52
171,1510920000000,3.2947,3.4201,3.2947,3.4201,462.61
172,1510923600000,3.4001,3.42,3.4001,3.42,52.96
173,1510927200000,3.42,3.42,3.3278,3.3278,192.78
174,1510930800000,3.3278,3.3278,3.3278,3.3278,0.0
175,1510934400000,3.2928,3.4694,3.23,3.35,853.56
176,1510938000000,3.35,3.61,3.35,3.38,315.32
177,1510941600000,3.5379,3.5736,3.3815,3.5735,704.95
178,1510945200000,3.5735,3.5735,3.38,3.38,362.79
179,1510948800000,3.3556,3.3981,3.228,3.3981,232.72
180,1510952400000,3.3813,3.385,3.2629,3.2629,272.78
181,1510956000000,3.2979,3.2979,3.0852,3.0852,1513.89
182,1510959600000,3.06,3.1879,2.98,3.1879,3225.76
183,1510963200000,3.1205,3.3633,3.0852,3.0852,1468.87
184,1510966800000,3.0852,3.0852,3.0852,3.0852,0.0
185,1510970400000,3.1575,3.1575,3.0806,3.0806,50.84
186,1510974000000,3.0501,3.0501,3.0501,3.0501,73.0
187,1510977600000,3.1285,3.2875,3.1283,3.1283,63.24
188,1510981200000,3.0809,3.0809,3.0809,3.0809,0.84
189,1510984800000,3.081,3.081,3.081,3.081,0.84
190,1510988400000,3.1285,3.2874,3.1285,3.2545,2.48
191,1510992000000,3.2219,3.2219,3.1118,3.1118,36.0
192,1510995600000,3.1573,3.2219,3.1573,3.1757,20.12
193,1510999200000,3.1757,3.1757,3.1757,3.1757,0.57
194,1511002800000,3.1573,3.1573,3.081,3.081,41.39
195,1511006400000,3.081,3.081,3.0501,3.0501,1727.76
196,1511010000000,3.0501,3.0501,3.0501,3.0501,167.0
197,1511013600000,3.0501,3.0501,3.015,3.015,938.96
198,1511017200000,3.0451,3.0451,3.0451,3.0451,1.0
199,1511020800000,3.0151,3.1123,3.0151,3.1123,12.3
200,1511024400000,3.1439,3.1439,3.1439,3.1439,2.0
201,1511028000000,3.1439,3.1439,3.11,3.11,161.0
202,1511031600000,3.11,3.11,3.0502,3.0503,53.63
203,1511035200000,3.0503,3.1439,3.0503,3.0503,87.87
204,1511038800000,3.0503,3.0503,3.0503,3.0503,0.95
205,1511042400000,3.0512,3.1124,3.0512,3.0817,4.77
206,1511046000000,3.0817,3.0817,3.0817,3.0817,0.0
207,1511049600000,3.0512,3.0512,2.98,2.98,3222.04
208,1511053200000,2.98,2.98,2.98,2.98,0.94
209,1511056800000,3.059,3.1124,3.059,3.1124,64.0
210,1511060400000,3.1123,3.1124,3.1123,3.1124,115.0
211,1511064000000,3.1124,3.1124,3.1124,3.1124,0.0
212,1511067600000,3.1124,3.1124,3.0098,3.0098,3.07
213,1511071200000,3.03,3.03,3.0098,3.0098,5.5
214,1511074800000,3.0398,3.0398,2.9542,2.9629,1811.7
215,1511078400000,2.9629,2.9629,2.9629,2.9629,0.41
216,1511082000000,3.0195,3.05,3.0195,3.05,5.54
217,1511085600000,3.0499,3.0499,2.9251,2.9251,0.76
218,1511089200000,2.9545,2.9545,2.9544,2.9544,323.6
219,1511092800000,3.0195,3.2427,2.9841,2.9841,509.35
220,1511096400000,3.0522,3.09,3.0522,3.09,129.35
221,1511100000000,3.09,3.1146,3.0799,3.1146,127.6
222,1511103600000,3.1146,3.1146,3.1146,3.1146,643.0
223,1511107200000,3.1146,3.1146,3.1146,3.1146,0.51
224,1511110800000,3.1146,3.115,3.1146,3.115,1828.25
225,1511114400000,3.0747,3.0837,2.96,3.0837,544.88
226,1511118000000,3.0837,3.0837,3.0837,3.0837,0.0
227,1511121600000,3.0836,3.0837,3.0247,3.0247,6.68
228,1511125200000,3.115,3.115,3.1144,3.1145,18.81
229,1511128800000,3.0549,3.0549,3.0548,3.0549,5.23
230,1511132400000,3.0549,3.0549,3.0549,3.0549,0.0
231,1511136000000,3.0246,3.1461,3.0246,3.0549,15.51
232,1511139600000,3.1146,3.1146,3.0549,3.1145,178.22
233,1511143200000,3.055,3.146,3.055,3.146,4.0
234,1511146800000,3.146,3.1461,3.0857,3.0857,5.86
235,1511150400000,3.0857,3.1778,3.0001,3.1144,16.89
236,1511154000000,3.1459,3.146,3.1459,3.146,5.0
237,1511157600000,3.146,3.146,3.0888,3.0888,2108.43
238,1511161200000,3.08,3.0888,3.04,3.04,239.29
239,1511164800000,3.0401,3.0401,3.04,3.04,12.5
240,1511168400000,3.0401,3.09,3.0001,3.0301,154.26
241,1511172000000,3.0589,3.12,3.0302,3.0453,247.78
242,1511175600000,3.0302,3.0302,3.0151,3.0151,2.0
243,1511179200000,3.0301,3.0301,2.9543,2.9913,816.98
244,1511182800000,2.9913,2.9913,2.9543,2.969,2.59
245,1511186400000,2.969,2.99,2.969,2.99,9.18
