,ts,open,high,low,close,volume
0,1521543600000,0.04,0.11792,0.035,0.03784,364697.45
1,1521547200000,0.0378,0.0389,0.0354,0.0361,1233263.69
2,1521550800000,0.03552,0.0361,0.034,0.03523,444185.45
3,1521554400000,0.03514,0.03523,0.03308,0.0339,190268.94
4,1521558000000,0.03446,0.03446,0.03261,0.03322,329181.64
5,1521561600000,0.03326,0.034,0.03262,0.03316,180984.75
6,1521565200000,0.03316,0.0339,0.03273,0.0329,326942.77
7,1521568800000,0.03292,0.034,0.03216,0.03325,167820.37
8,1521572400000,0.03326,0.03469,0.0327,0.03387,128012.33
9,1521576000000,0.03387,0.03387,0.03271,0.03367,110942.71
10,1521579600000,0.03366,0.03455,0.03331,0.03418,163157.29
11,1521583200000,0.03414,0.03427,0.03296,0.03297,75314.39
12,1521586800000,0.03298,0.03377,0.03271,0.03344,52201.45
13,1521590400000,0.03305,0.03325,0.03264,0.03282,16091.02
14,1521594000000,0.03315,0.03345,0.03255,0.03289,40037.69
15,1521597600000,0.0328,0.0331,0.03231,0.0325,45114.55
16,1521601200000,0.03251,0.03304,0.03202,0.03264,54255.32
17,1521604800000,0.03266,0.0332,0.0324,0.03275,89974.63
18,1521608400000,0.03254,0.0332,0.0324,0.03302,102521.69
19,1521612000000,0.03316,0.03345,0.03261,0.03264,65070.08
20,1521615600000,0.03266,0.03295,0.03179,0.0324,459659.44
21,1521619200000,0.0324,0.03312,0.03192,0.03312,337197.88
22,1521622800000,0.03309,0.03311,0.03235,0.033,39048.37
23,1521626400000,0.033,0.03315,0.03051,0.03153,171296.89
24,1521630000000,0.03191,0.03199,0.0296,0.03033,115604.2
25,1521633600000,0.03033,0.03113,0.02945,0.02969,131775.22
26,1521637200000,0.02969,0.03036,0.02928,0.03033,86119.49
27,1521640800000,0.02997,0.03039,0.02989,0.02989,24960.51
28,1521644400000,0.02965,0.0299,0.0293,0.0299,21782.79
29,1521648000000,0.0299,0.03039,0.0296,0.03016,91193.78
30,1521651600000,0.03016,0.03029,0.0296,0.03008,40766.64
31,1521655200000,0.0302,0.03039,0.02985,0.02994,56643.9
32,1521658800000,0.03025,0.03029,0.02976,0.03006,17262.32
33,1521662400000,0.02991,0.0308,0.02908,0.02967,35644.78
34,1521666000000,0.02993,0.02993,0.02857,0.02899,22882.59
35,1521669600000,0.02963,0.02963,0.02854,0.02854,29777.14
36,1521673200000,0.02892,0.02913,0.02832,0.02873,20342.63
37,1521676800000,0.02877,0.0297,0.02804,0.02804,31100.5
38,1521680400000,0.02807,0.02885,0.02789,0.02845,27243.35
39,1521684000000,0.02886,0.0295,0.02859,0.0295,18011.59
40,1521687600000,0.02872,0.02901,0.02838,0.02843,16841.93
41,1521691200000,0.0287,0.0297,0.02773,0.02785,36043.73
42,1521694800000,0.02781,0.02842,0.02692,0.02775,40902.35
43,1521698400000,0.02762,0.02887,0.02729,0.02804,48645.09
44,1521702000000,0.02828,0.02961,0.02828,0.02841,72031.24
45,1521705600000,0.02883,0.02923,0.02836,0.02839,13801.11
46,1521709200000,0.02844,0.02908,0.02756,0.0282,79466.91
47,1521712800000,0.0282,0.02968,0.02764,0.02906,51383.53
48,1521716400000,0.02939,0.0297,0.02836,0.02862,49227.45
49,1521720000000,0.02863,0.02879,0.02822,0.02826,11451.32
50,1521723600000,0.0284,0.0297,0.0284,0.02845,127255.49
51,1521727200000,0.02846,0.02919,0.02825,0.02854,13243.8
52,1521730800000,0.02864,0.02896,0.02846,0.02865,19740.97
53,1521734400000,0.02854,0.02915,0.028,0.02821,14220.59
54,1521738000000,0.02821,0.02872,0.02821,0.0285,11937.05
55,1521741600000,0.0285,0.02912,0.02831,0.02858,16716.9
56,1521745200000,0.02867,0.0295,0.02857,0.02909,27400.94
57,1521748800000,0.02915,0.02978,0.02884,0.02909,116829.32
58,1521752400000,0.02936,0.02977,0.029,0.02955,42434.79
59,1521756000000,0.02952,0.02965,0.02865,0.029,54146.25
60,1521759600000,0.0291,0.02931,0.0288,0.02903,13076.57
61,1521763200000,0.02903,0.02919,0.02889,0.0289,4792.9
62,1521766800000,0.0289,0.0293,0.0287,0.02923,25149.1
63,1521770400000,0.02936,0.02936,0.02848,0.02848,17495.35
64,1521774000000,0.02908,0.02908,0.02844,0.02844,11358.35
65,1521777600000,0.02874,0.02883,0.028,0.02805,23309.91
66,1521781200000,0.02816,0.02816,0.02781,0.02781,8828.48
67,1521784800000,0.02781,0.02826,0.02762,0.02787,47961.02
68,1521788400000,0.02763,0.02798,0.02755,0.02797,7448.28
69,1521792000000,0.02777,0.0285,0.02763,0.0285,32140.55
70,1521795600000,0.02789,0.02838,0.02764,0.02819,25736.27
71,1521799200000,0.02815,0.02845,0.02764,0.02766,10855.94
72,1521802800000,0.02766,0.02766,0.02764,0.02765,6918.56
73,1521806400000,0.02765,0.02806,0.02712,0.02726,21533.31
74,1521810000000,0.027,0.027,0.02602,0.02609,70907.16
75,1521813600000,0.02609,0.02659,0.02544,0.02617,39500.0
76,1521817200000,0.02596,0.02628,0.02564,0.02598,11268.05
77,1521820800000,0.02555,0.02566,0.02496,0.02525,93183.19
78,1521824400000,0.02528,0.02569,0.02518,0.02518,4695.48
79,1521828000000,0.02534,0.02534,0.02463,0.02485,36774.52
80,1521831600000,0.02512,0.02532,0.02414,0.02414,41355.55
81,1521835200000,0.02411,0.0248,0.02281,0.02309,51383.79
82,1521838800000,0.02285,0.02495,0.02261,0.02407,51035.16
83,1521842400000,0.0239,0.02447,0.0231,0.0233,22189.28
84,1521846000000,0.02334,0.02406,0.02321,0.02332,18639.81
85,1521849600000,0.02375,0.02375,0.0226,0.0226,44549.7
86,1521853200000,0.02226,0.02319,0.02199,0.02226,44085.74
87,1521856800000,0.02231,0.02276,0.02223,0.02276,17104.15
88,1521860400000,0.02276,0.02403,0.02276,0.02359,70899.35
89,1521864000000,0.02364,0.0244,0.02364,0.02366,37659.56
90,1521867600000,0.02368,0.02428,0.02332,0.0236,12632.72
91,1521871200000,0.02338,0.02471,0.02333,0.0236,25437.37
92,1521874800000,0.02352,0.0238,0.02309,0.02344,46216.09
93,1521878400000,0.02344,0.02404,0.02314,0.02357,23700.41
94,1521882000000,0.02357,0.02366,0.02309,0.0235,54253.97
95,1521885600000,0.0235,0.02358,0.02314,0.02358,27795.2
96,1521889200000,0.02358,0.02398,0.0233,0.02351,26421.55
97,1521892800000,0.02352,0.02395,0.02314,0.02323,22306.74
98,1521896400000,0.02325,0.02404,0.02325,0.02351,53147.71
99,1521900000000,0.0235,0.0235,0.02284,0.02288,22661.36
100,1521903600000,0.02307,0.02307,0.02246,0.02253,10766.82
101,1521907200000,0.02283,0.02283,0.02077,0.02125,35782.61
102,1521910800000,0.02145,0.02163,0.02076,0.02109,21527.62
103,1521914400000,0.02109,0.02109,0.01962,0.01965,69467.04
104,1521918000000,0.01946,0.02078,0.01911,0.02074,57429.67
105,1521921600000,0.0205,0.02155,0.0202,0.02141,32688.09
106,1521925200000,0.0214,0.022,0.02097,0.02125,13746.82
107,1521928800000,0.02049,0.02111,0.02001,0.02076,63016.55
108,1521932400000,0.02072,0.02133,0.02062,0.02133,7261.23
109,1521936000000,0.02071,0.02141,0.02071,0.02136,9138.99
110,1521939600000,0.02136,0.02136,0.02051,0.02057,11527.5
111,1521943200000,0.02069,0.02126,0.02069,0.02091,9345.31
112,1521946800000,0.02118,0.0218,0.01999,0.02005,25122.16
113,1521950400000,0.02005,0.02075,0.02005,0.02032,4968.16
114,1521954000000,0.02032,0.02032,0.0195,0.01989,14546.76
115,1521957600000,0.01973,0.02023,0.01946,0.02,12329.86
116,1521961200000,0.02,0.02052,0.01982,0.02003,6940.99
117,1521964800000,0.0203,0.02084,0.0203,0.02084,8586.69
118,1521968400000,0.02059,0.02059,0.02026,0.02033,2122.09
119,1521972000000,0.02033,0.02075,0.02033,0.02073,10993.87
120,1521975600000,0.02073,0.02073,0.0204,0.02069,18741.22
121,1521979200000,0.0206,0.0206,0.02004,0.02006,8571.13
122,1521982800000,0.02011,0.02039,0.02008,0.02039,3264.49
123,1521986400000,0.02042,0.0208,0.02042,0.0208,8495.82
124,1521990000000,0.02076,0.02415,0.02056,0.02285,910835.08
125,1521993600000,0.02285,0.0243,0.02235,0.024,522084.58
126,1521997200000,0.02401,0.02425,0.02244,0.02265,505506.4
127,1522000800000,0.02265,0.02282,0.02194,0.02274,60643.68
128,1522004400000,0.02257,0.02369,0.02233,0.0228,83835.09
129,1522008000000,0.02287,0.02345,0.02279,0.02304,83061.73
130,1522011600000,0.02344,0.02369,0.02281,0.02312,48406.06
131,1522015200000,0.02312,0.0234,0.02233,0.02255,122427.12
132,1522018800000,0.02247,0.0231,0.02189,0.0224,35721.82
133,1522022400000,0.02252,0.02259,0.02173,0.02214,39320.93
134,1522026000000,0.0223,0.02231,0.02176,0.02196,49094.89
135,1522029600000,0.02197,0.02198,0.02153,0.02177,181506.16
136,1522033200000,0.02177,0.02242,0.02165,0.02242,99961.41
137,1522036800000,0.02246,0.0225,0.02217,0.02236,4943.94
138,1522040400000,0.0224,0.02249,0.02216,0.02224,12714.9
139,1522044000000,0.02248,0.02283,0.02226,0.02251,33504.68
140,1522047600000,0.02267,0.02273,0.02244,0.02273,9888.62
141,1522051200000,0.02272,0.0231,0.02239,0.02285,25266.13
142,1522054800000,0.02298,0.02317,0.02249,0.02317,44720.28
143,1522058400000,0.02317,0.02317,0.02258,0.0228,8011.78
144,1522062000000,0.02285,0.0232,0.02258,0.02307,50058.49
145,1522065600000,0.02305,0.02315,0.02258,0.0226,31593.16
146,1522069200000,0.02261,0.02268,0.02204,0.0223,78452.18
