,ts,open,high,low,close,volume
0,1521543600000,4e-05,4.1e-05,2.56e-05,3.958e-05,13199992.0
1,1521547200000,3.955e-05,3.97e-05,3.643e-05,3.699e-05,13944519.0
2,1521550800000,3.699e-05,3.715e-05,3.569e-05,3.58e-05,5428730.0
3,1521554400000,3.579e-05,3.659e-05,3.4e-05,3.55e-05,6450040.0
4,1521558000000,3.55e-05,3.563e-05,3.41e-05,3.466e-05,5090862.0
5,1521561600000,3.466e-05,3.51e-05,3.367e-05,3.419e-05,4767922.0
6,1521565200000,3.42e-05,3.459e-05,3.37e-05,3.389e-05,2769642.0
7,1521568800000,3.38e-05,3.45e-05,3.345e-05,3.427e-05,3262983.0
8,1521572400000,3.427e-05,3.534e-05,3.366e-05,3.437e-05,4655246.0
9,1521576000000,3.434e-05,3.45e-05,3.361e-05,3.45e-05,1974125.0
10,1521579600000,3.45e-05,3.495e-05,3.418e-05,3.489e-05,1780135.0
11,1521583200000,3.489e-05,3.52e-05,3.364e-05,3.406e-05,2510246.0
12,1521586800000,3.407e-05,3.48e-05,3.357e-05,3.408e-05,2004689.0
13,1521590400000,3.409e-05,3.409e-05,3.347e-05,3.366e-05,1606277.0
14,1521594000000,3.384e-05,3.43e-05,3.356e-05,3.39e-05,1804293.0
15,1521597600000,3.39e-05,3.418e-05,3.349e-05,3.37e-05,2194449.0
16,1521601200000,3.37e-05,3.409e-05,3.348e-05,3.402e-05,1501517.0
17,1521604800000,3.402e-05,3.45e-05,3.363e-05,3.371e-05,2214008.0
18,1521608400000,3.372e-05,3.413e-05,3.37e-05,3.402e-05,1693057.0
19,1521612000000,3.402e-05,3.413e-05,3.344e-05,3.364e-05,1582304.0
20,1521615600000,3.37e-05,3.386e-05,3.305e-05,3.326e-05,2229257.0
21,1521619200000,3.326e-05,3.417e-05,3.27e-05,3.397e-05,2890242.0
22,1521622800000,3.397e-05,3.412e-05,3.355e-05,3.389e-05,2751170.0
23,1521626400000,3.382e-05,3.403e-05,3.353e-05,3.37e-05,1536198.0
24,1521630000000,3.369e-05,3.387e-05,3.332e-05,3.337e-05,1925668.0
25,1521633600000,3.337e-05,3.373e-05,3.3e-05,3.315e-05,1937443.0
26,1521637200000,3.328e-05,3.347e-05,3.262e-05,3.295e-05,2789377.0
