,ts,open,high,low,close,volume
0,1512712800000,0.042,0.05501,0.042,0.0546,25559.26
1,1512716400000,0.05458,0.05502,0.05004,0.05501,29489.73
2,1512720000000,0.05501,0.05793,0.05433,0.05452,268632.27
3,1512723600000,0.05449,0.0545,0.05324,0.05449,4897.96
4,1512727200000,0.05449,0.0545,0.05449,0.05449,542.86
5,1512730800000,0.05594,0.05594,0.05188,0.05188,1607.71
6,1512734400000,0.05188,0.05748,0.05187,0.056,219847.39
7,1512738000000,0.056,0.056,0.05069,0.05188,8876.77
8,1512741600000,0.05447,0.05572,0.0526,0.0526,37673.51
9,1512745200000,0.052,0.052,0.04999,0.05003,74461.05
10,1512748800000,0.05,0.05149,0.04741,0.04926,26359.37
11,1512752400000,0.04926,0.04926,0.04741,0.04741,2952.61
12,1512756000000,0.04792,0.04927,0.04792,0.04927,321082.26
13,1512759600000,0.04862,0.04934,0.0485,0.04888,85674.56
14,1512763200000,0.04851,0.04933,0.04846,0.04846,60510.22
15,1512766800000,0.04846,0.04933,0.04796,0.048,132373.85
16,1512770400000,0.04796,0.04875,0.04741,0.04875,291666.39
17,1512774000000,0.04875,0.04934,0.04836,0.04868,435431.06
18,1512777600000,0.04933,0.04943,0.04862,0.04943,497545.81
19,1512781200000,0.04943,0.05204,0.04943,0.05204,399837.33
20,1512784800000,0.05204,0.05204,0.05001,0.05097,130916.84
21,1512788400000,0.05204,0.05204,0.05145,0.05192,43707.12
22,1512792000000,0.05267,0.05499,0.05267,0.05377,30805.35
23,1512795600000,0.05377,0.05503,0.05192,0.0521,38875.76
24,1512799200000,0.05313,0.05417,0.0529,0.05417,14297.0
25,1512802800000,0.05494,0.06659,0.0529,0.05351,50773.4
26,1512806400000,0.05351,0.05351,0.05192,0.05192,54706.91
27,1512810000000,0.05079,0.051,0.05016,0.051,7286.02
28,1512813600000,0.05192,0.05228,0.05192,0.05228,14255.26
29,1512817200000,0.05228,0.05228,0.05124,0.05213,44999.87
30,1512820800000,0.05281,0.06093,0.05281,0.06072,3644.33
31,1512824400000,0.05978,0.05978,0.0543,0.05457,6692.07
32,1512828000000,0.05479,0.0584,0.05479,0.05634,108869.91
33,1512831600000,0.05672,0.05828,0.05632,0.05757,35689.54
34,1512835200000,0.05686,0.05828,0.056,0.05603,162851.96
35,1512838800000,0.05618,0.05828,0.0535,0.0535,66563.93
36,1512842400000,0.0535,0.05541,0.0535,0.05541,33106.18
37,1512846000000,0.05541,0.05541,0.05476,0.05476,25165.08
38,1512849600000,0.05478,0.057,0.0546,0.056,14782.23
39,1512853200000,0.05546,0.05691,0.05473,0.05521,16747.43
40,1512856800000,0.05448,0.05448,0.05326,0.05326,77498.0
41,1512860400000,0.05369,0.05432,0.05,0.05,16921.1
42,1512864000000,0.05,0.05215,0.04954,0.05109,51240.42
43,1512867600000,0.05143,0.0567,0.049,0.049,8039.71
44,1512871200000,0.049,0.04923,0.04755,0.04891,128010.54
45,1512874800000,0.04891,0.04891,0.04676,0.04724,57312.84
