,ts,open,high,low,close,volume
0,1512712800000,2e-05,2e-05,8e-06,8.24e-06,4682214.0
1,1512716400000,8.28e-06,8.65e-06,8.13e-06,8.49e-06,3649488.0
2,1512720000000,8.45e-06,8.97e-06,8.04e-06,8.38e-06,8539007.0
3,1512723600000,8.35e-06,8.5e-06,7.92e-06,8.21e-06,3968600.0
4,1512727200000,8.23e-06,8.7e-06,8.1e-06,8.55e-06,4486247.0
5,1512730800000,8.55e-06,9.06e-06,8.33e-06,8.39e-06,3335239.0
6,1512734400000,8.6e-06,8.95e-06,8.1e-06,8.67e-06,2532897.0
7,1512738000000,8.71e-06,9.07e-06,8e-06,8.9e-06,5701992.0
8,1512741600000,8.89e-06,9.42e-06,8.02e-06,8.51e-06,4716486.0
9,1512745200000,8.51e-06,9e-06,8.31e-06,8.63e-06,1759887.0
10,1512748800000,8.67e-06,8.75e-06,8.46e-06,8.71e-06,8370207.0
11,1512752400000,8.74e-06,8.87e-06,8.66e-06,8.83e-06,4026360.0
12,1512756000000,8.83e-06,9.23e-06,8.83e-06,8.92e-06,3295801.0
13,1512759600000,8.92e-06,9.13e-06,8.83e-06,8.96e-06,4725703.0
14,1512763200000,8.97e-06,9e-06,8.6e-06,8.66e-06,4749030.0
15,1512766800000,8.66e-06,8.76e-06,8.43e-06,8.46e-06,4189799.0
16,1512770400000,8.46e-06,8.63e-06,8.2e-06,8.56e-06,5926363.0
17,1512774000000,8.54e-06,9.07e-06,8.4e-06,8.53e-06,4327866.0
18,1512777600000,8.53e-06,8.85e-06,8.45e-06,8.71e-06,2912018.0
19,1512781200000,8.75e-06,9.08e-06,8.62e-06,9.05e-06,5451029.0
20,1512784800000,9.02e-06,9.3e-06,8.93e-06,9.2e-06,4825302.0
21,1512788400000,9.2e-06,9.33e-06,9.06e-06,9.06e-06,4249366.0
22,1512792000000,9.12e-06,9.3e-06,8.9e-06,9.26e-06,2993144.0
23,1512795600000,9.23e-06,9.26e-06,8.82e-06,9e-06,5007090.0
24,1512799200000,8.99e-06,9.1e-06,8.85e-06,9e-06,3024429.0
25,1512802800000,9.02e-06,9.07e-06,8.86e-06,9.02e-06,3921954.0
26,1512806400000,8.99e-06,9.07e-06,8.63e-06,8.65e-06,4146385.0
27,1512810000000,8.84e-06,8.89e-06,8.63e-06,8.84e-06,2175437.0
28,1512813600000,8.84e-06,9e-06,8.6e-06,8.84e-06,4146161.0
29,1512817200000,8.9e-06,9e-06,8.73e-06,8.84e-06,6613843.0
30,1512820800000,8.86e-06,9.17e-06,8.82e-06,9.17e-06,3489883.0
31,1512824400000,9.18e-06,9.25e-06,9.04e-06,9.22e-06,2795853.0
32,1512828000000,9.23e-06,9.94e-06,9.2e-06,9.55e-06,4815881.0
33,1512831600000,9.58e-06,9.89e-06,9.55e-06,9.8e-06,2856614.0
34,1512835200000,9.78e-06,1.011e-05,9.51e-06,9.54e-06,6336907.0
35,1512838800000,9.57e-06,9.8e-06,9e-06,9.01e-06,3656950.0
36,1512842400000,9.03e-06,9.74e-06,9e-06,9.63e-06,4452431.0
37,1512846000000,9.45e-06,9.5e-06,9.21e-06,9.4e-06,3737410.0
38,1512849600000,9.4e-06,9.49e-06,9.3e-06,9.3e-06,2794083.0
39,1512853200000,9.31e-06,9.44e-06,9.2e-06,9.2e-06,4579149.0
40,1512856800000,9.2e-06,9.25e-06,8.79e-06,8.92e-06,4467985.0
41,1512860400000,8.92e-06,9.1e-06,8.91e-06,9.02e-06,4254784.0
42,1512864000000,9.01e-06,9.23e-06,8.86e-06,9.01e-06,5570095.0
43,1512867600000,9.08e-06,9.1e-06,8.55e-06,8.55e-06,4080635.0
44,1512871200000,8.57e-06,8.73e-06,8.05e-06,8.56e-06,2330151.0
45,1512874800000,8.54e-06,8.6e-06,7.92e-06,7.93e-06,4862264.0
46,1512878400000,7.95e-06,8.4e-06,7.6e-06,8.3e-06,5341773.0
47,1512882000000,8.32e-06,8.52e-06,8.19e-06,8.49e-06,3022985.0
48,1512885600000,8.49e-06,8.59e-06,8.31e-06,8.35e-06,5938499.0
49,1512889200000,8.35e-06,8.44e-06,8.13e-06,8.33e-06,5698056.0
50,1512892800000,8.38e-06,8.46e-06,8.27e-06,8.35e-06,2116289.0
51,1512896400000,8.35e-06,8.58e-06,8.35e-06,8.45e-06,5895653.0
52,1512900000000,8.45e-06,8.59e-06,8.35e-06,8.49e-06,1207209.0
53,1512903600000,8.53e-06,8.59e-06,8.35e-06,8.54e-06,2356972.0
54,1512907200000,8.54e-06,8.59e-06,8.41e-06,8.49e-06,3066458.0
55,1512910800000,8.5e-06,8.59e-06,8.2e-06,8.44e-06,3699364.0
56,1512914400000,8.45e-06,8.48e-06,7.41e-06,8.07e-06,3277065.0
57,1512918000000,8.08e-06,8.14e-06,7.53e-06,7.75e-06,4082566.0
58,1512921600000,7.76e-06,8.04e-06,7.72e-06,7.96e-06,2879510.0
59,1512925200000,7.96e-06,8.14e-06,7.83e-06,8e-06,5825522.0
60,1512928800000,7.95e-06,7.98e-06,7.85e-06,7.96e-06,7799912.0
61,1512932400000,7.96e-06,8.13e-06,7.8e-06,7.8e-06,4339715.0
62,1512936000000,7.9e-06,7.9e-06,7.78e-06,7.89e-06,2612472.0
63,1512939600000,7.83e-06,8e-06,7.65e-06,7.84e-06,3452686.0
64,1512943200000,7.82e-06,7.84e-06,7.58e-06,7.61e-06,4883283.0
65,1512946800000,7.63e-06,7.75e-06,7.32e-06,7.65e-06,5018905.0
66,1512950400000,7.74e-06,8.02e-06,7.55e-06,7.94e-06,2266269.0
67,1512954000000,7.93e-06,8.36e-06,7.88e-06,7.88e-06,6286449.0
68,1512957600000,7.91e-06,8.07e-06,7.72e-06,7.73e-06,4678297.0
69,1512961200000,7.75e-06,7.8e-06,7.58e-06,7.62e-06,13192452.0
70,1512964800000,7.65e-06,8.13e-06,7.59e-06,7.78e-06,4347179.0
71,1512968400000,7.77e-06,7.89e-06,7.72e-06,7.78e-06,4579936.0
72,1512972000000,7.78e-06,7.84e-06,7.77e-06,7.78e-06,3612230.0
73,1512975600000,7.8e-06,7.85e-06,7.69e-06,7.78e-06,3115224.0
74,1512979200000,7.78e-06,7.85e-06,7.72e-06,7.74e-06,5017799.0
75,1512982800000,7.74e-06,7.9e-06,7.74e-06,7.78e-06,5793526.0
76,1512986400000,7.78e-06,8.38e-06,7.77e-06,8.32e-06,4613799.0
77,1512990000000,8.32e-06,8.6e-06,8.04e-06,8.29e-06,3896229.0
78,1512993600000,8.29e-06,8.54e-06,8.24e-06,8.36e-06,4462917.0
79,1512997200000,8.38e-06,8.98e-06,8.34e-06,8.89e-06,7210167.0
80,1513000800000,8.89e-06,9.25e-06,8.79e-06,8.98e-06,4991173.0
81,1513004400000,8.98e-06,9.05e-06,8.4e-06,8.66e-06,5277906.0
82,1513008000000,8.66e-06,8.7e-06,8.43e-06,8.66e-06,9036928.0
83,1513011600000,8.66e-06,8.68e-06,8.28e-06,8.42e-06,7504713.0
84,1513015200000,8.43e-06,8.74e-06,8.32e-06,8.66e-06,4361615.0
85,1513018800000,8.66e-06,8.71e-06,8.02e-06,8.11e-06,5911042.0
86,1513022400000,8.13e-06,8.32e-06,7.84e-06,8.1e-06,5778490.0
87,1513026000000,8.1e-06,8.39e-06,8.02e-06,8.16e-06,3984799.0
