,ts,open,high,low,close,volume
0,1510293600000,0.291,0.5,0.291,0.395,33.48
1,1510297200000,0.39422,0.39422,0.39168,0.39168,1.089
2,1510300800000,0.385,0.385,0.36287,0.37001,60.88
3,1510304400000,0.38787,0.38787,0.369,0.369,13.094
4,1510308000000,0.3695,0.3695,0.36287,0.36287,11.981
5,1510311600000,0.36287,0.36287,0.36287,0.36287,0.0
6,1510315200000,0.36287,0.36287,0.36287,0.36287,0.479
7,1510318800000,0.36283,0.36283,0.36061,0.36061,5.523
8,1510322400000,0.35773,0.35928,0.35773,0.35928,1.32
9,1510326000000,0.35559,0.35559,0.34999,0.35,4.331
10,1510329600000,0.35958,0.37,0.35005,0.35847,38.816
11,1510333200000,0.35847,0.36684,0.35847,0.36371,119.455
12,1510336800000,0.36427,0.37,0.35313,0.35313,79.353
13,1510340400000,0.35314,0.35314,0.34999,0.34999,10.51
14,1510344000000,0.34999,0.34999,0.34999,0.34999,0.0
15,1510347600000,0.34999,0.34999,0.34999,0.34999,0.0
16,1510351200000,0.37017,0.37017,0.37017,0.37017,6.049
17,1510354800000,0.37017,0.37017,0.37017,0.37017,0.05
18,1510358400000,0.37017,0.37017,0.37017,0.37017,0.0
19,1510362000000,0.37514,0.37978,0.35858,0.35858,37.216
20,1510365600000,0.37237,0.37237,0.36601,0.36601,5.43
21,1510369200000,0.3743,0.3743,0.3743,0.3743,2.522
22,1510372800000,0.37,0.37,0.37,0.37,1.0
23,1510376400000,0.36998,0.36999,0.36998,0.36999,3.1
24,1510380000000,0.36064,0.39422,0.36064,0.39422,16.294
25,1510383600000,0.37218,0.3729,0.36899,0.36899,20.521
26,1510387200000,0.36899,0.3893,0.36235,0.3893,12.413
27,1510390800000,0.36512,0.36512,0.36511,0.36511,3.741
28,1510394400000,0.36898,0.36898,0.36666,0.36666,10.424
29,1510398000000,0.3624,0.3624,0.35977,0.35977,4.931
30,1510401600000,0.35737,0.35737,0.35501,0.35501,6.0
31,1510405200000,0.36101,0.36666,0.35,0.35,30.074
32,1510408800000,0.35005,0.39,0.35,0.38002,73.505
33,1510412400000,0.38003,0.4,0.38003,0.38104,35.983
34,1510416000000,0.40493,0.54082,0.39049,0.54082,132.094
35,1510419600000,0.6,0.6,0.39955,0.39955,314.035
36,1510423200000,0.399,0.41497,0.373,0.3732,196.414
37,1510426800000,0.373,0.40328,0.3631,0.38,104.829
38,1510430400000,0.38121,0.38121,0.3802,0.3802,28.75
39,1510434000000,0.40328,0.40644,0.40328,0.40644,0.492
40,1510437600000,0.3822,0.38224,0.38214,0.38214,47.011
41,1510441200000,0.38204,0.4001,0.38204,0.4001,81.856
42,1510444800000,0.4,0.4,0.37007,0.4,22.038
43,1510448400000,0.4001,0.4125,0.38201,0.38201,54.799
44,1510452000000,0.38901,0.41087,0.389,0.389,28.956
45,1510455600000,0.389,0.40887,0.38501,0.40367,30.332
46,1510459200000,0.40362,0.40362,0.38222,0.3852,112.395
47,1510462800000,0.38526,0.38526,0.382,0.38202,112.278
48,1510466400000,0.38202,0.39935,0.371,0.371,213.605
49,1510470000000,0.371,0.38015,0.371,0.38015,8.097
50,1510473600000,0.40365,0.405,0.385,0.4,181.232
51,1510477200000,0.4,0.4,0.3851,0.3851,1.84
52,1510480800000,0.41319,0.41319,0.405,0.405,132.771
53,1510484400000,0.40499,0.40499,0.40499,0.40499,14.72
54,1510488000000,0.40499,0.40499,0.38133,0.38133,166.222
55,1510491600000,0.40354,0.40354,0.38015,0.39085,69.957
56,1510495200000,0.381,0.4132,0.381,0.39111,81.956
57,1510498800000,0.39111,0.452,0.38653,0.42001,1645.49
58,1510502400000,0.42002,0.444,0.41567,0.41567,340.719
59,1510506000000,0.4157,0.43198,0.40211,0.40212,156.885
60,1510509600000,0.40251,0.41299,0.39004,0.41299,43.497
61,1510513200000,0.412,0.44949,0.40999,0.41971,147.026
62,1510516800000,0.41886,0.44357,0.399,0.44357,65.404
63,1510520400000,0.40001,0.43376,0.39141,0.43376,14.516
64,1510524000000,0.42017,0.42544,0.38116,0.42309,52.717
65,1510527600000,0.4172,0.4172,0.39,0.39999,9.474
66,1510531200000,0.41,0.435,0.41,0.416,218.973
67,1510534800000,0.416,0.4294,0.412,0.42202,141.638
68,1510538400000,0.42202,0.42202,0.41555,0.41555,10.415
69,1510542000000,0.41666,0.41667,0.41666,0.41666,14.961
70,1510545600000,0.41666,0.42206,0.41666,0.42202,11.274
71,1510549200000,0.42202,0.434,0.41016,0.41016,78.959
72,1510552800000,0.41016,0.42,0.41016,0.41016,32.697
73,1510556400000,0.43001,0.8,0.40001,0.40001,299.68
74,1510560000000,0.41,0.412,0.40999,0.41,45.309
75,1510563600000,0.40591,0.41945,0.40206,0.41945,55.941
76,1510567200000,0.40609,0.4061,0.39988,0.4,27.153
77,1510570800000,0.40344,0.40378,0.39701,0.39701,26.368
78,1510574400000,0.39426,0.419,0.39426,0.39585,118.979
79,1510578000000,0.39001,0.4,0.386,0.386,90.332
80,1510581600000,0.386,0.40695,0.38542,0.39159,23.082
81,1510585200000,0.40779,0.41111,0.39,0.4,101.909
82,1510588800000,0.4,0.40908,0.393,0.40908,11.914
83,1510592400000,0.40908,0.40908,0.40068,0.40903,33.296
84,1510596000000,0.39551,0.40399,0.3856,0.3856,100.182
85,1510599600000,0.3856,0.41111,0.38214,0.41111,30.439
86,1510603200000,0.4111,0.4111,0.395,0.395,2.177
87,1510606800000,0.39,0.395,0.38399,0.38399,20.663
88,1510610400000,0.38202,0.40999,0.38202,0.4091,5.579
89,1510614000000,0.4091,0.4091,0.4091,0.4091,0.0
90,1510617600000,0.38526,0.39246,0.38001,0.39246,93.276
91,1510621200000,0.39246,0.39246,0.38824,0.38824,14.815
92,1510624800000,0.38824,0.38824,0.38,0.38,70.638
93,1510628400000,0.3775,0.3775,0.36988,0.36988,85.879
94,1510632000000,0.36988,0.3804,0.36988,0.3804,7.448
95,1510635600000,0.3873,0.3873,0.37812,0.3873,15.092
