,ts,open,high,low,close,volume
0,1509606000000,2.246e-05,2.246e-05,2.246e-05,2.246e-05,100.0
1,1509609600000,2.8e-05,2.802e-05,2.501e-05,2.617e-05,37211.0
2,1509613200000,2.627e-05,2.655e-05,2.603e-05,2.625e-05,357662.0
3,1509616800000,2.618e-05,2.625e-05,2.4e-05,2.495e-05,397199.0
4,1509620400000,2.471e-05,2.905e-05,2.44e-05,2.725e-05,292751.0
5,1509624000000,2.764e-05,2.884e-05,2.635e-05,2.652e-05,137066.0
6,1509627600000,2.656e-05,2.749e-05,2.5e-05,2.6e-05,522666.0
7,1509631200000,2.61e-05,2.732e-05,2.5e-05,2.692e-05,346179.0
8,1509634800000,2.692e-05,2.732e-05,2.594e-05,2.7e-05,251484.0
9,1509638400000,2.678e-05,2.699e-05,2.677e-05,2.679e-05,540266.0
10,1509642000000,2.683e-05,2.827e-05,2.679e-05,2.706e-05,455090.0
11,1509645600000,2.778e-05,2.856e-05,2.706e-05,2.849e-05,333180.0
12,1509649200000,2.846e-05,2.9e-05,2.826e-05,2.838e-05,389118.0
13,1509652800000,2.836e-05,2.84e-05,2.621e-05,2.767e-05,357657.0
14,1509656400000,2.766e-05,2.88e-05,2.69e-05,2.791e-05,619053.0
15,1509660000000,2.735e-05,2.946e-05,2.735e-05,2.864e-05,427091.0
16,1509663600000,2.808e-05,3.175e-05,2.807e-05,2.959e-05,466229.0
17,1509667200000,2.957e-05,4.598e-05,2.915e-05,3.23e-05,2458276.0
18,1509670800000,3.23e-05,3.8e-05,2.8e-05,2.954e-05,1802895.0
19,1509674400000,2.953e-05,2.982e-05,2.859e-05,2.859e-05,991738.0
20,1509678000000,2.859e-05,2.861e-05,2.475e-05,2.674e-05,1247180.0
21,1509681600000,2.678e-05,2.753e-05,2.57e-05,2.616e-05,721717.0
22,1509685200000,2.617e-05,2.808e-05,2.617e-05,2.661e-05,347028.0
23,1509688800000,2.739e-05,2.76e-05,2.657e-05,2.751e-05,316293.0
