,ts,open,high,low,close,volume
0,1506916800000,3.3e-06,3.3e-06,1.84e-06,1.98e-06,31871274.0
1,1506920400000,1.99e-06,1.99e-06,1.8e-06,1.94e-06,15277356.0
2,1506924000000,1.89e-06,2.16e-06,1.89e-06,1.96e-06,7509425.0
3,1506927600000,1.96e-06,2.07e-06,1.87e-06,1.95e-06,7772590.0
4,1506931200000,1.94e-06,2.03e-06,1.84e-06,1.85e-06,9481324.0
5,1506934800000,1.84e-06,1.9e-06,1.81e-06,1.83e-06,5417942.0
6,1506938400000,1.84e-06,1.87e-06,1.76e-06,1.81e-06,10203497.0
7,1506942000000,1.82e-06,1.82e-06,1.75e-06,1.79e-06,3413652.0
8,1506945600000,1.75e-06,1.78e-06,1.64e-06,1.65e-06,5868422.0
9,1506949200000,1.64e-06,1.7e-06,1.6e-06,1.68e-06,9555557.0
10,1506952800000,1.68e-06,1.69e-06,1.67e-06,1.67e-06,3825336.0
11,1506956400000,1.67e-06,1.72e-06,1.65e-06,1.7e-06,6905954.0
12,1506960000000,1.7e-06,1.77e-06,1.68e-06,1.68e-06,9324511.0
13,1506963600000,1.68e-06,1.69e-06,1.64e-06,1.69e-06,2632299.0
14,1506967200000,1.69e-06,1.69e-06,1.64e-06,1.64e-06,4190575.0
15,1506970800000,1.64e-06,1.66e-06,1.6e-06,1.63e-06,1689709.0
16,1506974400000,1.65e-06,1.69e-06,1.62e-06,1.65e-06,3588300.0
17,1506978000000,1.69e-06,1.69e-06,1.65e-06,1.66e-06,1516015.0
18,1506981600000,1.65e-06,1.67e-06,1.6e-06,1.61e-06,3030548.0
19,1506985200000,1.61e-06,1.65e-06,1.61e-06,1.63e-06,3702859.0
20,1506988800000,1.63e-06,1.65e-06,1.6e-06,1.65e-06,3135180.0
21,1506992400000,1.61e-06,1.65e-06,1.56e-06,1.6e-06,4232881.0
22,1506996000000,1.6e-06,1.62e-06,1.57e-06,1.58e-06,2141509.0
23,1506999600000,1.58e-06,1.6e-06,1.56e-06,1.56e-06,3299566.0
24,1507003200000,1.57e-06,1.62e-06,1.55e-06,1.6e-06,5464838.0
25,1507006800000,1.61e-06,1.61e-06,1.54e-06,1.54e-06,4742182.0
26,1507010400000,1.55e-06,1.56e-06,1.49e-06,1.56e-06,9568309.0
27,1507014000000,1.56e-06,1.56e-06,1.52e-06,1.56e-06,978082.0
28,1507017600000,1.56e-06,1.59e-06,1.54e-06,1.55e-06,1420383.0
29,1507021200000,1.56e-06,1.58e-06,1.53e-06,1.54e-06,2088591.0
30,1507024800000,1.54e-06,1.57e-06,1.54e-06,1.54e-06,1020936.0
31,1507028400000,1.56e-06,1.59e-06,1.56e-06,1.59e-06,257070.0
32,1507032000000,1.57e-06,1.6e-06,1.57e-06,1.59e-06,731224.0
33,1507035600000,1.59e-06,1.6e-06,1.56e-06,1.56e-06,1492311.0
34,1507039200000,1.55e-06,1.56e-06,1.54e-06,1.56e-06,930069.0
35,1507042800000,1.54e-06,1.56e-06,1.54e-06,1.54e-06,842046.0
36,1507046400000,1.56e-06,1.56e-06,1.54e-06,1.55e-06,637048.0
37,1507050000000,1.56e-06,1.59e-06,1.53e-06,1.56e-06,2159145.0
38,1507053600000,1.56e-06,1.57e-06,1.55e-06,1.56e-06,1377630.0
39,1507057200000,1.57e-06,1.57e-06,1.55e-06,1.56e-06,1606331.0
40,1507060800000,1.55e-06,1.56e-06,1.55e-06,1.55e-06,751859.0
41,1507064400000,1.57e-06,1.57e-06,1.54e-06,1.54e-06,445131.0
42,1507068000000,1.54e-06,1.57e-06,1.54e-06,1.54e-06,350026.0
43,1507071600000,1.54e-06,1.56e-06,1.53e-06,1.56e-06,573243.0
44,1507075200000,1.56e-06,1.57e-06,1.55e-06,1.57e-06,1018336.0
45,1507078800000,1.55e-06,1.6e-06,1.55e-06,1.58e-06,1062267.0
46,1507082400000,1.59e-06,1.59e-06,1.56e-06,1.58e-06,631808.0
47,1507086000000,1.57e-06,1.59e-06,1.57e-06,1.57e-06,1389964.0
48,1507089600000,1.58e-06,1.6e-06,1.55e-06,1.55e-06,6125103.0
49,1507093200000,1.57e-06,1.57e-06,1.53e-06,1.56e-06,3477696.0
50,1507096800000,1.55e-06,1.57e-06,1.54e-06,1.57e-06,2231047.0
51,1507100400000,1.57e-06,1.57e-06,1.53e-06,1.55e-06,1696699.0
52,1507104000000,1.55e-06,1.58e-06,1.54e-06,1.56e-06,677894.0
53,1507107600000,1.57e-06,1.57e-06,1.54e-06,1.54e-06,1115247.0
54,1507111200000,1.54e-06,1.56e-06,1.54e-06,1.55e-06,402500.0
55,1507114800000,1.55e-06,1.56e-06,1.53e-06,1.56e-06,903662.0
56,1507118400000,1.55e-06,1.55e-06,1.52e-06,1.53e-06,695379.0
57,1507122000000,1.53e-06,1.53e-06,1.5e-06,1.51e-06,3915143.0
58,1507125600000,1.51e-06,1.52e-06,1.49e-06,1.51e-06,3679563.0
59,1507129200000,1.51e-06,1.53e-06,1.49e-06,1.52e-06,1116970.0
60,1507132800000,1.52e-06,1.52e-06,1.5e-06,1.52e-06,1870166.0
61,1507136400000,1.52e-06,1.52e-06,1.5e-06,1.5e-06,1310449.0
62,1507140000000,1.51e-06,1.51e-06,1.5e-06,1.5e-06,1496172.0
63,1507143600000,1.5e-06,1.52e-06,1.5e-06,1.52e-06,923498.0
64,1507147200000,1.52e-06,1.52e-06,1.49e-06,1.5e-06,1131165.0
65,1507150800000,1.5e-06,1.5e-06,1.47e-06,1.48e-06,4371756.0
66,1507154400000,1.48e-06,1.51e-06,1.46e-06,1.51e-06,1228901.0
67,1507158000000,1.49e-06,1.51e-06,1.46e-06,1.49e-06,867375.0
68,1507161600000,1.49e-06,1.52e-06,1.49e-06,1.5e-06,3213739.0
69,1507165200000,1.5e-06,1.5e-06,1.49e-06,1.5e-06,510745.0
70,1507168800000,1.48e-06,1.5e-06,1.48e-06,1.48e-06,326952.0
71,1507172400000,1.48e-06,1.5e-06,1.44e-06,1.5e-06,7775557.0
72,1507176000000,1.47e-06,1.49e-06,1.43e-06,1.45e-06,2604448.0
73,1507179600000,1.44e-06,1.46e-06,1.44e-06,1.44e-06,2748936.0
74,1507183200000,1.45e-06,1.47e-06,1.43e-06,1.44e-06,1728612.0
75,1507186800000,1.44e-06,1.45e-06,1.43e-06,1.45e-06,3003384.0
76,1507190400000,1.43e-06,1.45e-06,1.41e-06,1.45e-06,914386.0
77,1507194000000,1.43e-06,1.46e-06,1.43e-06,1.43e-06,271060.0
78,1507197600000,1.45e-06,1.48e-06,1.45e-06,1.47e-06,127599.0
79,1507201200000,1.46e-06,1.48e-06,1.45e-06,1.47e-06,204660.0
80,1507204800000,1.47e-06,1.48e-06,1.44e-06,1.45e-06,829983.0
81,1507208400000,1.46e-06,1.47e-06,1.44e-06,1.44e-06,880239.0
82,1507212000000,1.46e-06,1.47e-06,1.44e-06,1.44e-06,1915118.0
83,1507215600000,1.44e-06,1.45e-06,1.42e-06,1.42e-06,3224829.0
84,1507219200000,1.41e-06,1.57e-06,1.41e-06,1.45e-06,8148360.0
85,1507222800000,1.45e-06,1.45e-06,1.44e-06,1.45e-06,45645.0
86,1507226400000,1.47e-06,1.49e-06,1.45e-06,1.45e-06,90953.0
87,1507230000000,1.45e-06,1.48e-06,1.45e-06,1.48e-06,239232.0
88,1507233600000,1.48e-06,1.48e-06,1.45e-06,1.48e-06,64244.0
89,1507237200000,1.47e-06,1.48e-06,1.46e-06,1.46e-06,56791.0
90,1507240800000,1.45e-06,1.46e-06,1.45e-06,1.46e-06,22856.0
91,1507244400000,1.47e-06,1.47e-06,1.44e-06,1.44e-06,62559.0
92,1507248000000,1.44e-06,1.47e-06,1.44e-06,1.47e-06,158370.0
93,1507251600000,1.46e-06,1.46e-06,1.42e-06,1.43e-06,453345.0
94,1507255200000,1.44e-06,1.47e-06,1.4e-06,1.42e-06,1927203.0
95,1507258800000,1.42e-06,1.43e-06,1.39e-06,1.43e-06,1201689.0
96,1507262400000,1.41e-06,1.44e-06,1.38e-06,1.38e-06,735866.0
97,1507266000000,1.4e-06,1.42e-06,1.4e-06,1.41e-06,502988.0
98,1507269600000,1.41e-06,1.41e-06,1.39e-06,1.4e-06,404163.0
99,1507273200000,1.39e-06,1.43e-06,1.38e-06,1.4e-06,310572.0
100,1507276800000,1.4e-06,1.43e-06,1.39e-06,1.4e-06,1483273.0
101,1507280400000,1.41e-06,1.45e-06,1.41e-06,1.44e-06,720878.0
102,1507284000000,1.42e-06,1.47e-06,1.42e-06,1.45e-06,377318.0
103,1507287600000,1.45e-06,1.46e-06,1.43e-06,1.46e-06,583450.0
104,1507291200000,1.46e-06,1.47e-06,1.44e-06,1.44e-06,687323.0
105,1507294800000,1.44e-06,1.44e-06,1.42e-06,1.42e-06,881919.0
106,1507298400000,1.41e-06,1.42e-06,1.36e-06,1.4e-06,3731897.0
107,1507302000000,1.4e-06,1.43e-06,1.38e-06,1.38e-06,322722.0
108,1507305600000,1.4e-06,1.41e-06,1.4e-06,1.41e-06,1820201.0
109,1507309200000,1.41e-06,1.42e-06,1.39e-06,1.41e-06,3255311.0
110,1507312800000,1.42e-06,1.43e-06,1.41e-06,1.41e-06,4529624.0
111,1507316400000,1.4e-06,1.4e-06,1.16e-06,1.39e-06,6256981.0
112,1507320000000,1.4e-06,1.4e-06,1.36e-06,1.4e-06,1028541.0
113,1507323600000,1.41e-06,1.43e-06,1.39e-06,1.43e-06,1439524.0
114,1507327200000,1.42e-06,1.52e-06,1.42e-06,1.46e-06,1749198.0
115,1507330800000,1.46e-06,1.51e-06,1.46e-06,1.51e-06,938269.0
116,1507334400000,1.51e-06,1.56e-06,1.51e-06,1.56e-06,3249363.0
117,1507338000000,1.56e-06,1.6e-06,1.52e-06,1.53e-06,5391117.0
118,1507341600000,1.52e-06,1.56e-06,1.5e-06,1.54e-06,1797771.0
119,1507345200000,1.54e-06,1.57e-06,1.54e-06,1.56e-06,1111545.0
120,1507348800000,1.53e-06,1.59e-06,1.5e-06,1.56e-06,2184212.0
121,1507352400000,1.56e-06,1.57e-06,1.52e-06,1.52e-06,1988644.0
122,1507356000000,1.52e-06,1.53e-06,1.47e-06,1.47e-06,891907.0
123,1507359600000,1.52e-06,1.52e-06,1.47e-06,1.49e-06,368554.0
124,1507363200000,1.48e-06,1.5e-06,1.43e-06,1.48e-06,3122243.0
125,1507366800000,1.48e-06,1.48e-06,1.47e-06,1.48e-06,411483.0
126,1507370400000,1.5e-06,1.51e-06,1.5e-06,1.51e-06,132746.0
127,1507374000000,1.5e-06,1.54e-06,1.49e-06,1.52e-06,1182895.0
128,1507377600000,1.5e-06,1.51e-06,1.48e-06,1.49e-06,475217.0
129,1507381200000,1.5e-06,1.52e-06,1.48e-06,1.48e-06,1179257.0
130,1507384800000,1.47e-06,1.48e-06,1.45e-06,1.48e-06,474913.0
131,1507388400000,1.48e-06,1.48e-06,1.39e-06,1.46e-06,1951292.0
132,1507392000000,1.46e-06,1.47e-06,1.45e-06,1.46e-06,344100.0
133,1507395600000,1.46e-06,1.48e-06,1.46e-06,1.47e-06,63694.0
134,1507399200000,1.46e-06,1.48e-06,1.46e-06,1.47e-06,553675.0
135,1507402800000,1.47e-06,1.47e-06,1.45e-06,1.45e-06,211921.0
136,1507406400000,1.45e-06,1.45e-06,1.44e-06,1.45e-06,86193.0
137,1507410000000,1.44e-06,1.46e-06,1.44e-06,1.45e-06,242700.0
138,1507413600000,1.45e-06,1.49e-06,1.45e-06,1.47e-06,390837.0
139,1507417200000,1.47e-06,1.47e-06,1.42e-06,1.43e-06,298413.0
140,1507420800000,1.42e-06,1.46e-06,1.42e-06,1.43e-06,597562.0
141,1507424400000,1.43e-06,1.44e-06,1.39e-06,1.42e-06,430694.0
142,1507428000000,1.42e-06,1.43e-06,1.4e-06,1.43e-06,320276.0
143,1507431600000,1.43e-06,1.45e-06,1.43e-06,1.45e-06,284228.0
144,1507435200000,1.45e-06,1.45e-06,1.39e-06,1.42e-06,1820241.0
145,1507438800000,1.42e-06,1.42e-06,1.41e-06,1.41e-06,586653.0
146,1507442400000,1.4e-06,1.41e-06,1.39e-06,1.4e-06,1019175.0
147,1507446000000,1.4e-06,1.41e-06,1.39e-06,1.4e-06,770180.0
148,1507449600000,1.4e-06,1.4e-06,1.39e-06,1.4e-06,506127.0
149,1507453200000,1.41e-06,1.42e-06,1.4e-06,1.42e-06,459322.0
150,1507456800000,1.42e-06,1.42e-06,1.39e-06,1.41e-06,1504098.0
151,1507460400000,1.4e-06,1.41e-06,1.35e-06,1.36e-06,1312262.0
152,1507464000000,1.36e-06,1.39e-06,1.29e-06,1.38e-06,460099.0
153,1507467600000,1.38e-06,1.39e-06,1.37e-06,1.37e-06,535274.0
154,1507471200000,1.37e-06,1.39e-06,1.34e-06,1.34e-06,5920087.0
155,1507474800000,1.34e-06,1.34e-06,1.23e-06,1.3e-06,5226282.0
156,1507478400000,1.3e-06,1.34e-06,1.27e-06,1.33e-06,3225290.0
157,1507482000000,1.31e-06,1.34e-06,1.29e-06,1.31e-06,1060610.0
158,1507485600000,1.3e-06,1.32e-06,1.29e-06,1.3e-06,2532496.0
159,1507489200000,1.31e-06,1.31e-06,1.28e-06,1.28e-06,1012765.0
160,1507492800000,1.29e-06,1.3e-06,1.2e-06,1.23e-06,2844363.0
161,1507496400000,1.23e-06,1.25e-06,1.18e-06,1.18e-06,1289696.0
162,1507500000000,1.18e-06,1.19e-06,1.08e-06,1.08e-06,3174997.0
163,1507503600000,1.12e-06,1.18e-06,1.08e-06,1.12e-06,2246134.0
164,1507507200000,1.14e-06,1.28e-06,1.14e-06,1.21e-06,3895756.0
165,1507510800000,1.21e-06,1.35e-06,1.21e-06,1.32e-06,2362057.0
166,1507514400000,1.31e-06,1.34e-06,1.24e-06,1.27e-06,1394463.0
167,1507518000000,1.27e-06,1.27e-06,1.22e-06,1.25e-06,782150.0
168,1507521600000,1.24e-06,1.25e-06,1.22e-06,1.25e-06,895211.0
169,1507525200000,1.24e-06,1.29e-06,1.21e-06,1.29e-06,2010548.0
170,1507528800000,1.28e-06,1.28e-06,1.23e-06,1.24e-06,2552544.0
171,1507532400000,1.26e-06,1.27e-06,1.25e-06,1.26e-06,590405.0
172,1507536000000,1.23e-06,1.25e-06,1.19e-06,1.25e-06,515846.0
173,1507539600000,1.2e-06,1.2e-06,1.18e-06,1.19e-06,855506.0
174,1507543200000,1.19e-06,1.19e-06,1.16e-06,1.17e-06,471654.0
175,1507546800000,1.18e-06,1.23e-06,1.15e-06,1.18e-06,579075.0
176,1507550400000,1.18e-06,1.21e-06,1.17e-06,1.18e-06,1124865.0
177,1507554000000,1.2e-06,1.23e-06,1.19e-06,1.21e-06,486146.0
178,1507557600000,1.19e-06,1.2e-06,1.17e-06,1.18e-06,703789.0
179,1507561200000,1.17e-06,1.18e-06,1.12e-06,1.14e-06,1944702.0
180,1507564800000,1.15e-06,1.18e-06,1.15e-06,1.15e-06,245407.0
181,1507568400000,1.16e-06,1.16e-06,1.15e-06,1.16e-06,2911177.0
182,1507572000000,1.16e-06,1.16e-06,1.11e-06,1.11e-06,1156572.0
183,1507575600000,1.09e-06,1.11e-06,1.06e-06,1.07e-06,2144570.0
184,1507579200000,1.07e-06,1.26e-06,1.06e-06,1.12e-06,3195344.0
185,1507582800000,1.11e-06,1.12e-06,1.07e-06,1.12e-06,793467.0
186,1507586400000,1.12e-06,1.12e-06,1.08e-06,1.12e-06,901309.0
187,1507590000000,1.12e-06,1.2e-06,1.12e-06,1.2e-06,454112.0
188,1507593600000,1.19e-06,1.21e-06,1.13e-06,1.14e-06,1783246.0
189,1507597200000,1.15e-06,1.19e-06,1.15e-06,1.18e-06,2348656.0
190,1507600800000,1.16e-06,1.19e-06,1.14e-06,1.17e-06,177921.0
191,1507604400000,1.16e-06,1.16e-06,1.14e-06,1.14e-06,382581.0
192,1507608000000,1.16e-06,1.16e-06,1.12e-06,1.12e-06,367508.0
193,1507611600000,1.11e-06,1.12e-06,1.11e-06,1.11e-06,359534.0
194,1507615200000,1.11e-06,1.16e-06,1.11e-06,1.16e-06,177617.0
195,1507618800000,1.13e-06,1.14e-06,1.12e-06,1.14e-06,5853887.0
196,1507622400000,1.14e-06,1.16e-06,1.1e-06,1.11e-06,2185094.0
197,1507626000000,1.12e-06,1.16e-06,1.12e-06,1.12e-06,441454.0
198,1507629600000,1.12e-06,1.13e-06,1.1e-06,1.1e-06,24183.0
199,1507633200000,1.11e-06,1.16e-06,1.1e-06,1.11e-06,168615.0
200,1507636800000,1.11e-06,1.11e-06,1.1e-06,1.11e-06,107329.0
201,1507640400000,1.12e-06,1.13e-06,1.1e-06,1.13e-06,1534424.0
202,1507644000000,1.13e-06,1.14e-06,1.12e-06,1.14e-06,5996710.0
203,1507647600000,1.14e-06,1.14e-06,1.11e-06,1.11e-06,2743943.0
204,1507651200000,1.12e-06,1.12e-06,1.11e-06,1.12e-06,287882.0
205,1507654800000,1.11e-06,1.12e-06,1.11e-06,1.11e-06,569507.0
