,ts,open,high,low,close,volume
0,1506916800000,2.7e-05,4e-05,2.7e-05,2.975e-05,14486295.0
1,1506920400000,2.975e-05,2.99e-05,2.71e-05,2.96e-05,3027910.0
2,1506924000000,2.94e-05,3.22e-05,2.89e-05,2.921e-05,5150540.0
3,1506927600000,2.922e-05,3.06e-05,2.76e-05,2.8e-05,2557674.0
4,1506931200000,2.85e-05,2.999e-05,2.722e-05,2.76e-05,1551145.0
5,1506934800000,2.722e-05,2.854e-05,2.7e-05,2.712e-05,1644080.0
6,1506938400000,2.736e-05,2.761e-05,2.599e-05,2.713e-05,1628922.0
7,1506942000000,2.621e-05,2.781e-05,2.599e-05,2.599e-05,2304351.0
8,1506945600000,2.649e-05,2.649e-05,2.418e-05,2.428e-05,979211.0
9,1506949200000,2.451e-05,2.51e-05,2.393e-05,2.488e-05,1592962.0
10,1506952800000,2.466e-05,2.59e-05,2.466e-05,2.5e-05,2010756.0
11,1506956400000,2.503e-05,2.57e-05,2.466e-05,2.504e-05,2126491.0
12,1506960000000,2.505e-05,2.7e-05,2.492e-05,2.492e-05,1142999.0
13,1506963600000,2.492e-05,2.559e-05,2.428e-05,2.5e-05,811865.0
14,1506967200000,2.589e-05,2.589e-05,2.425e-05,2.425e-05,696408.0
15,1506970800000,2.427e-05,2.5e-05,2.421e-05,2.422e-05,135910.0
16,1506974400000,2.422e-05,2.5e-05,2.39e-05,2.39e-05,273834.0
17,1506978000000,2.499e-05,2.499e-05,2.408e-05,2.408e-05,70281.0
18,1506981600000,2.408e-05,2.436e-05,2.4e-05,2.4e-05,481346.0
19,1506985200000,2.402e-05,2.497e-05,2.39e-05,2.497e-05,1101994.0
20,1506988800000,2.498e-05,2.498e-05,2.3e-05,2.3e-05,718510.0
21,1506992400000,2.311e-05,2.398e-05,2.271e-05,2.398e-05,493482.0
22,1506996000000,2.398e-05,2.459e-05,2.349e-05,2.349e-05,146121.0
23,1506999600000,2.351e-05,2.429e-05,2.3e-05,2.429e-05,401871.0
24,1507003200000,2.4e-05,2.4e-05,2.3e-05,2.384e-05,164901.0
