,ts,open,high,low,close,volume
0,1511330400000,21.0,26.596,21.0,24.41,11.442
1,1511334000000,24.41,25.096,24.41,25.096,7.0
2,1511337600000,26.0,26.0,24.208,24.208,45.06
3,1511341200000,26.499,27.973,24.2,24.2,120.332
4,1511344800000,23.382,25.0,23.382,24.0,33.551
5,1511348400000,24.999,24.999,21.57,24.251,78.656
6,1511352000000,22.792,23.086,22.792,23.086,21.913
7,1511355600000,22.775,22.775,22.775,22.775,11.0
8,1511359200000,22.775,22.785,20.325,22.7,26.908
9,1511362800000,22.785,23.087,22.785,23.086,44.077
10,1511366400000,23.086,23.086,23.086,23.086,0.0
11,1511370000000,23.086,23.086,23.086,23.086,0.0
12,1511373600000,23.086,23.086,23.086,23.086,0.0
13,1511377200000,23.086,23.086,23.086,23.086,0.0
14,1511380800000,23.086,23.086,23.086,23.086,0.0
15,1511384400000,23.086,23.086,23.086,23.086,0.297
16,1511388000000,23.087,24.314,23.087,24.313,17.337
17,1511391600000,24.313,26.35,24.313,26.35,28.685
18,1511395200000,26.35,26.35,26.35,26.35,0.0
19,1511398800000,26.349,26.35,26.349,26.35,19.174
20,1511402400000,23.956,23.957,23.956,23.957,0.247
21,1511406000000,25.398,25.399,25.398,25.399,2.5
22,1511409600000,22.783,22.783,22.769,22.769,6.72
23,1511413200000,22.769,22.769,22.769,22.769,0.0
24,1511416800000,25.105,25.105,25.105,25.105,1.589
25,1511420400000,24.756,24.847,24.756,24.847,15.963
26,1511424000000,22.525,24.0,22.281,24.0,35.324
27,1511427600000,22.284,22.294,22.281,22.294,15.956
28,1511431200000,22.294,22.294,22.294,22.294,0.0
29,1511434800000,24.373,24.373,22.078,22.078,7.217
30,1511438400000,22.087,24.321,22.087,24.321,5.19
31,1511442000000,24.321,24.321,24.321,24.321,0.0
32,1511445600000,24.321,24.321,24.321,24.321,0.0
33,1511449200000,21.294,21.294,21.294,21.294,4.0
34,1511452800000,21.294,21.294,21.294,21.294,7.655
35,1511456400000,21.294,21.294,21.294,21.294,0.0
36,1511460000000,21.294,21.294,21.294,21.294,0.0
37,1511463600000,21.294,21.294,21.294,21.294,0.0
38,1511467200000,23.1,23.103,23.1,23.103,5.329
39,1511470800000,24.857,24.857,24.857,24.857,4.0
40,1511474400000,24.857,24.857,24.857,24.857,0.0
41,1511478000000,24.857,24.857,24.857,24.857,0.0
42,1511481600000,21.892,21.892,21.892,21.892,8.0
43,1511485200000,23.693,23.693,23.693,23.693,0.014
44,1511488800000,21.501,21.501,21.501,21.501,0.014
45,1511492400000,20.674,20.674,20.673,20.673,4.0
46,1511496000000,20.673,20.673,20.673,20.673,0.0
47,1511499600000,21.058,21.058,20.673,20.673,146.07
48,1511503200000,20.673,20.673,20.673,20.673,0.0
49,1511506800000,20.673,20.673,20.673,20.673,0.0
50,1511510400000,23.058,23.058,21.509,21.509,28.078
51,1511514000000,21.897,21.897,19.364,19.364,9.535
52,1511517600000,19.59,19.59,19.364,19.383,4.777
53,1511521200000,19.402,19.85,19.401,19.85,35.423
54,1511524800000,19.691,20.441,19.691,20.441,0.84
55,1511528400000,20.441,20.441,20.441,20.441,0.0
56,1511532000000,20.253,20.337,20.146,20.146,19.019
57,1511535600000,20.146,20.146,20.146,20.146,0.0
58,1511539200000,20.206,20.282,20.106,20.177,49.958
59,1511542800000,20.198,20.346,20.198,20.346,1.1
60,1511546400000,20.335,20.607,20.335,20.607,1.225
61,1511550000000,20.586,21.206,20.586,21.16,0.757
