,ts,open,high,low,close,volume
0,1511330400000,1.0,1.0,0.00461,0.004613,3313.69
1,1511334000000,0.004615,0.004799,0.004613,0.004736,4126.14
2,1511337600000,0.004736,0.005015,0.004658,0.005015,7884.85
3,1511341200000,0.005015,0.005356,0.004302,0.004362,5968.52
4,1511344800000,0.00438,0.00485,0.004365,0.004729,2559.23
5,1511348400000,0.004729,0.004729,0.004301,0.004423,6115.33
6,1511352000000,0.004423,0.004506,0.00395,0.004149,5459.1
7,1511355600000,0.004149,0.004274,0.004001,0.004069,2289.85
8,1511359200000,0.004179,0.004399,0.004023,0.004378,4864.31
9,1511362800000,0.004376,0.004456,0.004293,0.004435,4138.6
10,1511366400000,0.004421,0.004648,0.004123,0.004162,4069.32
11,1511370000000,0.004136,0.004402,0.004136,0.004199,2079.85
12,1511373600000,0.004209,0.004402,0.004184,0.00426,2450.94
13,1511377200000,0.004262,0.004401,0.004254,0.004321,2172.13
14,1511380800000,0.004319,0.004356,0.004229,0.004274,2394.02
15,1511384400000,0.004274,0.00437,0.004229,0.004236,2075.15
16,1511388000000,0.004231,0.005382,0.004231,0.004873,3733.61
17,1511391600000,0.004892,0.0054,0.004771,0.004845,4384.85
18,1511395200000,0.00489,0.005245,0.00485,0.004976,1771.92
19,1511398800000,0.004975,0.004975,0.00461,0.004944,2219.62
20,1511402400000,0.004943,0.004943,0.004809,0.004929,1177.28
21,1511406000000,0.00487,0.004929,0.004599,0.004618,2761.52
22,1511409600000,0.004618,0.004666,0.004374,0.004666,2925.62
23,1511413200000,0.004667,0.004738,0.004401,0.004619,1513.3
24,1511416800000,0.004578,0.004739,0.00445,0.004478,3826.43
25,1511420400000,0.004478,0.004513,0.004331,0.004513,1388.76
26,1511424000000,0.004513,0.004513,0.004301,0.004369,1864.22
27,1511427600000,0.004315,0.004492,0.004256,0.004442,1729.29
28,1511431200000,0.004442,0.004549,0.00433,0.004474,2173.17
29,1511434800000,0.004471,0.004478,0.004203,0.004203,2450.96
30,1511438400000,0.004204,0.004402,0.004202,0.004368,1119.86
31,1511442000000,0.004368,0.004368,0.004201,0.004206,2463.59
32,1511445600000,0.004249,0.004259,0.004162,0.004199,1098.84
33,1511449200000,0.004176,0.004229,0.004051,0.0041,2034.56
34,1511452800000,0.004103,0.004263,0.004058,0.00411,1105.61
35,1511456400000,0.00417,0.004255,0.004101,0.004115,889.28
36,1511460000000,0.004119,0.004329,0.004106,0.004269,2398.58
37,1511463600000,0.004194,0.0045,0.004184,0.004284,3351.24
38,1511467200000,0.004284,0.00461,0.004282,0.004605,4416.93
39,1511470800000,0.004605,0.004788,0.004296,0.004642,1709.09
40,1511474400000,0.004642,0.004643,0.004279,0.004499,2901.88
41,1511478000000,0.004405,0.004499,0.004399,0.004478,689.1
42,1511481600000,0.004477,0.004477,0.004199,0.004331,2387.98
43,1511485200000,0.004331,0.004331,0.0042,0.004323,1994.56
44,1511488800000,0.004323,0.004551,0.0042,0.004222,3272.55
45,1511492400000,0.004223,0.004399,0.004133,0.004352,3616.04
46,1511496000000,0.004349,0.004352,0.004133,0.004275,2965.98
47,1511499600000,0.004275,0.004351,0.004148,0.004254,1521.15
48,1511503200000,0.004254,0.004254,0.004149,0.004214,830.43
49,1511506800000,0.004214,0.004215,0.004134,0.004134,1434.04
50,1511510400000,0.004134,0.004213,0.004042,0.004067,725.19
51,1511514000000,0.00405,0.004143,0.003919,0.004143,1317.09
52,1511517600000,0.004119,0.004183,0.004039,0.004166,4183.91
53,1511521200000,0.004166,0.004183,0.004135,0.004183,3537.77
54,1511524800000,0.004183,0.004275,0.004174,0.004234,3205.36
55,1511528400000,0.004234,0.004234,0.0042,0.004201,3529.7
56,1511532000000,0.004201,0.004222,0.004098,0.004099,2641.76
57,1511535600000,0.0041,0.004226,0.004098,0.004155,956.08
58,1511539200000,0.004155,0.004234,0.004088,0.004234,1424.67
59,1511542800000,0.004203,0.004263,0.004195,0.004232,3194.08
60,1511546400000,0.004235,0.004401,0.004231,0.004236,2139.61
61,1511550000000,0.004236,0.004352,0.004235,0.004346,1455.73
62,1511553600000,0.004346,0.004404,0.004236,0.004399,865.25
63,1511557200000,0.004399,0.004399,0.004235,0.004271,1479.14
64,1511560800000,0.004271,0.004494,0.004236,0.004403,999.4
65,1511564400000,0.004425,0.004623,0.00435,0.004439,1931.1
66,1511568000000,0.004439,0.004479,0.004414,0.004451,2057.05
67,1511571600000,0.004451,0.004518,0.00445,0.004483,4727.26
68,1511575200000,0.004483,0.004815,0.004415,0.004719,4429.14
69,1511578800000,0.004719,0.004741,0.004515,0.004608,2160.45
70,1511582400000,0.004601,0.004847,0.0046,0.004714,2086.51
71,1511586000000,0.004733,0.004792,0.004602,0.004602,2419.6
72,1511589600000,0.004603,0.004672,0.004409,0.004489,3259.83
73,1511593200000,0.004489,0.004548,0.004489,0.00449,3754.94
74,1511596800000,0.00449,0.00449,0.004258,0.004449,975.66
75,1511600400000,0.00445,0.004662,0.004445,0.00451,2952.16
76,1511604000000,0.004559,0.00456,0.004236,0.004258,3196.57
77,1511607600000,0.004258,0.0043,0.00419,0.004278,1335.16
78,1511611200000,0.004256,0.004371,0.0041,0.004239,5894.35
79,1511614800000,0.004248,0.004268,0.00408,0.004202,1355.78
80,1511618400000,0.004201,0.004282,0.004169,0.004226,1730.65
81,1511622000000,0.004226,0.004226,0.004161,0.004198,2134.17
82,1511625600000,0.004185,0.00428,0.00412,0.004136,2328.8
83,1511629200000,0.004153,0.004272,0.004146,0.004155,1173.05
84,1511632800000,0.004155,0.004203,0.004121,0.004162,1184.0
85,1511636400000,0.004162,0.004181,0.004122,0.004123,2420.92
86,1511640000000,0.004123,0.004203,0.004122,0.004174,2322.51
87,1511643600000,0.004174,0.004214,0.004127,0.004214,529.22
88,1511647200000,0.004186,0.004326,0.004186,0.004235,1248.44
89,1511650800000,0.004235,0.004307,0.004172,0.004304,1683.51
90,1511654400000,0.004304,0.004307,0.004192,0.004199,3794.3
91,1511658000000,0.004192,0.004235,0.004152,0.004181,1319.02
92,1511661600000,0.004172,0.004182,0.004078,0.004081,2474.45
93,1511665200000,0.004081,0.0041,0.004034,0.004098,3119.0
94,1511668800000,0.004075,0.004099,0.004003,0.004061,2968.86
95,1511672400000,0.004035,0.00408,0.004003,0.004057,892.06
96,1511676000000,0.004054,0.004057,0.004006,0.004012,488.45
97,1511679600000,0.00403,0.004071,0.003988,0.003988,3376.65
98,1511683200000,0.003989,0.004,0.003901,0.003954,1190.32
99,1511686800000,0.003955,0.004041,0.003865,0.00402,1191.08
100,1511690400000,0.004003,0.004041,0.003983,0.003983,1440.4
101,1511694000000,0.00398,0.004041,0.00398,0.004003,2208.85
102,1511697600000,0.004002,0.004017,0.003938,0.003954,710.39
103,1511701200000,0.003954,0.00404,0.003954,0.004034,956.13
104,1511704800000,0.004034,0.004102,0.003984,0.004049,2110.72
105,1511708400000,0.004015,0.00408,0.003801,0.003939,1117.25
106,1511712000000,0.003939,0.003939,0.003823,0.003823,1450.33
107,1511715600000,0.003823,0.003944,0.003701,0.003944,981.94
108,1511719200000,0.00395,0.003968,0.003392,0.003602,1971.32
109,1511722800000,0.003602,0.003839,0.003602,0.0038,2613.37
110,1511726400000,0.003804,0.003807,0.003653,0.003731,2093.89
111,1511730000000,0.003734,0.003921,0.003734,0.003817,1736.58
112,1511733600000,0.003837,0.003923,0.003816,0.003891,597.55
113,1511737200000,0.003891,0.003923,0.003849,0.00385,1310.27
114,1511740800000,0.003858,0.003863,0.003618,0.003712,2602.21
115,1511744400000,0.003712,0.003712,0.003556,0.003634,1345.28
116,1511748000000,0.003634,0.003676,0.00344,0.003621,4271.28
117,1511751600000,0.003622,0.003753,0.0036,0.003699,1789.66
118,1511755200000,0.003698,0.003798,0.003564,0.003594,4613.02
119,1511758800000,0.003594,0.003595,0.0032,0.003579,4476.86
120,1511762400000,0.00358,0.003603,0.003438,0.003582,2132.82
121,1511766000000,0.003593,0.003659,0.0034,0.003564,5839.71
122,1511769600000,0.003565,0.003953,0.003564,0.003927,3173.98
123,1511773200000,0.003927,0.003928,0.003786,0.003804,1072.01
124,1511776800000,0.003803,0.003812,0.003713,0.003713,1613.1
125,1511780400000,0.003713,0.003894,0.003713,0.003813,2775.31
126,1511784000000,0.003832,0.003834,0.00372,0.003756,1166.13
127,1511787600000,0.003756,0.004049,0.003756,0.004026,1439.84
128,1511791200000,0.00398,0.00407,0.003776,0.003835,1034.47
129,1511794800000,0.003834,0.004017,0.003828,0.003956,2155.61
130,1511798400000,0.003937,0.004029,0.003833,0.004003,2190.95
131,1511802000000,0.003962,0.003962,0.003876,0.003887,810.56
132,1511805600000,0.003923,0.003962,0.00387,0.003922,1089.65
133,1511809200000,0.003961,0.00401,0.003908,0.004008,4169.8
134,1511812800000,0.004008,0.004008,0.00392,0.003964,1639.39
135,1511816400000,0.003963,0.003974,0.003833,0.003884,569.33
136,1511820000000,0.00392,0.004022,0.003871,0.003975,1661.77
137,1511823600000,0.003975,0.003975,0.00388,0.003911,298.95
138,1511827200000,0.003911,0.003911,0.003772,0.003818,1876.24
139,1511830800000,0.003818,0.003818,0.0037,0.003798,1026.38
140,1511834400000,0.003798,0.0038,0.0036,0.003786,910.25
141,1511838000000,0.003755,0.0038,0.003721,0.003738,374.42
142,1511841600000,0.00374,0.003799,0.003662,0.003753,1116.88
143,1511845200000,0.003785,0.003789,0.003659,0.003689,732.11
144,1511848800000,0.003664,0.003688,0.0036,0.003687,857.56
145,1511852400000,0.003686,0.003744,0.003633,0.003648,829.53
146,1511856000000,0.003648,0.0037,0.0036,0.003664,906.29
147,1511859600000,0.003664,0.003687,0.003553,0.00359,1471.01
148,1511863200000,0.003591,0.003728,0.00359,0.003656,784.53
149,1511866800000,0.003671,0.003866,0.003609,0.003866,2245.78
150,1511870400000,0.003899,0.0039,0.00367,0.003689,3162.1
151,1511874000000,0.003689,0.0039,0.003671,0.003815,2834.71
152,1511877600000,0.003821,0.003889,0.003712,0.00384,1897.72
