,ts,open,high,low,close,volume
0,1511330400000,0.99,0.99,0.08159,0.1053,636.93
1,1511334000000,0.108499,0.112574,0.101933,0.101933,531.16
2,1511337600000,0.101419,0.114001,0.101419,0.112574,1045.47
3,1511341200000,0.114,0.126609,0.100045,0.100045,1186.05
4,1511344800000,0.100047,0.108775,0.100045,0.108775,42.63
5,1511348400000,0.108775,0.108775,0.091057,0.103847,420.19
6,1511352000000,0.105735,0.1058,0.091901,0.091901,549.16
7,1511355600000,0.091902,0.09508,0.0915,0.09508,153.86
8,1511359200000,0.092001,0.099955,0.091,0.09738,216.28
9,1511362800000,0.09738,0.100599,0.096,0.100599,114.56
10,1511366400000,0.100599,0.100599,0.094,0.094,83.08
11,1511370000000,0.095,0.101921,0.092504,0.101,120.39
12,1511373600000,0.101,0.101816,0.093076,0.093076,54.35
13,1511377200000,0.095136,0.095136,0.095136,0.095136,5.68
14,1511380800000,0.099544,0.099569,0.094307,0.0945,52.31
15,1511384400000,0.096857,0.103747,0.092016,0.092016,158.31
16,1511388000000,0.0937,0.116626,0.093699,0.116626,449.21
17,1511391600000,0.11675,0.120868,0.102013,0.109998,543.72
18,1511395200000,0.105146,0.109999,0.1045,0.1045,66.91
19,1511398800000,0.1045,0.106588,0.100868,0.105396,107.77
20,1511402400000,0.105341,0.107,0.10508,0.107,70.77
21,1511406000000,0.103954,0.103958,0.09999,0.100712,163.65
22,1511409600000,0.09999,0.1,0.096208,0.1,164.14
23,1511413200000,0.099348,0.099781,0.099278,0.099781,159.81
24,1511416800000,0.095899,0.099986,0.093912,0.094999,59.82
25,1511420400000,0.094999,0.101963,0.094999,0.100408,42.6
26,1511424000000,0.100124,0.100125,0.09246,0.09246,10.14
27,1511427600000,0.090501,0.090501,0.086,0.087075,136.0
28,1511431200000,0.08708,0.08708,0.087076,0.087076,80.91
29,1511434800000,0.090766,0.090767,0.086,0.088568,43.56
30,1511438400000,0.0855,0.087537,0.0855,0.08753,160.14
31,1511442000000,0.08753,0.08984,0.081316,0.081316,252.66
32,1511445600000,0.086,0.086,0.082001,0.082001,9.92
33,1511449200000,0.081343,0.081343,0.079921,0.081067,82.92
34,1511452800000,0.081067,0.081112,0.081067,0.081112,32.07
35,1511456400000,0.084292,0.084292,0.081112,0.081112,66.68
36,1511460000000,0.080184,0.081112,0.080184,0.081112,67.29
37,1511463600000,0.081113,0.08493,0.075599,0.084711,55.06
38,1511467200000,0.084711,0.089001,0.084711,0.085165,1060.13
39,1511470800000,0.087,0.095949,0.086998,0.095949,218.87
40,1511474400000,0.095949,0.095949,0.095949,0.095949,0.0
41,1511478000000,0.084691,0.084691,0.08469,0.08469,40.55
42,1511481600000,0.083969,0.083972,0.083969,0.083972,5.6
43,1511485200000,0.0839,0.0839,0.083199,0.0833,129.41
44,1511488800000,0.084199,0.084199,0.083294,0.083294,19.54
