,ts,open,high,low,close,volume
0,1509958800000,0.003,0.1,0.003,0.0648,158702.78
1,1509962400000,0.06221,0.06479,0.05115,0.05599,203734.08
2,1509966000000,0.05599,0.06555,0.05599,0.0585,105073.26
3,1509969600000,0.05853,0.06038,0.0585,0.0595,47804.91
4,1509973200000,0.0595,0.0595,0.055,0.055,48190.22
5,1509976800000,0.05439,0.0633,0.05001,0.0633,62199.51
6,1509980400000,0.06326,0.0633,0.05666,0.05708,106718.49
7,1509984000000,0.05868,0.06159,0.0561,0.0561,47329.96
8,1509987600000,0.06149,0.06149,0.05641,0.05692,66512.8
9,1509991200000,0.05692,0.05692,0.05692,0.05692,0.0
10,1509994800000,0.05692,0.059,0.05692,0.059,16852.09
11,1509998400000,0.059,0.0603,0.05571,0.058,4541.68
12,1510002000000,0.058,0.059,0.05571,0.05571,15829.83
13,1510005600000,0.0585,0.0603,0.0585,0.0603,6442.81
14,1510009200000,0.0603,0.0603,0.05711,0.05711,8799.97
15,1510012800000,0.06009,0.06299,0.06009,0.06299,57298.87
16,1510016400000,0.06299,0.06371,0.05815,0.063,194252.88
17,1510020000000,0.063,0.063,0.059,0.0625,21444.81
18,1510023600000,0.06299,0.069,0.06299,0.0635,104881.87
19,1510027200000,0.06489,0.0739,0.06489,0.069,226492.4
20,1510030800000,0.06701,0.07149,0.0664,0.0664,23140.23
21,1510034400000,0.06643,0.06643,0.066,0.06631,38519.02
22,1510038000000,0.06631,0.06849,0.0602,0.068,153074.69
23,1510041600000,0.06799,0.06799,0.06101,0.06101,179.71
24,1510045200000,0.06694,0.06694,0.059,0.059,29875.72
25,1510048800000,0.059,0.059,0.055,0.058,74885.09
26,1510052400000,0.0585,0.0619,0.05762,0.0584,176811.18
27,1510056000000,0.06,0.06,0.05612,0.05612,4664547.28
28,1510059600000,0.05699,0.05699,0.05508,0.05525,2924882.87
29,1510063200000,0.0553,0.056,0.053,0.053,4509948.76
30,1510066800000,0.0525,0.05297,0.0492,0.05297,4389022.54
31,1510070400000,0.053,0.0589,0.052,0.0545,8939606.79
32,1510074000000,0.05518,0.05518,0.05031,0.05185,3513533.81
33,1510077600000,0.05169,0.05186,0.05097,0.05185,34793.92
34,1510081200000,0.0515,0.0515,0.05096,0.0515,16773.47
35,1510084800000,0.0515,0.0515,0.05096,0.05096,66914.58
36,1510088400000,0.051,0.0517,0.05,0.05102,160244.63
37,1510092000000,0.05113,0.05116,0.05043,0.05101,55143.43
38,1510095600000,0.05103,0.05103,0.04849,0.0487,109193.58
39,1510099200000,0.04871,0.04887,0.047,0.04755,34794.88
40,1510102800000,0.046,0.046,0.0411,0.04317,7437388.2
41,1510106400000,0.04361,0.0445,0.04115,0.0445,426334.03
42,1510110000000,0.0459,0.0491,0.04401,0.04497,448059.83
43,1510113600000,0.04688,0.04688,0.0426,0.04426,346539.42
44,1510117200000,0.04431,0.04666,0.0441,0.04666,528232.62
45,1510120800000,0.04667,0.04681,0.04332,0.04373,304585.51
46,1510124400000,0.045,0.04597,0.04344,0.04364,384221.86
47,1510128000000,0.04361,0.044,0.04288,0.044,663941.82
48,1510131600000,0.044,0.044,0.04094,0.04094,209135.86
49,1510135200000,0.04069,0.04163,0.03811,0.04151,102006.56
50,1510138800000,0.04146,0.043,0.0386,0.042,14491.38
51,1510142400000,0.04101,0.04229,0.03921,0.04154,132738.01
52,1510146000000,0.04119,0.04142,0.04079,0.04081,366248.95
53,1510149600000,0.04005,0.04116,0.03894,0.03947,311316.19
54,1510153200000,0.03947,0.04009,0.03603,0.03881,470410.14
55,1510156800000,0.03841,0.03841,0.03519,0.03519,296589.34
56,1510160400000,0.03519,0.03607,0.03365,0.0341,254386.06
