,ts,open,high,low,close,volume
0,1504411200000,1.5e-05,2e-05,7e-06,1.63e-05,22690366.0
1,1504414800000,1.63e-05,1.665e-05,1.104e-05,1.299e-05,8897197.0
2,1504418400000,1.299e-05,1.497e-05,1.299e-05,1.364e-05,8096933.0
3,1504422000000,1.364e-05,1.4e-05,1.257e-05,1.299e-05,3828344.0
4,1504425600000,1.335e-05,1.34e-05,1.02e-05,1.158e-05,3860755.0
5,1504429200000,1.12e-05,1.405e-05,1.12e-05,1.32e-05,2541054.0
6,1504432800000,1.319e-05,1.479e-05,1.25e-05,1.45e-05,1697898.0
7,1504436400000,1.45e-05,1.46e-05,1.25e-05,1.25e-05,1928046.0
8,1504440000000,1.25e-05,1.3e-05,1.09e-05,1.299e-05,1575471.0
9,1504443600000,1.299e-05,1.34e-05,1.098e-05,1.2e-05,2376180.0
10,1504447200000,1.199e-05,1.253e-05,1.1e-05,1.14e-05,1504866.0
11,1504450800000,1.143e-05,1.255e-05,1.1e-05,1.151e-05,2512502.0
12,1504454400000,1.15e-05,1.386e-05,1.15e-05,1.368e-05,1508481.0
13,1504458000000,1.37e-05,1.6e-05,1.352e-05,1.55e-05,3072127.0
14,1504461600000,1.545e-05,1.77e-05,1.362e-05,1.77e-05,1646727.0
15,1504465200000,1.779e-05,1.99e-05,1.755e-05,1.939e-05,6572992.0
16,1504468800000,1.939e-05,1.949e-05,1.702e-05,1.821e-05,1263273.0
17,1504472400000,1.821e-05,1.93e-05,1.765e-05,1.925e-05,1014204.0
18,1504476000000,1.924e-05,1.924e-05,1.611e-05,1.733e-05,1276865.0
19,1504479600000,1.733e-05,1.733e-05,1.502e-05,1.649e-05,1924316.0
20,1504483200000,1.645e-05,1.665e-05,1.517e-05,1.518e-05,1628993.0
21,1504486800000,1.53e-05,1.6e-05,1.517e-05,1.518e-05,969140.0
22,1504490400000,1.518e-05,1.723e-05,1.515e-05,1.679e-05,2515275.0
23,1504494000000,1.679e-05,1.78e-05,1.534e-05,1.551e-05,1982070.0
24,1504497600000,1.617e-05,1.675e-05,1.41e-05,1.411e-05,2751327.0
25,1504501200000,1.42e-05,1.52e-05,1.25e-05,1.35e-05,2621372.0
26,1504504800000,1.34e-05,1.45e-05,1.31e-05,1.35e-05,988079.0
27,1504508400000,1.398e-05,1.4e-05,6e-06,6.99e-06,7767530.0
28,1504512000000,6.66e-06,9.98e-06,6e-06,9.97e-06,3210615.0
29,1504515600000,9.87e-06,1.09e-05,8.55e-06,9.55e-06,2460915.0
30,1504519200000,9.6e-06,9.6e-06,7e-06,7e-06,2133744.0
31,1504522800000,7.11e-06,7.5e-06,6e-06,6.49e-06,3519073.0
32,1504526400000,6.49e-06,7.47e-06,5.13e-06,7.47e-06,2290748.0
33,1504530000000,7.47e-06,8.5e-06,6.81e-06,7.86e-06,1777377.0
34,1504533600000,7.86e-06,8.8e-06,6.78e-06,7.43e-06,2220495.0
35,1504537200000,7.43e-06,8.47e-06,7.05e-06,8.29e-06,582215.0
36,1504540800000,8.29e-06,9.5e-06,7.36e-06,7.4e-06,1103901.0
37,1504544400000,8.2e-06,8.75e-06,7.05e-06,7.05e-06,579957.0
38,1504548000000,7.16e-06,9e-06,7.16e-06,8.9e-06,346989.0
39,1504551600000,8.9e-06,9.1e-06,8e-06,8.74e-06,206689.0
40,1504555200000,8.74e-06,9.62e-06,8.35e-06,9.08e-06,843049.0
41,1504558800000,9.2e-06,9.9e-06,9e-06,9.79e-06,996046.0
42,1504562400000,9.8e-06,9.8e-06,8.6e-06,9.52e-06,706663.0
43,1504566000000,9.52e-06,9.64e-06,8.31e-06,8.31e-06,487281.0
44,1504569600000,8.6e-06,9.09e-06,7.5e-06,7.5e-06,442020.0
45,1504573200000,7.52e-06,8.07e-06,5.61e-06,5.85e-06,2348137.0
46,1504576800000,5.93e-06,8e-06,5.93e-06,6.26e-06,1179452.0
47,1504580400000,6.3e-06,6.9e-06,5.83e-06,6.74e-06,1028970.0
48,1504584000000,6.14e-06,7.5e-06,6.12e-06,6.45e-06,1135805.0
49,1504587600000,7e-06,7e-06,6e-06,6.71e-06,979553.0
50,1504591200000,6.61e-06,6.95e-06,6.13e-06,6.89e-06,676251.0
51,1504594800000,6.81e-06,1.1e-05,6.2e-06,1.1e-05,2447934.0
52,1504598400000,1.1e-05,1.172e-05,8.86e-06,8.86e-06,2588386.0
53,1504602000000,8.86e-06,9e-06,8.4e-06,8.43e-06,321361.0
54,1504605600000,8.7e-06,9.74e-06,8.7e-06,9.58e-06,1312759.0
55,1504609200000,9.6e-06,9.79e-06,8.87e-06,9.09e-06,642606.0
56,1504612800000,9e-06,1.093e-05,7.5e-06,8.72e-06,3716741.0
57,1504616400000,9.24e-06,9.95e-06,8.04e-06,8.51e-06,1400244.0
58,1504620000000,8.52e-06,8.94e-06,7.2e-06,7.32e-06,1492614.0
59,1504623600000,7.32e-06,8e-06,7.32e-06,7.5e-06,903313.0
60,1504627200000,7.5e-06,7.89e-06,7.1e-06,7.3e-06,716729.0
61,1504630800000,7.31e-06,7.86e-06,7.31e-06,7.4e-06,484108.0
62,1504634400000,7.49e-06,7.49e-06,7.18e-06,7.35e-06,154587.0
63,1504638000000,7.8e-06,7.8e-06,7e-06,7.44e-06,318147.0
64,1504641600000,7.43e-06,7.43e-06,6.65e-06,7.08e-06,254598.0
65,1504645200000,7.08e-06,7.15e-06,6.61e-06,6.8e-06,470075.0
66,1504648800000,6.82e-06,7.15e-06,6.82e-06,7.09e-06,274702.0
67,1504652400000,7.3e-06,7.3e-06,7.16e-06,7.16e-06,270486.0
68,1504656000000,7.16e-06,7.29e-06,6.5e-06,6.5e-06,1516079.0
69,1504659600000,6.5e-06,6.67e-06,6.5e-06,6.6e-06,625267.0
70,1504663200000,6.6e-06,7.3e-06,6.6e-06,6.92e-06,1069810.0
71,1504666800000,6.93e-06,7.26e-06,6.78e-06,7.01e-06,574334.0
72,1504670400000,7.13e-06,7.13e-06,6.2e-06,6.3e-06,1327441.0
73,1504674000000,6.5e-06,6.75e-06,6e-06,6.08e-06,2023313.0
74,1504677600000,6.12e-06,6.69e-06,5.2e-06,5.27e-06,4564404.0
75,1504681200000,5.5e-06,6.28e-06,5.17e-06,5.45e-06,1702797.0
76,1504684800000,5.53e-06,6.29e-06,5.5e-06,6.05e-06,1259910.0
77,1504688400000,6.05e-06,7.5e-06,5.32e-06,7.49e-06,6264938.0
78,1504692000000,7.1e-06,7.1e-06,6.03e-06,6.3e-06,1351258.0
79,1504695600000,6.29e-06,6.32e-06,5e-06,5.04e-06,5552533.0
80,1504699200000,5.04e-06,5.04e-06,3.8e-06,3.82e-06,5304139.0
81,1504702800000,3.82e-06,4.35e-06,3.8e-06,4.02e-06,4694250.0
82,1504706400000,4.09e-06,4.7e-06,4e-06,4.7e-06,3284657.0
83,1504710000000,4.89e-06,5.19e-06,4.2e-06,4.81e-06,7185033.0
84,1504713600001,4.81e-06,4.81e-06,4.81e-06,4.81e-06,0.0
85,1504717200001,4.81e-06,4.81e-06,4.81e-06,4.81e-06,0.0
86,1504720800001,4.81e-06,4.81e-06,4.81e-06,4.81e-06,0.0
87,1504724400001,4.81e-06,4.81e-06,4.81e-06,4.81e-06,0.0
