,ts,open,high,low,close,volume
0,1510628400000,0.03189,0.042,0.03189,0.042,3.058
1,1510632000000,0.0422,0.050001,0.04001,0.042101,277.338
2,1510635600000,0.042101,0.043,0.040594,0.041103,437.787
3,1510639200000,0.040595,0.041555,0.040033,0.04048,323.945
4,1510642800000,0.04048,0.041555,0.040001,0.040678,246.114
5,1510646400000,0.040678,0.041499,0.040101,0.041156,367.085
6,1510650000000,0.041156,0.041399,0.040691,0.040737,232.006
7,1510653600000,0.040802,0.041274,0.04012,0.040702,214.241
8,1510657200000,0.040702,0.041493,0.040449,0.041493,225.413
9,1510660800000,0.04175,0.042008,0.041056,0.041903,219.467
10,1510664400000,0.041897,0.042008,0.041056,0.04177,212.82
11,1510668000000,0.04177,0.042007,0.040974,0.041928,247.032
12,1510671600000,0.041928,0.041929,0.040977,0.041428,236.46
13,1510675200000,0.041428,0.042354,0.041002,0.041919,250.011
14,1510678800000,0.041919,0.041919,0.04098,0.04188,175.763
15,1510682400000,0.04188,0.041918,0.0411,0.041899,199.622
16,1510686000000,0.041899,0.041916,0.040977,0.041498,237.752
17,1510689600000,0.041498,0.041923,0.040581,0.041441,203.335
18,1510693200000,0.041887,0.041888,0.04144,0.04155,221.556
19,1510696800000,0.04155,0.042299,0.041251,0.042289,249.154
20,1510700400000,0.041999,0.042289,0.040969,0.041535,250.396
21,1510704000000,0.040967,0.041094,0.04012,0.041093,190.871
22,1510707600000,0.041094,0.041094,0.04012,0.04012,83.244
23,1510711200000,0.04012,0.040679,0.039823,0.040243,56.828
24,1510714800000,0.040243,0.040261,0.039673,0.039999,226.099
25,1510718400000,0.039999,0.040087,0.039886,0.040087,180.303
26,1510722000000,0.040482,0.040499,0.03959,0.040024,128.104
27,1510725600000,0.040024,0.040497,0.039506,0.039857,159.819
28,1510729200000,0.039857,0.040499,0.039501,0.039502,206.721
29,1510732800000,0.039502,0.040091,0.03946,0.039461,285.368
30,1510736400000,0.039461,0.04009,0.039461,0.039859,212.978
31,1510740000000,0.039859,0.040998,0.039461,0.040321,196.351
32,1510743600000,0.040321,0.04071,0.039161,0.039165,224.026
33,1510747200000,0.039162,0.039927,0.038976,0.038976,208.403
34,1510750800000,0.038976,0.039466,0.038577,0.039397,135.584
35,1510754400000,0.039397,0.041408,0.039397,0.039842,257.415
36,1510758000000,0.040672,0.040672,0.038578,0.038587,232.998
37,1510761600000,0.038586,0.039297,0.038,0.039184,166.397
38,1510765200000,0.039233,0.039233,0.038566,0.039202,133.848
39,1510768800000,0.038566,0.040003,0.038566,0.039806,158.074
40,1510772400000,0.039805,0.039805,0.038185,0.038634,229.059
41,1510776000000,0.038634,0.038635,0.037769,0.037769,67.224
42,1510779600000,0.03859,0.038591,0.038501,0.03854,61.745
43,1510783200000,0.03854,0.0395,0.038501,0.0395,122.283
44,1510786800000,0.040004,0.040281,0.039489,0.039853,107.209
45,1510790400000,0.039853,0.040437,0.039094,0.040033,53.529
46,1510794000000,0.040033,0.04118,0.040033,0.040604,282.331
47,1510797600000,0.040607,0.0435,0.040574,0.041641,351.341
48,1510801200000,0.041645,0.043497,0.041116,0.041708,315.695
49,1510804800000,0.04153,0.044747,0.04153,0.044399,548.709
50,1510808400000,0.044112,0.044748,0.043103,0.043202,597.981
51,1510812000000,0.043706,0.043706,0.040576,0.040576,181.306
52,1510815600000,0.041243,0.042697,0.0401,0.0401,212.476
53,1510819200000,0.040824,0.041,0.040011,0.040011,122.382
54,1510822800000,0.040512,0.041086,0.03931,0.03931,141.588
55,1510826400000,0.039001,0.039205,0.038151,0.039205,60.838
56,1510830000000,0.039205,0.040658,0.038211,0.03861,238.618
57,1510833600000,0.03861,0.04101,0.037768,0.04098,202.737
58,1510837200000,0.040451,0.040999,0.039178,0.039707,158.446
59,1510840800000,0.040254,0.040255,0.038708,0.039136,155.564
60,1510844400000,0.039654,0.04153,0.039526,0.04072,167.386
61,1510848000000,0.040724,0.041458,0.040446,0.040451,178.944
62,1510851600000,0.040516,0.041247,0.039115,0.039115,191.507
63,1510855200000,0.039115,0.03951,0.03911,0.039111,169.514
64,1510858800000,0.038801,0.039661,0.038801,0.039201,96.408
65,1510862400000,0.039201,0.04,0.038801,0.038801,243.064
66,1510866000000,0.038801,0.0391,0.03706,0.037063,214.684
67,1510869600000,0.037063,0.039748,0.037002,0.039202,110.563
68,1510873200000,0.038645,0.038646,0.037375,0.037417,80.72
69,1510876800000,0.037006,0.037416,0.036202,0.036765,196.957
70,1510880400000,0.036699,0.036812,0.036202,0.036442,138.476
71,1510884000000,0.036203,0.036874,0.036203,0.036858,213.125
