,ts,open,high,low,close,volume
0,1510628400000,0.67279,0.67279,0.67279,0.67279,0.63
1,1510632000000,1.08,1.08,0.85001,0.92584,30.654
2,1510635600000,0.9252,0.9252,0.85009,0.85009,70.786
3,1510639200000,0.8499,0.87785,0.8122,0.8122,28.688
4,1510642800000,0.8122,0.81251,0.8122,0.8125,28.97
5,1510646400000,0.8125,0.822,0.79996,0.79996,75.834
6,1510650000000,0.81986,0.81986,0.81986,0.81986,0.05
7,1510653600000,0.79995,0.81967,0.78105,0.78105,6.683
8,1510657200000,0.78111,0.83,0.78111,0.83,40.283
9,1510660800000,0.825,0.825,0.825,0.825,1.32
10,1510664400000,0.82501,0.82503,0.825,0.825,19.711
11,1510668000000,0.825,0.825,0.825,0.825,0.0
12,1510671600000,0.825,0.825,0.825,0.825,5.136
13,1510675200000,0.825,0.83738,0.825,0.83738,16.008
14,1510678800000,0.83738,0.83738,0.8373,0.8373,0.637
15,1510682400000,0.83729,0.84988,0.8112,0.84988,6.448
16,1510686000000,0.84988,0.84988,0.84988,0.84988,0.0
17,1510689600000,0.84988,0.84988,0.84988,0.84988,0.581
18,1510693200000,0.84988,0.84988,0.84988,0.84988,0.0
19,1510696800000,0.84985,0.84988,0.84985,0.84988,3.556
20,1510700400000,0.81128,0.81128,0.8112,0.8112,10.61
21,1510704000000,0.8112,0.8112,0.8112,0.8112,3.611
22,1510707600000,0.8112,0.82,0.8112,0.82,5.358
23,1510711200000,0.805,0.805,0.805,0.805,25.0
24,1510714800000,0.84988,0.84988,0.84988,0.84988,1.01
25,1510718400000,0.84299,0.843,0.84299,0.843,2.411
26,1510722000000,0.81001,0.81001,0.80703,0.80703,5.59
27,1510725600000,0.80703,0.83999,0.805,0.805,3.281
28,1510729200000,0.805,0.805,0.805,0.805,0.999
29,1510732800000,0.80501,0.81,0.805,0.805,0.409
30,1510736400000,0.805,0.805,0.805,0.805,0.0
31,1510740000000,0.81,0.8299,0.81,0.82988,10.016
32,1510743600000,0.82987,0.83,0.8298,0.83,6.682
33,1510747200000,0.83,0.84999,0.83,0.84999,18.323
34,1510750800000,0.848,0.848,0.848,0.848,0.124
35,1510754400000,0.84,0.8969,0.84,0.8969,22.526
36,1510758000000,0.8969,0.8969,0.83003,0.83003,2.794
37,1510761600000,0.83052,0.865,0.83052,0.83118,5.553
38,1510765200000,0.83118,0.83118,0.83118,0.83118,0.0
39,1510768800000,0.83118,0.83118,0.83118,0.83118,0.0
40,1510772400000,0.83118,0.83118,0.83118,0.83118,0.0
41,1510776000000,0.83118,0.83118,0.83118,0.83118,0.0
42,1510779600000,0.89498,0.89498,0.89498,0.89498,0.564
43,1510783200000,0.88267,0.88268,0.88099,0.88099,3.132
44,1510786800000,0.88094,0.88099,0.88094,0.88099,98.454
45,1510790400000,0.84444,0.88268,0.84444,0.85755,5.59
46,1510794000000,0.85755,0.85755,0.85755,0.85755,0.0
47,1510797600000,0.88267,0.94997,0.86021,0.94997,45.277
48,1510801200000,0.94996,0.95,0.915,0.915,55.954
49,1510804800000,0.92,0.9999,0.92,0.9999,8.751
50,1510808400000,0.968,0.96801,0.927,0.96801,61.269
51,1510812000000,0.96,0.96,0.89014,0.89014,5.312
52,1510815600000,0.90101,0.90101,0.89,0.892,23.483
53,1510819200000,0.94,0.94,0.94,0.94,1.391
54,1510822800000,0.89605,0.89826,0.89501,0.89826,12.847
55,1510826400000,0.89826,0.91906,0.895,0.895,19.267
56,1510830000000,0.93117,0.93221,0.8633,0.8633,53.868
57,1510833600000,0.86401,0.91501,0.86332,0.91501,35.143
58,1510837200000,0.90002,0.93215,0.9,0.9,16.379
59,1510840800000,0.9,0.9,0.859,0.85905,10.667
60,1510844400000,0.91,0.94,0.90999,0.94,32.414
61,1510848000000,0.94,0.94,0.94,0.94,0.0
62,1510851600000,0.91,0.91,0.91,0.91,0.346
63,1510855200000,0.9199,0.92,0.9199,0.92,1.954
64,1510858800000,0.92,0.92,0.92,0.92,0.0
65,1510862400000,0.92005,0.92075,0.92005,0.92075,0.459
66,1510866000000,0.91,0.91,0.91,0.91,1.81
67,1510869600000,0.93,0.94,0.89611,0.9396,37.717
68,1510873200000,0.88401,0.88401,0.87912,0.87912,0.033
69,1510876800000,0.87911,0.87911,0.8791,0.8791,1.087
70,1510880400000,0.8791,0.8791,0.864,0.864,3.765
71,1510884000000,0.864,0.864,0.861,0.861,2.284
72,1510887600000,0.861,0.861,0.85103,0.85103,45.817
73,1510891200000,0.85103,0.85103,0.85103,0.85103,0.0
74,1510894800000,0.87,0.911,0.86999,0.89,22.66
75,1510898400000,0.89,0.89,0.89,0.89,0.0
76,1510902000000,0.85467,0.85499,0.85467,0.85467,3.183
77,1510905600000,0.85467,0.85467,0.85467,0.85467,0.0
78,1510909200000,0.85467,0.85467,0.85467,0.85467,0.0
79,1510912800000,0.86226,0.90685,0.86226,0.90685,5.143
80,1510916400000,0.86211,0.86236,0.8621,0.86236,2.714
81,1510920000000,0.86236,0.86236,0.86236,0.86236,0.0
82,1510923600000,0.89286,0.899,0.86401,0.86401,5.485
83,1510927200000,0.86409,0.87582,0.8588,0.87582,27.204
84,1510930800000,0.86026,0.88,0.86026,0.88,0.884
85,1510934400000,0.88,0.88,0.88,0.88,3.847
86,1510938000000,0.88999,0.88999,0.88999,0.88999,1.1
87,1510941600000,0.88999,0.88999,0.8588,0.8588,7.693
88,1510945200000,0.89896,0.899,0.89896,0.899,1.7
89,1510948800000,0.899,0.899,0.899,0.899,0.055
90,1510952400000,0.899,0.899,0.899,0.899,0.0
91,1510956000000,0.87323,0.87323,0.87323,0.87323,0.193
92,1510959600000,0.87322,0.87323,0.87322,0.87323,6.617
93,1510963200000,0.87365,0.87365,0.87365,0.87365,1.5
94,1510966800000,0.87376,0.87376,0.87365,0.87365,12.576
95,1510970400000,0.87363,0.87364,0.87363,0.87364,31.36
96,1510974000000,0.89899,0.89987,0.86124,0.86124,14.01
97,1510977600000,0.85519,0.85682,0.85494,0.85601,30.905
98,1510981200000,0.88,0.897,0.85844,0.85844,90.031
99,1510984800000,0.85924,0.85924,0.85897,0.85897,0.349
100,1510988400000,0.88989,0.89,0.88989,0.8899,21.536
101,1510992000000,0.8899,0.89969,0.8899,0.89969,39.329
102,1510995600000,0.89969,0.89988,0.89969,0.89988,6.589
103,1510999200000,0.88115,0.88115,0.8673,0.8673,1.11
104,1511002800000,0.89087,0.89088,0.88888,0.88888,63.521
105,1511006400000,0.88888,0.88888,0.87888,0.87888,22.443
106,1511010000000,0.87888,0.87888,0.87888,0.87888,23.828
107,1511013600000,0.87888,0.87888,0.87719,0.87719,9.633
108,1511017200000,0.87718,0.87718,0.87714,0.87714,2.549
109,1511020800000,0.87714,0.87714,0.87714,0.87714,0.434
110,1511024400000,0.87714,0.89988,0.87714,0.89988,6.098
111,1511028000000,0.89088,0.90988,0.89088,0.90988,3.685
112,1511031600000,0.90988,0.90988,0.90988,0.90988,2.793
113,1511035200000,0.90987,0.90987,0.90987,0.90987,0.063
114,1511038800000,0.88601,0.88601,0.86526,0.86526,0.187
115,1511042400000,0.87629,0.87629,0.85855,0.85855,17.603
116,1511046000000,0.86,0.86,0.85687,0.86,3.165
117,1511049600000,0.85687,0.85687,0.851,0.851,7.232
118,1511053200000,0.851,0.855,0.851,0.855,1.599
119,1511056800000,0.855,0.86,0.855,0.86,14.108
120,1511060400000,0.86,0.86,0.851,0.851,1.704
121,1511064000000,0.851,0.87698,0.851,0.85951,13.221
122,1511067600000,0.851,0.85101,0.8311,0.851,26.396
123,1511071200000,0.83148,0.83406,0.81324,0.83406,5.222
124,1511074800000,0.81811,0.81811,0.76923,0.8174,11.694
125,1511078400000,0.8174,0.8174,0.8174,0.8174,3.412
126,1511082000000,0.8174,0.8174,0.8174,0.8174,0.0
127,1511085600000,0.8174,0.8174,0.8174,0.8174,0.709
128,1511089200000,0.8174,0.8174,0.8174,0.8174,0.0
129,1511092800000,0.80699,0.83406,0.80124,0.82251,11.191
130,1511096400000,0.83999,0.83999,0.82302,0.83999,1.109
131,1511100000000,0.83999,0.83999,0.83999,0.83999,4.9
132,1511103600000,0.83999,0.83999,0.83999,0.83999,0.0
133,1511107200000,0.84249,0.86498,0.83999,0.83999,17.808
134,1511110800000,0.83999,0.85094,0.83999,0.85094,1.818
135,1511114400000,0.85094,0.85094,0.85094,0.85094,1.0
136,1511118000000,0.85009,0.85009,0.85009,0.85009,0.61
137,1511121600000,0.85009,0.85009,0.85009,0.85009,0.0
138,1511125200000,0.83928,0.83928,0.83928,0.83928,0.012
139,1511128800000,0.83928,0.85094,0.83928,0.83928,0.877
140,1511132400000,0.8399,0.8399,0.8399,0.8399,2.25
141,1511136000000,0.8399,0.8399,0.8399,0.8399,0.0
142,1511139600000,0.84843,0.85953,0.84843,0.85953,0.242
143,1511143200000,0.83928,0.85094,0.83928,0.83928,1.211
144,1511146800000,0.83098,0.85945,0.8225,0.83072,7.46
145,1511150400000,0.83072,0.83072,0.83072,0.83072,0.95
146,1511154000000,0.83072,0.83072,0.83072,0.83072,0.0
147,1511157600000,0.83135,0.83135,0.83134,0.83135,44.984
148,1511161200000,0.8313,0.83135,0.8313,0.83135,0.506
149,1511164800000,0.83135,0.83135,0.82312,0.83135,38.47
150,1511168400000,0.83135,0.858,0.83135,0.83221,14.593
151,1511172000000,0.8301,0.8301,0.821,0.821,0.364
152,1511175600000,0.83221,0.83221,0.83221,0.83221,0.039
153,1511179200000,0.83672,0.858,0.83672,0.858,5.215
154,1511182800000,0.85371,0.858,0.81682,0.83776,5.991
155,1511186400000,0.83799,0.83895,0.8336,0.83364,14.072
156,1511190000000,0.83364,0.83364,0.8295,0.8295,3.03
157,1511193600000,0.82665,0.82665,0.8254,0.8254,9.063
158,1511197200000,0.8254,0.8254,0.82538,0.82538,3.456
159,1511200800000,0.82538,0.82538,0.82538,0.82538,0.03
160,1511204400000,0.83,0.83,0.82738,0.82738,1.015
161,1511208000000,0.82119,0.82119,0.82119,0.82119,0.983
162,1511211600000,0.82224,0.82224,0.82119,0.82119,6.016
163,1511215200000,0.8209,0.8209,0.81508,0.81508,1.338
164,1511218800000,0.81508,0.82,0.81508,0.82,3.038
165,1511222400000,0.82352,0.83673,0.76352,0.8248,33.338
166,1511226000000,0.83093,0.83093,0.82479,0.82812,4.617
167,1511229600000,0.82671,0.82921,0.80096,0.80811,14.446
168,1511233200000,0.81579,0.81579,0.81579,0.81579,0.499
169,1511236800000,0.81825,0.83539,0.8065,0.80811,2.185
170,1511240400000,0.80409,0.80409,0.80409,0.80409,0.09
171,1511244000000,0.80409,0.80409,0.80408,0.80409,5.219
172,1511247600000,0.80809,0.82623,0.80022,0.80022,62.966
173,1511251200000,0.81432,0.83589,0.80184,0.80185,36.892
174,1511254800000,0.80828,0.82504,0.80185,0.80185,7.231
175,1511258400000,0.81231,0.81231,0.81069,0.81069,2.348
176,1511262000000,0.81069,0.81069,0.80666,0.80666,1.769
177,1511265600000,0.80265,0.80666,0.80025,0.80666,1.863
178,1511269200000,0.80666,0.80666,0.79623,0.79623,8.02
179,1511272800000,0.80996,0.81,0.7907,0.81,10.916
180,1511276400000,0.81,0.81352,0.81,0.81352,3.374
181,1511280000000,0.81516,0.82503,0.81516,0.82503,0.335
182,1511283600000,0.79607,0.79607,0.79607,0.79607,1.403
183,1511287200000,0.79607,0.79607,0.79607,0.79607,0.0
184,1511290800000,0.79607,0.79607,0.79607,0.79607,0.0
185,1511294400000,0.80343,0.80343,0.80343,0.80343,0.672
186,1511298000000,0.80343,0.80343,0.80343,0.80343,0.0
187,1511301600000,0.80343,0.80343,0.80343,0.80343,0.399
188,1511305200000,0.80343,0.80343,0.78997,0.78997,0.899
189,1511308800000,0.81895,0.82468,0.78911,0.799,13.335
190,1511312400000,0.82426,0.82426,0.8062,0.8062,16.753
191,1511316000000,0.8062,0.8412,0.8062,0.84119,57.062
192,1511319600000,0.84119,0.84119,0.84119,0.84119,0.0
193,1511323200000,0.835,0.8395,0.835,0.8395,9.708
194,1511326800000,0.81021,0.83895,0.80232,0.80281,30.507
195,1511330400000,0.80286,0.80286,0.8022,0.8022,42.994
196,1511334000000,0.80219,0.80219,0.80219,0.80219,0.15
197,1511337600000,0.81,0.8215,0.81,0.82149,8.328
198,1511341200000,0.82149,0.82149,0.82149,0.82149,1.275
199,1511344800000,0.82168,0.82169,0.81161,0.82169,2.521
200,1511348400000,0.83891,0.8537,0.81284,0.84516,13.242
201,1511352000000,0.85796,0.88537,0.84517,0.86838,31.281
202,1511355600000,0.88601,0.88999,0.84516,0.84516,55.464
203,1511359200000,0.85867,0.86801,0.85867,0.86801,4.6
204,1511362800000,0.86518,0.86698,0.85246,0.86264,3.116
205,1511366400000,0.86177,0.86264,0.84562,0.84562,3.186
206,1511370000000,0.84725,0.85155,0.84725,0.85155,9.54
207,1511373600000,0.85015,0.85015,0.84511,0.847,0.748
208,1511377200000,0.8468,0.84728,0.84,0.84728,8.663
209,1511380800000,0.84728,0.85843,0.84728,0.85843,8.933
210,1511384400000,0.8523,0.8523,0.84049,0.84049,0.23
211,1511388000000,0.84464,0.84634,0.81144,0.81144,26.851
212,1511391600000,0.82866,0.84125,0.826,0.84125,2.591
213,1511395200000,0.8365,0.8365,0.82272,0.83369,0.723
214,1511398800000,0.83354,0.83354,0.82812,0.82929,20.001
215,1511402400000,0.82847,0.82847,0.81125,0.81125,22.667
216,1511406000000,0.816,0.82706,0.816,0.82021,1.908
217,1511409600000,0.82021,0.83153,0.81,0.83153,19.38
218,1511413200000,0.81974,0.81974,0.81,0.81447,7.902
219,1511416800000,0.81123,0.81313,0.8088,0.81313,2.941
220,1511420400000,0.8126,0.8126,0.80111,0.80111,6.953
221,1511424000000,0.80191,0.81359,0.79684,0.79684,27.269
222,1511427600000,0.79651,0.79651,0.76353,0.76353,14.602
223,1511431200000,0.77771,0.78683,0.77724,0.77724,1.909
224,1511434800000,0.77801,0.78377,0.77646,0.7823,2.107
225,1511438400000,0.78229,0.78387,0.77725,0.78387,5.77
226,1511442000000,0.78309,0.78387,0.78128,0.78128,1.523
227,1511445600000,0.78128,0.78298,0.76352,0.76352,2.864
228,1511449200000,0.76963,0.76963,0.75,0.75,4.707
229,1511452800000,0.77095,0.77745,0.76175,0.76191,5.129
230,1511456400000,0.76974,0.76974,0.75,0.75,24.233
231,1511460000000,0.75762,0.88468,0.75,0.76129,67.482
232,1511463600000,0.77121,0.77121,0.77121,0.77121,0.7
233,1511467200000,0.76129,0.8671,0.76129,0.76129,25.06
234,1511470800000,0.76281,0.77044,0.76129,0.76738,2.875
235,1511474400000,0.76585,0.76585,0.75751,0.75751,0.085
236,1511478000000,0.75751,0.767,0.75751,0.767,1.261
237,1511481600000,0.76798,0.77,0.76798,0.77,4.882
238,1511485200000,0.77,0.7725,0.75827,0.75827,4.871
239,1511488800000,0.75751,0.76051,0.75406,0.75406,98.396
240,1511492400000,0.7545,0.7545,0.74076,0.74076,14.645
241,1511496000000,0.75094,0.75094,0.74996,0.74996,4.556
242,1511499600000,0.7514,0.76673,0.74207,0.74212,1.529
243,1511503200000,0.74207,0.75327,0.74207,0.74737,8.648
244,1511506800000,0.75042,0.75175,0.74886,0.75175,0.534
245,1511510400000,0.75251,0.76319,0.75175,0.75259,25.139
246,1511514000000,0.75259,0.76244,0.73235,0.75,65.624
247,1511517600000,0.74501,0.75856,0.72966,0.732,53.422
248,1511521200000,0.73201,0.7434,0.73201,0.74,5.733
249,1511524800000,0.74148,0.74148,0.715,0.715,18.891
250,1511528400000,0.709,0.709,0.6877,0.70435,70.306
251,1511532000000,0.71331,0.74,0.71331,0.72635,26.63
252,1511535600000,0.72651,0.72655,0.69866,0.71001,132.802
253,1511539200000,0.70078,0.70896,0.69,0.70032,21.664
254,1511542800000,0.70033,0.70033,0.68292,0.6949,47.125
255,1511546400000,0.6949,0.70692,0.6944,0.70692,0.76
256,1511550000000,0.7055,0.7055,0.6908,0.6908,0.708
257,1511553600000,0.69441,0.71095,0.6896,0.6896,1.31
258,1511557200000,0.7,0.77,0.7,0.77,19.659
259,1511560800000,0.77,0.82136,0.75311,0.75311,74.291
260,1511564400000,0.7532,0.7532,0.70454,0.74037,31.22
261,1511568000000,0.74112,0.79999,0.73275,0.75191,56.9
262,1511571600000,0.75681,0.75686,0.7343,0.7357,26.881
263,1511575200000,0.7357,0.7446,0.7285,0.7446,20.099
264,1511578800000,0.7446,0.75341,0.73018,0.7384,55.509
265,1511582400000,0.7384,0.7384,0.7345,0.7345,0.87
266,1511586000000,0.7384,0.74139,0.7285,0.73842,33.713
267,1511589600000,0.7348,0.73841,0.72705,0.73694,7.792
268,1511593200000,0.73693,0.74437,0.73693,0.74437,3.087
269,1511596800000,0.74437,0.75837,0.72706,0.73468,52.875
270,1511600400000,0.73614,0.73764,0.72883,0.7375,6.104
271,1511604000000,0.7375,0.7375,0.7375,0.7375,1.381
272,1511607600000,0.7375,0.74582,0.7375,0.74432,1.827
273,1511611200000,0.74432,0.7899,0.72559,0.7899,35.375
274,1511614800000,0.75676,0.78034,0.74468,0.74468,45.432
275,1511618400000,0.74468,0.74468,0.74,0.74136,18.346
276,1511622000000,0.7472,0.7472,0.73695,0.743,42.233
277,1511625600000,0.74818,0.76385,0.74818,0.76385,23.125
278,1511629200000,0.76389,0.77951,0.7549,0.7573,19.336
279,1511632800000,0.7573,0.7573,0.7573,0.7573,0.473
280,1511636400000,0.75394,0.75394,0.73724,0.73724,0.493
281,1511640000000,0.75635,0.75635,0.74485,0.74485,0.618
282,1511643600000,0.74486,0.74789,0.72866,0.74789,4.958
283,1511647200000,0.7382,0.73955,0.72434,0.73955,3.604
284,1511650800000,0.73955,0.73955,0.73955,0.73955,0.0
285,1511654400000,0.74124,0.75256,0.73665,0.75256,2.52
286,1511658000000,0.75635,0.75742,0.74484,0.74484,1.258
287,1511661600000,0.74814,0.74859,0.73804,0.74859,19.28
288,1511665200000,0.74947,0.75373,0.74859,0.75373,2.409
289,1511668800000,0.7549,0.75814,0.7545,0.75814,48.935
290,1511672400000,0.75154,0.75154,0.74855,0.74855,5.0
291,1511676000000,0.7562,0.768,0.7562,0.768,8.149
292,1511679600000,0.7573,0.7573,0.74782,0.75154,0.899
293,1511683200000,0.75154,0.75154,0.74001,0.74001,15.795
294,1511686800000,0.74394,0.74394,0.7386,0.7386,36.46
295,1511690400000,0.74221,0.74221,0.72125,0.73587,220.552
296,1511694000000,0.72515,0.74391,0.70713,0.73285,141.496
297,1511697600000,0.73729,0.73894,0.72146,0.734,10.664
298,1511701200000,0.733,0.733,0.7243,0.73274,5.622
299,1511704800000,0.73274,0.73362,0.71715,0.72444,22.198
300,1511708400000,0.72444,0.74,0.72439,0.72801,25.329
301,1511712000000,0.73984,0.73999,0.728,0.73999,8.699
302,1511715600000,0.73999,0.75,0.72907,0.7364,30.925
303,1511719200000,0.74251,0.74251,0.72433,0.73877,23.08
304,1511722800000,0.74625,0.763,0.73877,0.7388,32.223
305,1511726400000,0.73877,0.75433,0.72433,0.75433,20.081
306,1511730000000,0.75433,0.75433,0.72244,0.72244,0.269
307,1511733600000,0.725,0.76417,0.725,0.76417,0.708
308,1511737200000,0.72501,0.75861,0.71719,0.71719,66.716
309,1511740800000,0.71997,0.725,0.71711,0.725,0.258
310,1511744400000,0.73314,0.73314,0.70777,0.72169,10.781
311,1511748000000,0.71913,0.73015,0.70864,0.71311,24.385
312,1511751600000,0.7181,0.71992,0.71,0.71703,5.58
313,1511755200000,0.71702,0.71702,0.70501,0.70783,16.734
314,1511758800000,0.70642,0.71471,0.6986,0.70481,10.814
315,1511762400000,0.70481,0.71375,0.688,0.688,73.452
316,1511766000000,0.69788,0.71204,0.69788,0.7037,2.353
