,ts,open,high,low,close,volume
0,1520229600000,0.0062,0.00847,0.0056,0.00589,2935885.54
1,1520233200000,0.00583,0.0065,0.00535,0.00556,358830.71
2,1520236800000,0.00557,0.00598,0.00541,0.00592,299576.69
3,1520240400000,0.00582,0.0059,0.00566,0.00588,141747.52
4,1520244000000,0.00587,0.00587,0.00562,0.00562,115395.48
5,1520247600000,0.00567,0.00584,0.00549,0.00557,193488.52
6,1520251200000,0.00561,0.00562,0.0055,0.00556,97835.85
7,1520254800000,0.00552,0.00562,0.00536,0.00562,102405.22
8,1520258400000,0.00562,0.00583,0.0055,0.0058,187605.52
9,1520262000000,0.0058,0.00583,0.00566,0.00568,94559.67
10,1520265600000,0.00575,0.00599,0.00567,0.00579,169385.64
11,1520269200000,0.00579,0.00579,0.00564,0.00574,261608.1
12,1520272800000,0.00574,0.00589,0.0056,0.00565,110836.96
13,1520276400000,0.00567,0.00573,0.0055,0.00568,266234.26
14,1520280000000,0.00565,0.00581,0.00556,0.00569,309271.43
15,1520283600000,0.00562,0.00562,0.00542,0.00555,74352.54
16,1520287200000,0.0055,0.00552,0.00525,0.00526,152037.63
17,1520290800000,0.00525,0.00536,0.00522,0.00523,178323.66
18,1520294400000,0.00523,0.00524,0.00499,0.00499,165925.19
19,1520298000000,0.00499,0.0056,0.00485,0.00547,187330.27
20,1520301600000,0.00547,0.0055,0.0052,0.0053,136143.13
21,1520305200000,0.00532,0.00556,0.00524,0.00526,122924.15
22,1520308800000,0.00534,0.00537,0.00518,0.00524,157349.29
23,1520312400000,0.00534,0.00542,0.00518,0.00532,121807.71
24,1520316000000,0.00529,0.00533,0.0052,0.00524,138386.95
25,1520319600000,0.00524,0.00524,0.00514,0.00517,98008.04
26,1520323200000,0.00519,0.00528,0.00517,0.00524,79028.49
27,1520326800000,0.00526,0.00527,0.00518,0.0052,39667.36
28,1520330400000,0.0052,0.00522,0.0051,0.00512,69395.32
29,1520334000000,0.00516,0.00519,0.00505,0.0051,45442.46
30,1520337600000,0.00509,0.00527,0.00508,0.00527,50992.11
31,1520341200000,0.00527,0.00527,0.00517,0.00526,58489.27
32,1520344800000,0.00526,0.00527,0.00514,0.00514,30686.15
33,1520348400000,0.00522,0.00538,0.00505,0.00516,270542.45
34,1520352000000,0.00511,0.00512,0.00497,0.005,227727.41
35,1520355600000,0.005,0.00514,0.005,0.00512,45565.28
36,1520359200000,0.00506,0.0052,0.00505,0.00519,115552.99
37,1520362800000,0.00519,0.00534,0.00515,0.00517,61524.66
38,1520366400000,0.00517,0.00525,0.00509,0.0051,104283.52
39,1520370000000,0.0051,0.00516,0.00501,0.00514,53556.83
40,1520373600000,0.00514,0.00514,0.00496,0.00496,86507.09
41,1520377200000,0.00496,0.0051,0.00496,0.00497,65267.9
42,1520380800000,0.00506,0.00507,0.00496,0.00505,13141.13
43,1520384400000,0.00504,0.00515,0.0049,0.00503,172746.18
44,1520388000000,0.00496,0.00513,0.00493,0.00507,27481.65
45,1520391600000,0.00515,0.00516,0.00502,0.00503,82473.77
46,1520395200000,0.00508,0.00509,0.00494,0.00506,28327.82
47,1520398800000,0.00506,0.00507,0.00487,0.00495,31400.73
48,1520402400000,0.00499,0.00499,0.00485,0.00487,31108.17
49,1520406000000,0.0049,0.00495,0.00483,0.00484,46227.23
50,1520409600000,0.00496,0.00496,0.00485,0.00485,31313.81
51,1520413200000,0.00485,0.00491,0.00481,0.00481,18261.23
52,1520416800000,0.00488,0.00488,0.0048,0.00481,24461.45
53,1520420400000,0.00482,0.00482,0.00471,0.0048,24482.33
54,1520424000000,0.00471,0.00487,0.00462,0.00487,17233.77
55,1520427600000,0.0048,0.0048,0.00448,0.00453,103833.84
56,1520431200000,0.00453,0.00474,0.00438,0.00449,163991.41
57,1520434800000,0.00445,0.00479,0.0043,0.00452,177762.85
58,1520438400000,0.00467,0.0047,0.00452,0.00452,104575.79
59,1520442000000,0.00452,0.00463,0.00428,0.00449,110217.01
60,1520445600000,0.00437,0.00458,0.00425,0.00445,92893.82
61,1520449200000,0.00452,0.00486,0.00452,0.00483,47856.05
62,1520452800000,0.00472,0.0049,0.00472,0.00477,7120.57
63,1520456400000,0.00477,0.00489,0.00468,0.00475,72504.83
64,1520460000000,0.00474,0.00481,0.00467,0.00481,113667.72
65,1520463600000,0.00474,0.00488,0.00455,0.00464,68490.3
66,1520467200000,0.00464,0.0047,0.00457,0.00464,10061.04
67,1520470800000,0.00478,0.00481,0.00464,0.00464,77864.17
68,1520474400000,0.00465,0.00476,0.00445,0.0045,196565.83
69,1520478000000,0.00457,0.00462,0.00445,0.00452,126911.46
70,1520481600000,0.00451,0.00461,0.00451,0.00453,15523.03
71,1520485200000,0.00459,0.00474,0.00457,0.0047,33812.41
72,1520488800000,0.00471,0.00474,0.00459,0.00463,96230.78
73,1520492400000,0.00474,0.00491,0.00462,0.00482,55595.08
74,1520496000000,0.00482,0.00491,0.00468,0.00477,143393.17
75,1520499600000,0.00477,0.00483,0.00472,0.00473,29908.89
76,1520503200000,0.00483,0.00484,0.00473,0.00473,33400.4
77,1520506800000,0.00473,0.00496,0.00473,0.00487,30107.56
78,1520510400000,0.00496,0.00498,0.00475,0.0048,30932.01
79,1520514000000,0.0048,0.0048,0.00458,0.00459,39827.92
80,1520517600000,0.00466,0.0047,0.0046,0.00462,15703.89
81,1520521200000,0.00462,0.00469,0.00453,0.00459,53611.46
82,1520524800000,0.0046,0.00482,0.00459,0.00472,107862.12
83,1520528400000,0.00465,0.00472,0.00447,0.00457,154206.93
84,1520532000000,0.00456,0.00466,0.00453,0.00455,228388.18
85,1520535600000,0.00462,0.00466,0.00455,0.00461,105755.5
86,1520539200000,0.00467,0.00467,0.00449,0.00449,4305.67
87,1520542800000,0.0045,0.00455,0.00442,0.00442,63992.16
88,1520546400000,0.00445,0.00455,0.00443,0.00455,18718.65
89,1520550000000,0.00455,0.00457,0.00445,0.00448,45129.26
90,1520553600000,0.00448,0.00459,0.00448,0.00459,11374.41
91,1520557200000,0.00457,0.00459,0.00452,0.00458,8788.54
92,1520560800000,0.00458,0.00458,0.00449,0.00456,47724.19
93,1520564400000,0.0045,0.00454,0.00446,0.00453,89551.18
94,1520568000000,0.00453,0.0046,0.00438,0.00449,633800.64
95,1520571600000,0.00442,0.00446,0.00431,0.0044,197992.08
96,1520575200000,0.00432,0.00441,0.00414,0.0044,56376.27
97,1520578800000,0.00438,0.00438,0.00429,0.0043,22539.14
98,1520582400000,0.0043,0.00465,0.0043,0.00461,97369.03
99,1520586000000,0.00462,0.00462,0.00442,0.00451,33377.66
100,1520589600000,0.00459,0.00467,0.00454,0.00467,15164.42
101,1520593200000,0.00467,0.00474,0.00454,0.00474,35796.6
102,1520596800000,0.00474,0.00479,0.00465,0.00467,321597.66
103,1520600400000,0.00477,0.0048,0.00464,0.00472,308937.05
104,1520604000000,0.0047,0.00488,0.0047,0.00475,62884.26
105,1520607600000,0.00483,0.0049,0.00479,0.00486,51103.72
