,ts,open,high,low,close,volume
0,1520229600000,6.46e-06,7.5e-06,4.9e-06,5.19e-06,65882811.0
1,1520233200000,5.2e-06,5.22e-06,4.77e-06,4.9e-06,34548644.0
2,1520236800000,4.9e-06,5.32e-06,4.83e-06,5.21e-06,30144349.0
3,1520240400000,5.23e-06,5.27e-06,5.1e-06,5.23e-06,10686719.0
4,1520244000000,5.23e-06,5.27e-06,5e-06,5.06e-06,12502733.0
5,1520247600000,5.05e-06,5.08e-06,4.95e-06,5e-06,7685385.0
6,1520251200000,5.01e-06,5.04e-06,4.91e-06,4.95e-06,5806541.0
7,1520254800000,4.95e-06,5.1e-06,4.81e-06,5.04e-06,11744661.0
8,1520258400000,5.07e-06,5.19e-06,4.96e-06,5.17e-06,16096643.0
9,1520262000000,5.15e-06,5.17e-06,5.01e-06,5.09e-06,5819200.0
10,1520265600000,5.09e-06,5.33e-06,5.04e-06,5.17e-06,22902702.0
11,1520269200000,5.18e-06,5.18e-06,5.01e-06,5.12e-06,7771382.0
12,1520272800000,5.11e-06,5.19e-06,4.95e-06,5.04e-06,10053353.0
13,1520276400000,5.01e-06,5.1e-06,4.88e-06,4.99e-06,8625038.0
14,1520280000000,4.99e-06,5.04e-06,4.86e-06,4.96e-06,5640165.0
15,1520283600000,4.96e-06,4.97e-06,4.83e-06,4.85e-06,5617592.0
16,1520287200000,4.85e-06,4.85e-06,4.56e-06,4.59e-06,7699665.0
17,1520290800000,4.59e-06,4.65e-06,4.54e-06,4.6e-06,6577107.0
18,1520294400000,4.6e-06,4.62e-06,4.41e-06,4.42e-06,10266328.0
19,1520298000000,4.41e-06,4.95e-06,4.22e-06,4.78e-06,27589063.0
20,1520301600000,4.8e-06,4.87e-06,4.52e-06,4.69e-06,10556772.0
21,1520305200000,4.69e-06,4.94e-06,4.32e-06,4.72e-06,9182727.0
22,1520308800000,4.72e-06,4.73e-06,4.62e-06,4.66e-06,4041604.0
23,1520312400000,4.66e-06,4.8e-06,4.57e-06,4.71e-06,5217979.0
24,1520316000000,4.71e-06,4.71e-06,4.6e-06,4.6e-06,3556273.0
25,1520319600000,4.64e-06,4.64e-06,4.51e-06,4.59e-06,3411624.0
26,1520323200000,4.59e-06,4.66e-06,4.55e-06,4.63e-06,3409191.0
27,1520326800000,4.63e-06,4.64e-06,4.57e-06,4.59e-06,1005251.0
28,1520330400000,4.59e-06,4.63e-06,4.49e-06,4.5e-06,4261702.0
29,1520334000000,4.5e-06,4.53e-06,4.43e-06,4.5e-06,2617411.0
30,1520337600000,4.49e-06,4.54e-06,4.47e-06,4.51e-06,1203619.0
31,1520341200000,4.51e-06,4.55e-06,4.49e-06,4.51e-06,1622488.0
32,1520344800000,4.5e-06,4.59e-06,4.45e-06,4.47e-06,3148188.0
33,1520348400000,4.47e-06,4.5e-06,4.29e-06,4.42e-06,11351730.0
34,1520352000000,4.42e-06,4.43e-06,4.27e-06,4.3e-06,5390872.0
35,1520355600000,4.3e-06,4.41e-06,4.28e-06,4.38e-06,4057325.0
36,1520359200000,4.38e-06,4.51e-06,4.35e-06,4.41e-06,3875189.0
37,1520362800000,4.41e-06,4.6e-06,4.41e-06,4.5e-06,4244285.0
38,1520366400000,4.49e-06,4.54e-06,4.4e-06,4.42e-06,2119763.0
39,1520370000000,4.42e-06,4.47e-06,4.36e-06,4.39e-06,1592758.0
40,1520373600000,4.4e-06,4.41e-06,4.32e-06,4.36e-06,2039209.0
41,1520377200000,4.36e-06,4.43e-06,4.34e-06,4.38e-06,1302589.0
42,1520380800000,4.37e-06,4.4e-06,4.27e-06,4.4e-06,2448606.0
