,ts,open,high,low,close,volume
0,1520229600000,9e-05,9.5e-05,5.562e-05,6.9e-05,13406561.0
1,1520233200000,6.9e-05,6.901e-05,6.385e-05,6.5e-05,7233051.0
2,1520236800000,6.537e-05,7e-05,6.402e-05,6.923e-05,8845961.0
3,1520240400000,6.924e-05,6.998e-05,6.728e-05,6.967e-05,3979619.0
4,1520244000000,6.966e-05,6.969e-05,6.666e-05,6.733e-05,2578051.0
5,1520247600000,6.715e-05,6.795e-05,6.6e-05,6.704e-05,2655306.0
6,1520251200000,6.704e-05,6.704e-05,6.551e-05,6.597e-05,2079879.0
7,1520254800000,6.597e-05,6.71e-05,6.401e-05,6.71e-05,2715988.0
8,1520258400000,6.71e-05,6.885e-05,6.563e-05,6.844e-05,5177822.0
9,1520262000000,6.844e-05,6.844e-05,6.682e-05,6.826e-05,3348019.0
10,1520265600000,6.826e-05,7.123e-05,6.711e-05,6.94e-05,8837703.0
11,1520269200000,6.949e-05,6.949e-05,6.78e-05,6.836e-05,5220751.0
12,1520272800000,6.842e-05,6.977e-05,6.69e-05,6.789e-05,7775667.0
13,1520276400000,6.789e-05,6.849e-05,6.56e-05,6.811e-05,6228610.0
14,1520280000000,6.805e-05,6.815e-05,6.612e-05,6.722e-05,1901304.0
15,1520283600000,6.726e-05,6.734e-05,6.5e-05,6.576e-05,2706833.0
16,1520287200000,6.575e-05,6.575e-05,6.206e-05,6.254e-05,3284204.0
17,1520290800000,6.213e-05,6.301e-05,6.21e-05,6.225e-05,1300216.0
18,1520294400000,6.226e-05,6.26e-05,5.944e-05,5.944e-05,3009577.0
19,1520298000000,5.977e-05,6.6e-05,5.799e-05,6.447e-05,5695638.0
20,1520301600000,6.447e-05,6.5e-05,6.133e-05,6.281e-05,3381448.0
21,1520305200000,6.275e-05,6.542e-05,6.2e-05,6.308e-05,1646369.0
22,1520308800000,6.297e-05,6.373e-05,6.175e-05,6.216e-05,857155.0
23,1520312400000,6.216e-05,6.389e-05,6.125e-05,6.252e-05,1305486.0
24,1520316000000,6.274e-05,6.274e-05,6.152e-05,6.152e-05,984138.0
25,1520319600000,6.153e-05,6.194e-05,6.033e-05,6.098e-05,1354128.0
26,1520323200000,6.099e-05,6.19e-05,6.075e-05,6.157e-05,1256716.0
27,1520326800000,6.179e-05,6.19e-05,6.107e-05,6.12e-05,630016.0
28,1520330400000,6.119e-05,6.147e-05,5.916e-05,5.918e-05,3498900.0
29,1520334000000,5.945e-05,5.959e-05,5.843e-05,5.913e-05,1450294.0
30,1520337600000,5.889e-05,6e-05,5.882e-05,5.925e-05,1265180.0
31,1520341200000,5.925e-05,5.971e-05,5.9e-05,5.936e-05,992046.0
32,1520344800000,5.965e-05,6e-05,5.882e-05,5.958e-05,1231707.0
33,1520348400000,5.924e-05,5.988e-05,5.749e-05,5.9e-05,3254049.0
34,1520352000000,5.852e-05,5.871e-05,5.65e-05,5.708e-05,2614004.0
35,1520355600000,5.692e-05,5.857e-05,5.691e-05,5.762e-05,1484236.0
36,1520359200000,5.762e-05,5.967e-05,5.762e-05,5.801e-05,1075223.0
37,1520362800000,5.801e-05,6.039e-05,5.801e-05,5.956e-05,2563439.0
38,1520366400000,5.927e-05,6.155e-05,5.753e-05,5.879e-05,971525.0
39,1520370000000,5.823e-05,5.898e-05,5.753e-05,5.829e-05,365527.0
40,1520373600000,5.829e-05,5.83e-05,5.691e-05,5.744e-05,687343.0
41,1520377200000,5.744e-05,5.824e-05,5.733e-05,5.748e-05,1104736.0
42,1520380800000,5.75e-05,5.889e-05,5.748e-05,5.839e-05,711077.0
43,1520384400000,5.839e-05,5.895e-05,5.783e-05,5.81e-05,582786.0
44,1520388000000,5.839e-05,6.1e-05,5.756e-05,5.983e-05,1027081.0
45,1520391600000,5.958e-05,6.08e-05,5.8e-05,5.888e-05,651920.0
46,1520395200000,5.891e-05,5.95e-05,5.831e-05,5.917e-05,270425.0
47,1520398800000,5.918e-05,5.992e-05,5.888e-05,5.931e-05,329561.0
48,1520402400000,5.899e-05,5.947e-05,5.862e-05,5.889e-05,506169.0
49,1520406000000,5.888e-05,5.898e-05,5.761e-05,5.806e-05,890950.0
50,1520409600000,5.806e-05,5.926e-05,5.781e-05,5.818e-05,703684.0
51,1520413200000,5.818e-05,5.866e-05,5.759e-05,5.793e-05,565821.0
52,1520416800000,5.794e-05,5.876e-05,5.75e-05,5.781e-05,879531.0
53,1520420400000,5.772e-05,5.799e-05,5.743e-05,5.774e-05,304318.0
54,1520424000000,5.744e-05,5.982e-05,5.742e-05,5.898e-05,958778.0
55,1520427600000,5.921e-05,5.983e-05,5.721e-05,5.721e-05,1228525.0
56,1520431200000,5.721e-05,5.95e-05,5.48e-05,5.541e-05,6249562.0
57,1520434800000,5.571e-05,5.74e-05,5.381e-05,5.554e-05,3241416.0
58,1520438400000,5.527e-05,5.592e-05,5.218e-05,5.3e-05,2215932.0
59,1520442000000,5.3e-05,5.377e-05,5.128e-05,5.198e-05,7593532.0
60,1520445600000,5.198e-05,5.418e-05,5.169e-05,5.398e-05,1985190.0
61,1520449200000,5.398e-05,5.699e-05,5.371e-05,5.635e-05,3091208.0
62,1520452800000,5.636e-05,5.74e-05,5.579e-05,5.655e-05,1251716.0
63,1520456400000,5.688e-05,5.733e-05,5.551e-05,5.551e-05,1070694.0
64,1520460000000,5.635e-05,5.782e-05,5.411e-05,5.565e-05,1521362.0
65,1520463600000,5.584e-05,5.782e-05,5.475e-05,5.6e-05,885496.0
66,1520467200000,5.6e-05,5.722e-05,5.475e-05,5.572e-05,682611.0
67,1520470800000,5.597e-05,5.69e-05,5.452e-05,5.475e-05,843013.0
68,1520474400000,5.477e-05,5.499e-05,5.098e-05,5.211e-05,2698772.0
69,1520478000000,5.209e-05,5.295e-05,5.05e-05,5.148e-05,2261807.0
70,1520481600000,5.145e-05,5.306e-05,5.134e-05,5.29e-05,1594077.0
71,1520485200000,5.291e-05,5.423e-05,5.274e-05,5.4e-05,1206959.0
72,1520488800000,5.401e-05,5.423e-05,5.267e-05,5.375e-05,1855289.0
73,1520492400000,5.357e-05,5.699e-05,5.308e-05,5.643e-05,2868326.0
74,1520496000000,5.617e-05,5.664e-05,5.35e-05,5.412e-05,1406007.0
75,1520499600000,5.431e-05,5.545e-05,5.411e-05,5.49e-05,1534279.0
76,1520503200000,5.49e-05,5.503e-05,5.45e-05,5.473e-05,1251740.0
77,1520506800000,5.473e-05,5.678e-05,5.473e-05,5.637e-05,1184354.0
78,1520510400000,5.663e-05,5.697e-05,5.4e-05,5.462e-05,2509055.0
79,1520514000000,5.462e-05,5.465e-05,5.267e-05,5.38e-05,1014853.0
80,1520517600000,5.373e-05,5.399e-05,5.3e-05,5.303e-05,1752959.0
81,1520521200000,5.303e-05,5.4e-05,5.2e-05,5.333e-05,2759635.0
82,1520524800000,5.337e-05,5.608e-05,5.332e-05,5.447e-05,1374764.0
83,1520528400000,5.45e-05,5.593e-05,5.25e-05,5.375e-05,3967865.0
84,1520532000000,5.399e-05,5.41e-05,5.225e-05,5.318e-05,1981550.0
85,1520535600000,5.316e-05,5.408e-05,5.25e-05,5.329e-05,775345.0
86,1520539200000,5.34e-05,5.371e-05,5.222e-05,5.282e-05,903163.0
87,1520542800000,5.282e-05,5.366e-05,5.224e-05,5.347e-05,1824310.0
88,1520546400000,5.298e-05,5.4e-05,5.245e-05,5.32e-05,1558669.0
89,1520550000000,5.349e-05,5.388e-05,5.273e-05,5.358e-05,148177.0
90,1520553600000,5.339e-05,5.4e-05,5.31e-05,5.31e-05,457556.0
91,1520557200000,5.337e-05,5.4e-05,5.28e-05,5.283e-05,346317.0
92,1520560800000,5.3e-05,5.3e-05,5.12e-05,5.163e-05,1808728.0
93,1520564400000,5.168e-05,5.225e-05,5.133e-05,5.145e-05,481214.0
94,1520568000000,5.148e-05,5.252e-05,4.499e-05,5.044e-05,10316039.0
95,1520571600000,5.015e-05,5.037e-05,4.82e-05,4.882e-05,1416871.0
96,1520575200000,4.882e-05,4.945e-05,4.62e-05,4.807e-05,2737174.0
97,1520578800000,4.807e-05,4.914e-05,4.775e-05,4.8e-05,2228351.0
98,1520582400000,4.821e-05,5.113e-05,4.789e-05,5.03e-05,2463820.0
99,1520586000000,5.041e-05,5.097e-05,4.75e-05,4.911e-05,2898487.0
100,1520589600000,4.922e-05,5.145e-05,4.922e-05,5.106e-05,977790.0
101,1520593200000,5.106e-05,5.332e-05,5.1e-05,5.235e-05,1639524.0
102,1520596800000,5.252e-05,5.332e-05,5.199e-05,5.251e-05,1031438.0
103,1520600400000,5.251e-05,5.379e-05,5.201e-05,5.286e-05,1467261.0
104,1520604000000,5.286e-05,5.462e-05,5.286e-05,5.362e-05,2112672.0
105,1520607600000,5.411e-05,5.49e-05,5.362e-05,5.45e-05,1718488.0
106,1520611200000,5.45e-05,6e-05,5.33e-05,5.469e-05,5684586.0
107,1520614800000,5.496e-05,5.689e-05,5.351e-05,5.561e-05,1706920.0
108,1520618400000,5.56e-05,5.888e-05,5.429e-05,5.86e-05,1387802.0
109,1520622000000,5.86e-05,5.9e-05,5.695e-05,5.741e-05,3061303.0
110,1520625600000,5.73e-05,5.965e-05,5.651e-05,5.935e-05,1724067.0
111,1520629200000,5.938e-05,5.939e-05,5.685e-05,5.699e-05,3066345.0
112,1520632800000,5.727e-05,5.822e-05,5.586e-05,5.631e-05,2287082.0
113,1520636400000,5.631e-05,5.686e-05,5.585e-05,5.585e-05,1348456.0
114,1520640000000,5.585e-05,5.679e-05,5.585e-05,5.654e-05,710514.0
115,1520643600000,5.646e-05,5.697e-05,5.6e-05,5.659e-05,885292.0
116,1520647200000,5.662e-05,5.714e-05,5.538e-05,5.598e-05,1730941.0
117,1520650800000,5.593e-05,5.671e-05,5.522e-05,5.65e-05,851251.0
118,1520654400000,5.64e-05,5.868e-05,5.629e-05,5.754e-05,1411721.0
119,1520658000000,5.754e-05,5.8e-05,5.7e-05,5.799e-05,964973.0
120,1520661600000,5.781e-05,6.075e-05,5.768e-05,5.993e-05,2638810.0
121,1520665200000,6.025e-05,6.025e-05,5.859e-05,5.975e-05,1422270.0
122,1520668800000,5.975e-05,5.995e-05,5.872e-05,5.932e-05,871199.0
123,1520672400000,5.963e-05,5.99e-05,5.861e-05,5.861e-05,1117485.0
