,ts,open,high,low,close,volume
0,1505275200000,6.3e-05,6.3e-05,5.553e-05,5.878e-05,117060.79
1,1505278800000,5.875e-05,5.875e-05,5.805e-05,5.875e-05,26698.0
2,1505282400000,5.875e-05,5.875e-05,5.653e-05,5.653e-05,12130.0
3,1505286000000,5.87e-05,5.875e-05,5.565e-05,5.565e-05,203106.0
4,1505289600000,5.875e-05,5.875e-05,5.875e-05,5.875e-05,1219.0
5,1505293200000,5.601e-05,5.86e-05,5.601e-05,5.86e-05,3385.0
6,1505296800000,5.76e-05,5.801e-05,5.601e-05,5.601e-05,5737.0
7,1505300400000,5.859e-05,5.86e-05,5.6e-05,5.6e-05,57886.0
8,1505304000000,5.7e-05,5.7e-05,5.5e-05,5.5e-05,29638.0
9,1505307600000,5.5e-05,5.55e-05,5.3e-05,5.55e-05,103976.0
10,1505311200000,5.501e-05,5.674e-05,5.5e-05,5.674e-05,26884.0
11,1505314800000,5.674e-05,6e-05,5.674e-05,5.674e-05,28535.0
12,1505318400000,5.674e-05,5.869e-05,5.5e-05,5.501e-05,20889.0
13,1505322000000,5.65e-05,5.888e-05,5.65e-05,5.88e-05,3193.0
14,1505325600000,5.88e-05,5.88e-05,5.88e-05,5.88e-05,38.0
15,1505329200000,5.65e-05,5.79e-05,5.57e-05,5.6e-05,14090.0
16,1505332800000,5.75e-05,5.75e-05,5.738e-05,5.75e-05,10228.0
17,1505336400000,5.75e-05,5.75e-05,5.603e-05,5.603e-05,1165.0
18,1505340000000,5.7e-05,5.7e-05,5.561e-05,5.6e-05,23325.0
19,1505343600000,5.7e-05,5.7e-05,5.5e-05,5.5e-05,28203.0
20,1505347200000,5.7e-05,5.7e-05,5.6e-05,5.7e-05,32076.0
21,1505350800000,5.514e-05,5.65e-05,5.502e-05,5.65e-05,23005.0
22,1505354400000,5.649e-05,5.65e-05,5.513e-05,5.514e-05,20903.0
23,1505358000000,5.699e-05,5.7e-05,5.35e-05,5.7e-05,22481.0
24,1505361600000,5.701e-05,5.885e-05,5.701e-05,5.885e-05,5746.0
25,1505365200000,5.8e-05,5.999e-05,5.8e-05,5.999e-05,27811.0
26,1505368800000,5.999e-05,6e-05,5.8e-05,5.85e-05,12625.0
27,1505372400000,5.85e-05,5.85e-05,5.835e-05,5.85e-05,28810.0
28,1505376000000,5.85e-05,5.999e-05,5.85e-05,5.87e-05,19436.0
29,1505379600000,5.87e-05,5.87e-05,5.87e-05,5.87e-05,0.0
30,1505383200000,5.82e-05,5.82e-05,5.6e-05,5.6e-05,10311.0
31,1505386800000,5.6e-05,5.6e-05,5.35e-05,5.4e-05,27748.0
32,1505390400000,5.45e-05,5.45e-05,5.3e-05,5.351e-05,14844.0
33,1505394000000,5.35e-05,5.35e-05,5.302e-05,5.302e-05,10291.0
34,1505397600000,5.5e-05,6e-05,5.4e-05,5.4e-05,25270.0
35,1505401200000,5.799e-05,5.799e-05,5.581e-05,5.581e-05,10053.0
36,1505404800000,5.799e-05,5.89e-05,5.799e-05,5.88e-05,27626.0
37,1505408400000,5.877e-05,5.88e-05,5.55e-05,5.55e-05,50961.0
38,1505412000000,5.55e-05,5.599e-05,5.55e-05,5.575e-05,1238.0
39,1505415600000,5.575e-05,5.575e-05,5.307e-05,5.308e-05,35632.0
40,1505419200000,5.575e-05,5.899e-05,5.32e-05,5.899e-05,34717.0
41,1505422800000,5.804e-05,5.804e-05,5.451e-05,5.451e-05,17143.0
42,1505426400000,5.451e-05,5.451e-05,5.451e-05,5.451e-05,361.0
43,1505430000000,5.465e-05,5.95e-05,5.465e-05,5.95e-05,51979.0
44,1505433600000,5.466e-05,5.5e-05,5.465e-05,5.5e-05,9155.0
45,1505437200000,5.6e-05,5.6e-05,5.5e-05,5.5e-05,6705.0
46,1505440800000,5.5e-05,5.6e-05,5.5e-05,5.6e-05,1579.0
47,1505444400000,5.6e-05,5.85e-05,5.6e-05,5.849e-05,4462.0
48,1505448000000,5.849e-05,5.849e-05,5.52e-05,5.849e-05,11403.0
49,1505451600000,5.848e-05,5.848e-05,5.848e-05,5.848e-05,18.0
50,1505455200000,5.848e-05,5.848e-05,5.848e-05,5.848e-05,0.0
51,1505458800000,5.528e-05,5.53e-05,5.52e-05,5.53e-05,25660.0
52,1505462400000,5.5e-05,5.501e-05,5.4e-05,5.501e-05,25678.0
53,1505466000000,5.387e-05,5.387e-05,5.307e-05,5.307e-05,9498.0
54,1505469600000,5.325e-05,5.325e-05,5.311e-05,5.311e-05,4166.0
55,1505473200000,5.5e-05,5.772e-05,5.3e-05,5.3e-05,16789.0
56,1505476800000,5.597e-05,5.598e-05,5.3e-05,5.5e-05,5305.0
57,1505480400000,5.5e-05,5.5e-05,5.499e-05,5.499e-05,3334.0
58,1505484000000,5.499e-05,5.5e-05,5.499e-05,5.5e-05,5157.0
59,1505487600000,5.779e-05,5.845e-05,5.6e-05,5.6e-05,24572.0
60,1505491200000,5.6e-05,5.603e-05,5.6e-05,5.603e-05,1347.0
61,1505494800000,5.84e-05,5.84e-05,5.65e-05,5.65e-05,2417.0
62,1505498400000,5.839e-05,5.839e-05,5.839e-05,5.839e-05,1234.0
63,1505502000000,5.839e-05,5.839e-05,5.601e-05,5.601e-05,26753.0
64,1505505600000,5.835e-05,5.838e-05,5.835e-05,5.838e-05,1580.0
65,1505509200000,5.838e-05,5.846e-05,5.607e-05,5.845e-05,10216.0
66,1505512800000,5.845e-05,5.845e-05,5.6e-05,5.6e-05,8358.0
67,1505516400000,5.6e-05,5.6e-05,5.504e-05,5.504e-05,13269.0
68,1505520000000,5.7e-05,5.7e-05,5.7e-05,5.7e-05,54.0
69,1505523600000,5.7e-05,5.799e-05,5.502e-05,5.502e-05,2853.0
70,1505527200000,5.589e-05,5.589e-05,5.502e-05,5.503e-05,4420.0
71,1505530800000,5.799e-05,5.84e-05,5.504e-05,5.516e-05,6097.0
72,1505534400000,5.52e-05,5.52e-05,5.509e-05,5.509e-05,2500.0
73,1505538000000,5.511e-05,5.511e-05,5.509e-05,5.509e-05,6985.0
74,1505541600000,5.51e-05,5.555e-05,5.509e-05,5.555e-05,4125.0
75,1505545200000,5.555e-05,5.609e-05,5.555e-05,5.609e-05,4849.0
76,1505548800000,5.609e-05,5.609e-05,5.609e-05,5.609e-05,5965.0
